veiculo_id,cap_individual_pct,cap_top10_pct,cap_por_devedor_ANBIMA_pct,cap_por_integrador,cap_por_UF,cap_PJ_pct,cap_por_safra,concentracao_observada_individual,concentracao_observada_top10,folga_vs_limite_pp,data_base,fonte_id,status,nota_metodo
FIDC_I,0.02,0.1,n/d,0.1,n/d,n/d,n/d,0.003960100211008334,0.01835899801118872,0.016039899788991667,2026-07-31,DOC_FIDC_I_REG_202411 | CVM_FIDC_202607_VIII,Documentado,Observado = valores da Tabela VIII / carteira; a CVM publica os maiores valores sem identificação do devedor.
FIDC_II,0.02,0.1,n/d,n/d,n/d,n/d,n/d,0.0034024229867375775,0.02724945836220062,0.01659757701326242,2026-07-31,DOC_FIDC_II_REG_202412 | CVM_FIDC_202607_VIII,Documentado,Observado = valores da Tabela VIII / carteira; a CVM publica os maiores valores sem identificação do devedor.
FIDC_III,0.001,0.01,n/d,n/d,n/d,n/d,n/d,0.0013293628206343026,0.011714587741632506,-0.0003293628206343026,2026-07-31,DOC_FIDC_III_REG_202512 | CVM_FIDC_202607_VIII,Documentado,Observado = valores da Tabela VIII / carteira; a CVM publica os maiores valores sem identificação do devedor.
FIDC_IV,0.2,n/d,n/d,n/d,n/d,n/d,n/d,0.04938548246023945,0.3357596375549542,0.15061451753976057,2026-07-31,DOC_FIDC_IV_REG_202510 | CVM_FIDC_202607_VIII,Documentado,Observado = valores da Tabela VIII / carteira; a CVM publica os maiores valores sem identificação do devedor.
FIDC_V,0.02,0.1,n/d,0.1,n/d,n/d,n/d,0.005114997034564333,0.03849192995881883,0.014885002965435667,2026-07-31,DOC_FIDC_V_REG_202411 | CVM_FIDC_202607_VIII,Documentado,Observado = valores da Tabela VIII / carteira; a CVM publica os maiores valores sem identificação do devedor.
FIDC_VI,0.2,n/d,n/d,n/d,n/d,n/d,n/d,0.0,0.0,0.2,2026-07-31,DOC_FIDC_VI_REG_202605 | CVM_FIDC_202607_VIII,Documentado,Observado = valores da Tabela VIII / carteira; a CVM publica os maiores valores sem identificação do devedor.
FIDC_VII,0.2,n/d,n/d,n/d,n/d,n/d,n/d,0.00022628154613655758,0.0019126075073097623,0.19977371845386346,2026-07-31,DOC_FIDC_VII_REG_202605 | CVM_FIDC_202607_VIII,Documentado,Observado = valores da Tabela VIII / carteira; a CVM publica os maiores valores sem identificação do devedor.
CRI_K1,0.001,0.01,0.2,n/d,n/d,n/d,n/d,0.0,0.01,0.001,2026-06-01,ANX_CRI1_PROSP_20240216 | CVM_CRI_2026_CREDITOS,Documentado,Cap ANBIMA de 20% é classificação de mercado e não substitui o limite contratual.
CRI_K2,0.001,n/d,0.2,n/d,n/d,n/d,n/d,0.0,0.01,0.001,2026-05-01,ANX_CRI2_RATING_202406 | CVM_CRI_2026_CREDITOS,Documentado,Cap ANBIMA de 20% é classificação de mercado e não substitui o limite contratual.
CRI_K3,0.001,n/d,0.2,n/d,n/d,n/d,n/d,0.0,0.01,0.001,2026-05-01,ANX_CRI3_LAM_PREL_20250422 | CVM_CRI_2026_CREDITOS,Documentado,Cap ANBIMA de 20% é classificação de mercado e não substitui o limite contratual.
CRI_K4,0.001,n/d,0.2,n/d,n/d,n/d,n/d,0.0,0.01,0.001,2026-05-01,ANX_CRI4_INICIO_20250929 | CVM_CRI_2026_CREDITOS,Documentado,Cap ANBIMA de 20% é classificação de mercado e não substitui o limite contratual.
CRI_V174,"0,15% até 470,6 mil unidades; 0,07% no patamar 750 mil",n/d,0.2,n/d,n/d,n/d,n/d,0.0,0.0,n/d,2026-06-01,ANX_CRIV_LAM_PREL_20260417 | CVM_CRI_2026_CREDITOS,Documentado,Cap ANBIMA de 20% é classificação de mercado e não substitui o limite contratual.
CRI_V177,n/d,n/d,0.2,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,CVM_FUNDOSNET_VERT177_20260720 | CVM_CRI_2026_CREDITOS,n/d,Cap ANBIMA de 20% é classificação de mercado e não substitui o limite contratual.
