veiculo_id,saque_permitido,quem_solicita,quem_autoriza,quorum,testes_exigidos,pisos_de_subordinacao_pct,indices_de_cobertura,trava_temporal,vedacoes_pos_evento,principal_subordinado_ja_pago_R$mi,primeira_ocorrencia,ultima_ocorrencia,attachment_atual_pct_carteira,subordinacao_antes_do_saque_pct,subordinacao_depois_pct,variacao_pp,impacto_na_senior,fonte_id,status,nota_metodo
FIDC_I,sim,titular B/júnior,administrador após testes,n/d,"subordinação pro forma 26,5%; B+júnior 16,5%; cobertura públicas 110%; eventos/reservas/concentração ok",25% total; 15% B+júnior,n/d,durante o regime previsto,vedado se evento ou teste desenquadrado,n/d,n/d,n/d,0.3532781158948364,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,DOC_FIDC_I_REG_202411 | CVM_FIDC_202607_I_IV | CVM_FIDC_202607_X2,Inferido,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
FIDC_II,sim,titular júnior,administrador após testes,n/d,razões mínimas; índices de atraso; retorno 3m e mês positivo; sem evento,"20% total; 4,5% júnior",n/d,n/d,vedado em evento/liquidação,n/d,n/d,n/d,0.23916623200993703,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,DOC_FIDC_II_REG_202412 | CVM_FIDC_202607_I_IV | CVM_FIDC_202607_X2,Inferido,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
FIDC_III,sim,titular júnior,administrador após testes,n/d,subordinação ≥25%; B+júnior ≥10%; júnior ≥12% para saque; coberturas,25% total; 10% B+júnior; 4% júnior,targets 67/15/6/12,até evento/mês 48,vedado em sequencial,n/d,n/d,n/d,0.33226914105422317,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,DOC_FIDC_III_REG_202512 | CVM_FIDC_202607_I_IV | CVM_FIDC_202607_X2,Inferido,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
FIDC_IV,sim,titular júnior,n/d,n/d,cláusulas internas incompletas,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,DOC_FIDC_IV_REG_202510 | CVM_FIDC_202607_I_IV | CVM_FIDC_202607_X2,Documentado,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
FIDC_V,sim,titular júnior,administrador após testes,n/d,subordinação pro forma 22%; júnior 9%; cobertura pública 105%; retorno positivo,20% total; 7% júnior,n/d,n/d,vedado em evento,n/d,n/d,n/d,0.2002735100077549,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,DOC_FIDC_V_REG_202411 | CVM_FIDC_202607_I_IV | CVM_FIDC_202607_X2,Inferido,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
FIDC_VI,sim,75% da cota júnior,administrador,75% do júnior,"pró-rata; coberturas 136%/113,3%/106,3%; MTM; sem evento","5% A; 2,5% B; 2% júnior",coberturas e atraso-90,até desinvestimento,vedado no sequencial/evento,n/d,n/d,n/d,0.3324210521407403,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,DOC_FIDC_VI_REG_202605 | CVM_FIDC_202607_I_IV | CVM_FIDC_202607_X2,Inferido,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
FIDC_VII,sim,75% da cota júnior,administrador,75% do júnior,pró-rata; coberturas; MTM; sem evento,"5% A; 2,5% B; 2% júnior",targets 73/15/6/6,após carência; respeita revolvência,vedado no sequencial/evento,n/d,n/d,n/d,0.25993841811430857,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,DOC_FIDC_VII_REG_202605 | CVM_FIDC_202607_I_IV | CVM_FIDC_202607_X2,Inferido,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
CRI_K1,sim — por waterfall,automático pelo contrato,securitizadora,n/d,regime pró-rata; prêmio residual somente após S1–S4,targets 54/15/18/5/8,n/d,até mês 47 se sem evento,prêmio residual travado,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,ANX_CRI1_PROSP_20240216,Documentado,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
CRI_K2,sim — por waterfall,automático pelo contrato,securitizadora,n/d,regime pró-rata e coberturas,índices 159%/123%/110%/105%,n/d,até mês 47 se sem evento,vedado no sequencial conforme termo,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,ANX_CRI2_RATING_202406,Documentado,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
CRI_K3,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d — nenhum saque observado com valor e data publicados,ANX_CRI3_LAM_PREL_20250422,n/d,Attachment atual = (NAV mezanino + NAV júnior) / carteira bruta na mesma competência. Antes/depois de saque permanece n/d sem ocorrência pública com valor e data.
