veiculo_id,serie,saldo_atual_R$,indexador,taxa_contratada,taxa_equivalente_CDI_hoje,taxa_equivalente_pre_hoje,spread_sobre_DI_bps,custo_ponderado_da_camada,custo_medio_ponderado_das_cotas_publicas,custo_da_subordinada,custos_fixos_anualizados_bps,custo_distribuicao_uma_vez_bps,custo_all_in_bps,data_base,fonte_id,status,nota_metodo
FIDC_I,Senior Série 1,53181208.86890634,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_I,Subordinada Subordinada 1 |,3309361.2497871807,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_I,Subordinada Mezanino 1 | Série 1,8246909.739938952,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_I,Subordinada Mezanino 1 | Série 2,18959075.83987251,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_II,Senior Série 1,64943056.81,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_II,Senior Série 2,3649785.4304,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_II,Subordinada Mezanino 1 | Série 1,13637694.52,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_II,Subordinada Mezanino 1 | Série 2,358150.06,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_II,Subordinada Subordinada 1 |,11545811.041128492,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
FIDC_III,Senior Série 1,94256079.06875,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,2026-08-22,CVM_FIDC_202607_X2,n/d,Equivalências dependem da curva DI futura e inflação implícita da data-base; a curva datada não foi obtida. Taxa contratada permanece documentada.
