indicador,valor,unidade,leitura,data_base,fonte_id
Veiculos no programa,13,veiculos,Sete FIDCs de warehouse e seis operacoes de CRI de take-out,2026-08-21,ANX-DECK
Series de CRI,34,series,"5+5+6+7+6+5 nas seis operacoes, incluindo a serie privada de cada uma",2026-08-21,ANX-DECK; ANX-LAM-K1; ANX-INI-K4
Classes de cotas de FIDC,34,classes,Coincidencia numerica com as series de CRI; sao dimensoes diferentes e nao se somam,2026-07-31,ANX-DECK
Volume nominal de CRI emitido,"3.670,7",R$ mi,"Soma das seis operacoes, series publicas e privadas",2026-08-21,ANX-DECK
Series privadas Subordinado Jr.,"107,0",R$ mi,"De 2,49% a 3,00% de cada operacao, subscritas pela Solfacil e/ou partes relacionadas",2026-08-21,ANX-DECK
PL somado dos sete FIDCs,"1.234,6",R$ mi,Competencia de julho de 2026,2026-07-31,ANX-DECK
Carteira somada dos sete FIDCs,"986,7",R$ mi,Direitos creditorios; a diferenca para o PL sao outros ativos liquidos,2026-07-31,ANX-DECK
Cap por devedor mais apertado,"0,07",% do Patrimonio Separado,"CRI-V, a partir de 750.000 quantidades integralizadas",2026-04-17,ANX-LAM-V174
WAM contratual maximo,2.000,dias,Igual nas seis operacoes de CRI; 2.400 dias em tres dos sete FIDCs,2026-08-21,ANX-LAM-K3; ANX-LAM-V174
Prazo maximo por recebivel,3.845,dias,"126,4 meses, contados da emissao da CCB, nas seis operacoes",2026-08-21,ANX-LAM-K3; ANX-LAM-V174
Principal subordinado ja pago nos FIDCs,"1.076,2",R$ mi,Mezanino e junior somados; ocorreu nos sete fundos,2026-07-31,ANX-DECK
Operacoes com informe mensal de CRI,5 de 6,operacoes,A VERT 177a ainda nao tem informe,2026-08-21,ANX-DECK
