veiculo_id,metrica,ate_15d,d16_30,d31_60,d61_90,d91_120,d121_150,d151_180,acima_180d,base_de_incidencia,efeito_vagao,tratamento_do_dia_181,pdd_adicional_discricionaria,pdd_observada_pct_carteira,saldo_90d_pct_carteira,razao_pdd_sobre_90d,curva,data_base,fonte_id,status
CRI-I,PDD contábil por faixa de atraso,"0,00","1,00","3,00","10,00","30,00","50,00","70,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida","Sim - definido em contrato como o arrasto da pior classificação de atraso entre todas as CCBs de um mesmo devedor, esteja o título vencido ou a vencer",Provisão integral acima de 180 dias,n/d,n/d,n/d,n/d,Inicial,2024-01-15,ANX-PRO-K1,Documentado
CRI-II,PDD contábil por faixa de atraso,"0,00","1,00","3,00","10,00","30,00","50,00","70,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida","Sim - definido em contrato como o arrasto da pior classificação de atraso entre todas as CCBs de um mesmo devedor, esteja o título vencido ou a vencer",Provisão integral acima de 180 dias,n/d,n/d,n/d,n/d,Inicial,2024-06-25,ANX-PRO-K2,Documentado
CRI-III,PDD contábil por faixa de atraso,"0,00","1,50","5,00","10,00","37,00","58,00","78,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida","Sim - definido em contrato como o arrasto da pior classificação de atraso entre todas as CCBs de um mesmo devedor, esteja o título vencido ou a vencer",Provisão integral acima de 180 dias,n/d,n/d,n/d,n/d,Posterior,2025-05-28,ANX-DECK,Documentado
CRI-IV,PDD contábil por faixa de atraso,"0,00","1,50","5,00","10,00","37,00","58,00","78,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida","Sim - definido em contrato como o arrasto da pior classificação de atraso entre todas as CCBs de um mesmo devedor, esteja o título vencido ou a vencer",Provisão integral acima de 180 dias,n/d,n/d,n/d,n/d,Posterior,2025-09-28,ANX-DECK,Documentado
CRI-V,PDD contábil por faixa de atraso,"0,00","1,50","5,00","10,00","37,00","58,00","78,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida","Sim - definido em contrato como o arrasto da pior classificação de atraso entre todas as CCBs de um mesmo devedor, esteja o título vencido ou a vencer",Provisão integral acima de 180 dias,n/d,n/d,n/d,n/d,Posterior,2026-05-20,ANX-DECK,Documentado
CRI-VI,PDD contábil por faixa de atraso,"0,00","1,50","5,00","10,00","37,00","58,00","78,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida","Sim - definido em contrato como o arrasto da pior classificação de atraso entre todas as CCBs de um mesmo devedor, esteja o título vencido ou a vencer",Provisão integral acima de 180 dias,n/d,n/d,n/d,n/d,Posterior,2026-07-21,ANX-DECK,Documentado
FIDC-I,PDD contábil por faixa de atraso,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,Tabela específica não pública,n/d,n/d,n/d,"6,8","1,3",527,n/d,2026-07-31,ANX-DECK,Documentado
FIDC-II,PDD contábil por faixa de atraso,"0,00","2,00","6,00","20,00","100,00","100,00","100,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida",n/d,Provisão integral já a partir de 91 dias,n/d,"0,0","2,1",0,Salto integral acima de 90 dias,2026-07-31,ANX-DECK,Documentado
FIDC-III,PDD contábil por faixa de atraso,n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,Tabela específica não pública,n/d,n/d,n/d,"5,7","1,2",469,n/d,2026-07-31,ANX-DECK,Documentado
FIDC-IV,PDD contábil por faixa de atraso,"0,50","1,00","3,00","10,00","30,00","50,00","70,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida",n/d,Provisão integral acima de 180 dias,n/d,"69,9","12,7",550,Inicial,2026-07-31,ANX-DECK,Documentado
FIDC-V,PDD contábil por faixa de atraso,"0,50","1,00","3,00","10,00","30,00","50,00","70,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida",n/d,Provisão integral acima de 180 dias,n/d,"9,3","1,7",546,Inicial; lacunas na tabela pública,2026-07-31,ANX-DECK,Documentado
FIDC-VI,PDD contábil por faixa de atraso,"0,00","1,50","5,00","10,00","37,00","58,00","78,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida",n/d,Lacuna literal no dia 181: a tabela salta de '151-180' para 'acima de 181',n/d,"48,8","8,4",581,Posterior,2026-07-31,ANX-DECK,Documentado
FIDC-VII,PDD contábil por faixa de atraso,"0,00","1,50","5,00","10,00","37,00","58,00","78,00","100,00","Valor presente do Direito Creditorio (saldo remanescente da CCB), não apenas a parcela vencida",n/d,"Lacuna literal no dia 181, igual a do VI",n/d,"0,2","0,0",3.725,Posterior,2026-07-31,ANX-DECK,Documentado
CRI-III,Inadimplência por safra (perda bruta e líquida),n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,Somatorio dos saldos devedores dos contratos com atraso > 90 dias dividido pelo total originado na safra,"n/a - métrica de safra, não de provisão",n/a,n/d,n/d,n/d,n/d,Perda bruta e perda líquida; a diferença entre as duas são as recuperações (pagamentos e renegociações após 90 dias),2025-04-22,ANX-LAM-K3,Documentado
CRI-V,Inadimplência por safra (perda bruta e líquida),n/d,n/d,n/d,n/d,n/d,n/d,n/d,n/d,Somatorio dos saldos devedores dos contratos com atraso > 90 dias dividido pelo total originado na safra,"n/a - métrica de safra, não de provisão",n/a,n/d,n/d,n/d,n/d,Perda bruta e perda líquida; o Prospecto traz a tabela de perda líquida consolidada de operações pré-fixadas,2026-04-17,ANX-LAM-V174,Documentado
