veiculo_id,serie,camada,tipo_de_investidor,numero_de_subscritores,quantidade_subscrita,data_base,fonte_id
CRI-I,1a,Super Sênior,Pessoas naturais,989,151827,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Clubes de investimento,0,0,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Fundos de investimento,1,1201,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Entidades de previdencia privada,0,0,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Companhias seguradoras,0,0,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Investidores estrangeiros,0,0,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Instituições intermediárias participantes do consórcio de distribuição,0,0,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Instituições financeiras ligadas ao emissor e aos participantes do consórcio,1,200000,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Demais instituições financeiras,0,0,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Demais pessoas jurídicas ligadas ao emissor e aos participantes do consórcio,0,0,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,Demais pessoas jurídicas,1,1895,2024-02-23,ANX-ENC-K1
CRI-I,1a,Super Sênior,"Socios, administradores, empregados, prepostos e demais pessoas ligadas ao emissor e aos participantes do consórcio",16,5077,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Pessoas naturais,774,82621,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Clubes de investimento,0,0,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Fundos de investimento,1,5717,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Entidades de previdencia privada,0,0,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Companhias seguradoras,0,0,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Investidores estrangeiros,0,0,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Instituições intermediárias participantes do consórcio de distribuição,0,0,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Instituições financeiras ligadas ao emissor e aos participantes do consórcio,0,0,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Demais instituições financeiras,0,0,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Demais pessoas jurídicas ligadas ao emissor e aos participantes do consórcio,0,0,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,Demais pessoas jurídicas,1,70,2024-02-23,ANX-ENC-K1
CRI-I,2a,Sênior,"Socios, administradores, empregados, prepostos e demais pessoas ligadas ao emissor e aos participantes do consórcio",29,1592,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Pessoas naturais,175,48204,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Clubes de investimento,0,0,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Fundos de investimento,3,19500,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Entidades de previdencia privada,0,0,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Companhias seguradoras,0,0,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Investidores estrangeiros,1,12000,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Instituições intermediárias participantes do consórcio de distribuição,0,0,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Instituições financeiras ligadas ao emissor e aos participantes do consórcio,1,20000,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Demais instituições financeiras,0,0,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Demais pessoas jurídicas ligadas ao emissor e aos participantes do consórcio,0,0,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,Demais pessoas jurídicas,1,2473,2024-02-23,ANX-ENC-K1
CRI-I,3a,Mezanino,"Socios, administradores, empregados, prepostos e demais pessoas ligadas ao emissor e aos participantes do consórcio",34,5823,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Pessoas naturais,200,7904,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Clubes de investimento,0,0,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Fundos de investimento,3,18500,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Entidades de previdencia privada,0,0,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Companhias seguradoras,0,0,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Investidores estrangeiros,0,0,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Instituições intermediárias participantes do consórcio de distribuição,0,0,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Instituições financeiras ligadas ao emissor e aos participantes do consórcio,0,0,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Demais instituições financeiras,0,0,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Demais pessoas jurídicas ligadas ao emissor e aos participantes do consórcio,0,0,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,Demais pessoas jurídicas,1,1350,2024-02-23,ANX-ENC-K1
CRI-I,4a,Subordinado,"Socios, administradores, empregados, prepostos e demais pessoas ligadas ao emissor e aos participantes do consórcio",26,2246,2024-02-23,ANX-ENC-K1
