fidc,cri,estado,criterio_que_bloqueia_ou_evidencia,fonte_id,status
FIDC-I,CRI-I,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-I,CRI-II,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-I,CRI-III,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-I,CRI-IV,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-I,CRI-V,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-I,CRI-VI,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-II,CRI-I,Cedeu,Nomeado no Prospecto Definitivo como representante de mais de 10% dos Direitos Creditorios Cedidos,ANX-PRO-K1,Documentado
FIDC-II,CRI-II,Cedeu,Definicao de 'Cedentes' no Prospecto: o FIDC II e o FIDC IV em conjunto,ANX-PRO-K2,Documentado
FIDC-II,CRI-III,Cedeu,Deck registra cedentes FIDC II + IV + VI,ANX-DECK,Documentado
FIDC-II,CRI-IV,Cedeu,Deck registra cedentes FIDC II + IV + VI e cessao direta da originadora,ANX-DECK,Documentado
FIDC-II,CRI-V,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-II,CRI-VI,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-III,CRI-I,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-III,CRI-II,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-III,CRI-III,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-III,CRI-IV,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-III,CRI-V,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-III,CRI-VI,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-IV,CRI-I,Cedeu,Nomeado no Prospecto Definitivo como representante de mais de 10% dos Direitos Creditorios Cedidos,ANX-PRO-K1,Documentado
FIDC-IV,CRI-II,Cedeu,Definicao de 'Cedentes' no Prospecto: o FIDC II e o FIDC IV em conjunto,ANX-PRO-K2,Documentado
FIDC-IV,CRI-III,Cedeu,Deck registra cedentes FIDC II + IV + VI,ANX-DECK,Documentado
FIDC-IV,CRI-IV,Cedeu,Deck registra cedentes FIDC II + IV + VI e cessao direta da originadora,ANX-DECK,Documentado
FIDC-IV,CRI-V,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-IV,CRI-VI,Pode ceder,"Mandato origina CCB pre-fixada de financiamento solar, com prazo e ticket dentro dos tetos do CRI; sem cessao documentada para esta operacao",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-V,CRI-I,Nao elegivel no mandato integral,"Mandato admite CPR-F alem de CCB e prazo de ate 4.760 dias, acima do teto de 3.845 dias dos CRI; ticket PF de ate R$ 500 mil supera o limite de R$ 350 mil - parte da carteira pode ser elegivel, o mandato como um todo nao e",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-V,CRI-II,Nao elegivel no mandato integral,"Mandato admite CPR-F alem de CCB e prazo de ate 4.760 dias, acima do teto de 3.845 dias dos CRI; ticket PF de ate R$ 500 mil supera o limite de R$ 350 mil - parte da carteira pode ser elegivel, o mandato como um todo nao e",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
FIDC-V,CRI-III,Nao elegivel no mandato integral,"Mandato admite CPR-F alem de CCB e prazo de ate 4.760 dias, acima do teto de 3.845 dias dos CRI; ticket PF de ate R$ 500 mil supera o limite de R$ 350 mil - parte da carteira pode ser elegivel, o mandato como um todo nao e",ANX-DECK; ANX-LAM-K3; ANX-LAM-V174,Inferido
