veiculo_id,serie,camada,n_pagamento,competencia,status,paga_amortizacao,pct_amortizacao_do_saldo,saldo_final_pct_do_VNU,paga_remuneracao,atinge_98pct_amortizado,fonte_id
CRI-II,1a,Super Senior,1,05/07/2024,Projetado,não,0.0000,100.0000,não,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,2,07/08/2024,Projetado,não,0.0000,100.0000,não,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,3,06/09/2024,Projetado,sim,1.7241,98.2759,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,4,07/10/2024,Projetado,sim,1.7544,96.5517,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,5,07/11/2024,Projetado,sim,1.7857,94.8276,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,6,06/12/2024,Projetado,sim,1.8182,93.1035,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,7,08/01/2025,Projetado,sim,1.8519,91.3793,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,8,07/02/2025,Projetado,sim,1.8868,89.6551,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,9,11/03/2025,Projetado,sim,1.9231,87.9310,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,10,07/04/2025,Projetado,sim,1.9608,86.2068,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,11,08/05/2025,Projetado,sim,2.0000,84.4827,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,12,06/06/2025,Projetado,sim,2.0408,82.7586,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,13,07/07/2025,Projetado,sim,2.0833,81.0345,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,14,07/08/2025,Projetado,sim,2.1277,79.3103,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,15,05/09/2025,Projetado,sim,2.1739,77.5862,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,16,07/10/2025,Projetado,sim,2.2222,75.8620,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,17,07/11/2025,Projetado,sim,2.2727,74.1379,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,18,05/12/2025,Projetado,sim,2.3256,72.4138,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,19,08/01/2026,Projetado,sim,2.3810,70.6896,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,20,06/02/2026,Projetado,sim,2.4390,68.9655,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,21,06/03/2026,Projetado,sim,2.5000,67.2413,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,22,08/04/2026,Projetado,sim,2.5641,65.5172,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,23,08/05/2026,Projetado,sim,2.6316,63.7931,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,24,08/06/2026,Projetado,sim,2.7027,62.0689,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,25,07/07/2026,Projetado,sim,2.7778,60.3448,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,26,07/08/2026,Projetado,sim,2.8571,58.6207,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,27,08/09/2026,Projetado,sim,2.9412,56.8965,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,28,07/10/2026,Projetado,sim,3.0303,55.1724,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,29,09/11/2026,Projetado,sim,3.1250,53.4482,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,30,07/12/2026,Projetado,sim,3.2258,51.7241,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,31,08/01/2027,Projetado,sim,3.3333,50.0000,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,32,05/02/2027,Projetado,sim,3.4483,48.2758,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,33,05/03/2027,Projetado,sim,3.5714,46.5517,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,34,07/04/2027,Projetado,sim,3.7037,44.8276,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,35,07/05/2027,Projetado,sim,3.8462,43.1034,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,36,07/06/2027,Projetado,sim,4.0000,41.3793,sim,nao,ANX-TS2-K2
CRI-II,1a,Super Senior,37,07/07/2027,Projetado,sim,4.1667,39.6551,sim,nao,ANX-TS2-K2
