veiculo_id,camada,primeira_ocorrencia,ultima_ocorrencia,meses_com_pagamento,total_amortizado_Rmi,maximo_mensal_Rmi,status,fonte_id
FIDC-I,Subordinado Jr.,2022-02-28,2026-07-31,41,45.3,2.1,Realizado,ANX-DECK
FIDC-I,Mezanino,2024-01-31,2026-07-31,28,85.1,7.4,Realizado,ANX-DECK
FIDC-II,Subordinado Jr.,2022-08-31,2026-02-28,20,118.8,13.8,Realizado,ANX-DECK
FIDC-II,Mezanino,2023-12-31,2026-04-30,19,42.0,19.1,Realizado,ANX-DECK
FIDC-III,Subordinado Jr.,2025-01-31,2026-07-31,18,26.0,3.2,Realizado,ANX-DECK
FIDC-III,Mezanino,2024-04-30,2026-07-31,25,75.4,5.2,Realizado,ANX-DECK
FIDC-IV,Subordinado Jr.,2022-07-31,2025-11-30,21,159.4,86.7,Realizado,ANX-DECK
FIDC-IV,Mezanino,2023-12-31,2025-08-31,12,279.5,151.4,Realizado,ANX-DECK
FIDC-V,Subordinado Jr.,2023-03-31,2026-02-28,6,11.6,3.4,Realizado,ANX-DECK
FIDC-V,Mezanino,2023-12-31,2026-07-31,26,22.8,6.0,Realizado,ANX-DECK
FIDC-VI,Subordinado Jr.,2025-12-31,2026-06-30,2,35.2,29.0,Realizado,ANX-DECK
FIDC-VI,Mezanino,2025-03-31,2026-06-30,15,148.1,111.4,Realizado,ANX-DECK
FIDC-VII,Subordinado Jr.,2026-07-31,2026-07-31,1,7.7,7.7,Realizado,ANX-DECK
CRI-I,Sênior,2024-04-01,2026-06-01,27,268.4,16.8,Realizado,ANX-DECK
CRI-I,Mezanino,2024-09-01,2026-06-01,22,77.7,6.5,Realizado,ANX-DECK
CRI-I,Subordinado,2025-07-01,2026-06-01,12,22.5,7.4,Realizado,ANX-DECK
CRI-II,Sênior,2024-09-01,2026-05-01,19,258.7,18.5,Realizado,ANX-DECK
CRI-II,Mezanino,2025-01-01,2026-05-01,15,31.7,6.4,Realizado,ANX-DECK
CRI-II,Subordinado,2025-09-01,2026-05-01,9,7.8,2.6,Realizado,ANX-DECK
CRI-II,Subordinado Jr.,2025-10-01,2026-05-01,8,6.8,1.4,Realizado,ANX-DECK
CRI-III,Sênior,2025-08-01,2026-05-01,10,156.1,21.4,Realizado,ANX-DECK
CRI-III,Mezanino,2026-02-01,2026-05-01,4,6.6,1.7,Realizado,ANX-DECK
CRI-III,Subordinado,2026-02-01,2026-05-01,4,8.3,3.2,Realizado,ANX-DECK
CRI-IV,Sênior,2025-12-01,2026-05-01,6,56.8,6.7,Realizado,ANX-DECK
