veiculo_id,instrumento,mecanismo_de_preco,teto_contratual,preco_efetivamente_praticado,quem_define,fonte_id,status
CRI-VI,CRI,"Valor presente das parcelas vincendas, descontadas pela Taxa de Retorno em base 252 dias úteis, conforme fórmula do Termo de Securitização","O valor bruto da fórmula é o máximo; a elegibilidade exige Taxa de Retorno igual ou superior à Taxa Média Mínima de Retorno, o que fixa o preço máximo por baixo da taxa mínima","não disponível nos documentos - o preço de cada cessão é evidenciado em cada Termo de Cessão, que não é público","Emissora, evidenciado em cada Termo de Cessão",ANX-TS-V177,Documentado - mecanismo; preço realizado não disponível
CRI-I,CRI,Preço de Aquisição definido no Contrato de Cessão,"Taxa Média Mínima de Retorno de 21,5% a.a. como piso da taxa de desconto",não disponível nos documentos,Emissora,ANX-PRO-K1,Documentado - piso de taxa; preço realizado não disponível
CRI-II,CRI,Preço de Aquisição definido no Contrato de Cessão,"Taxa Média Mínima de Retorno de 21,0% a.a. como piso da taxa de desconto",não disponível nos documentos,Emissora,ANX-PRO-K2,Documentado - piso de taxa; preço realizado não disponível
CRI-III,CRI,Preço de Aquisição definido no Contrato de Cessão,Elegibilidade exige Taxa de Retorno igual ou superior à Taxa Média Mínima de Retorno; o percentual não consta da lâmina,não disponível nos documentos,Emissora,ANX-LAM-K3,Documentado - regra; parâmetro e preço não disponíveis
CRI-IV,CRI,não disponível nos documentos,não disponível nos documentos,não disponível nos documentos,n/d,ANX-DECK,não disponível
CRI-V,CRI,Preço de Aquisição definido no Contrato de Cessão,"Elegibilidade exige Taxa de Retorno igual ou superior à Taxa Média Mínima de Retorno, medida sobre o valor presente da cessão",não disponível nos documentos,Emissora,ANX-LAM-V174,Documentado - regra; parâmetro e preço não disponíveis
FIDC-VI,FIDC,Percentual do saldo contábil do direito creditório,Máximo de 101% do saldo contábil,não disponível nos documentos,"Gestora, que testa a elegibilidade",ANX-DECK,Documentado - teto; preço realizado não disponível
FIDC-VII,FIDC,Percentual do saldo contábil do direito creditório,Máximo de 104% do saldo contábil,não disponível nos documentos,Endossantes e originador atestam a condição,ANX-DECK,Documentado - teto; preço realizado não disponível
FIDC-I,FIDC,Percentual do saldo contábil,"Máximo de 100,4% do saldo contábil",não disponível nos documentos,Gestor,ANX-DECK,Documentado - teto; preço realizado não disponível
FIDC-II,FIDC,Percentual do saldo contábil,"Máximo de 100,5% do saldo contábil",não disponível nos documentos,Gestor,ANX-DECK,Documentado - teto; preço realizado não disponível
FIDC-V,FIDC,Percentual do saldo contábil,"Máximo de 100,5% do saldo contábil",não disponível nos documentos,Gestor,ANX-DECK,Documentado - teto; preço realizado não disponível
DEB-I,Debênture,Aquisição de CCBs com os recursos da emissão,não disponível nos documentos,"Valor de aquisição acumulado de R$ 17.212.382,98 para 499 créditos, igual ao valor nominal total adquirido - ou seja, aquisição ao par",Emissora,ANX-RMA-DEB,Documentado
