cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,classification_evidence,rule_id,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level
47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,alta,ativos_alvo: regex `\bCPR\b`,fiagro_or_agro,6,9400000000.0,9400000000.0,sem_curadoria_local
44302112000172,CLASSE ÚNICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-BAYER RESPONSABILIDADE LIMITADA,Agro,Agro,media,nome_emissor: regex `\bAGRO\b`,fiagro_or_agro,3,1700000000.0,1700000000.0,sem_curadoria_local
57325251000163,ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGOCIO DE RESPONSABILIDADE LIMITADA,Agro,Agro,media,nome_emissor: regex `AGRONEGOCIO`,fiagro_or_agro,6,1230974000.0,1230974000.0,sem_curadoria_local
23956882000169,SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO` | ativos_alvo: regex `PRODUTOR(?:ES)? RURAL`,fiagro_or_agro,4,1142000000.0,642000000.0,emissoes_curadas
08632394000102,RED - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL LP - RESPONSABILIDADE LIMITADA,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,2,1000000000.0,1000000000.0,sem_curadoria_local
52286115000198,AGROGALAXY FORNECEDORES FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DC,Agro,Agro,alta,ativos_alvo: regex `\bCPR\b` | valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,2,910000000.0,910000000.0,sem_curadoria_local
46073195000109,"FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-SYNGENTA RESPONSABILIDADE LIMITADA"",",Agro,Agro,alta,nome_emissor: regex `\bAGRO\b` | valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,2,840000000.0,840000000.0,sem_curadoria_local
61669748000176,LAVORO FORNECEDORES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DO AGRONEGÓCIO - RESP LTDA,Agro,Agro,media,nome_emissor: regex `AGRONEGOCIO`,fiagro_or_agro,1,730000000.0,730000000.0,sem_curadoria_local
25382606000160,URA AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO` | nome_emissor: regex `\bAGRO\b`,fiagro_or_agro,5,698000000.08,698000000.08,sem_curadoria_local
47936340000192,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS OPEA AGRO INSUMOS,Agro,Agro,media,nome_emissor: regex `\bAGRO\b`,fiagro_or_agro,1,675000000.0,675000000.0,sem_curadoria_local
65505678000171,ERYTHRINA FIDC SEGMENTO INFRAESTRUTURA E AGRONEGOCIO DE RESPONSABILIDADE LIMITADA,Agro,Agro,media,nome_emissor: regex `AGRONEGOCIO`,fiagro_or_agro,2,580000000.0,580000000.0,sem_curadoria_local
47117579000130,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS IRON FGTS,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,5,450001594.58,450001594.58,sem_curadoria_local
66573323000182,AUGME XPCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS I DE RESPONSABILIDADE LIMITADA,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,1,450000000.0,0.0,sem_curadoria_local
60457292000118,BTG PACTUAL ASSET CERES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,2,435802000.0,435802000.0,sem_curadoria_local
57076795000139,ÉXES CARAJÁ FI NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - FIAGRO - DIREITOS CREDITÓRIOS RESP LIMITADA,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,2,425150000.0,425150000.0,sem_curadoria_local
54114034000136,SAFRAS ARMAZÉNS GERAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,media,nome_emissor: regex `SAFRA`,fiagro_or_agro,8,380000000.21000004,380000000.21000004,sem_curadoria_local
50653601000171,INDIGO FIAGRO - DIREITOS CREDITÓRIOS DO AGRONEGÓCIO,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,1,373000000.0,373000000.0,sem_curadoria_local
55251626000162,ROTTERDAM FIAGRO - DIREITOS CREDITORIOS,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,1,350500000.0,350500000.0,sem_curadoria_local
59999281000180,Classe Única do Fitz Roy Special Situations II FIDC de Responsabilidade Limitada,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,2,340170000.06,300000000.0,sem_curadoria_local
51554551000138,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO NITRO AGRO,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,2,337500000.0,337500000.0,sem_curadoria_local
60676622000166,EUROCHEM FIAGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DO AGRONEGOCIO DE RESP LTDA,Agro,Agro,media,nome_emissor: regex `\bFIAGRO\b`,fiagro_or_agro,2,337500000.0,337500000.0,sem_curadoria_local
54876169000139,BARBARESCO 4870 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,alta,ativos_alvo: regex `SAFRA`,fiagro_or_agro,1,334000000.0,334000000.0,sem_curadoria_local
43616501000100,INSUMOS MILENIO TERRAMAGNA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS FIAGRO - DC,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,2,316000000.0,316000000.0,sem_curadoria_local
58321970000179,SIRIUS IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,4,300000000.0,220000000.0,sem_curadoria_local
58377489000103,VINCI MAV III - FIAGRO - DIREITOS CREDITÓRIOS,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,1,300000000.0,300000000.0,sem_curadoria_local
59258058000182,AUDAX AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,media,nome_emissor: regex `\bAGRO\b`,fiagro_or_agro,7,290000000.0,57500000.0,sem_curadoria_local
58154011000106,FARMTECH KEY ACCOUNTS - FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DO AGRONEGOCIO - RESP LTDA,Agro,Agro,alta,ativos_alvo: regex `\bCPR\b`,fiagro_or_agro,1,289000000.0,289000000.0,sem_curadoria_local
57259989000170,TRES TENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DO AGRONEGOCIO RESPONSABILIDADE LIMITADA,Agro,Agro,media,nome_emissor: regex `AGRONEGOCIO`,fiagro_or_agro,1,280140000.0,280140000.0,sem_curadoria_local
58595391000114,BTG PACTUAL CRÉDITO AGRÍCOLA BTAG II PRÉ FIAGRO - DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,1,250000000.0,250000000.0,sem_curadoria_local
58600779000166,BTG PACTUAL CRÉDITO AGRÍCOLA BTAG II CDI FIAGRO - DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,1,250000000.0,250000000.0,sem_curadoria_local
55476342000174,LAVORO AGRO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS DAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,1,248000000.0,248000000.0,sem_curadoria_local
54495443000120,GV HOME EQUITY FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,alta,ativos_alvo: regex `PRODUTOR(?:ES)? RURAL`,fiagro_or_agro,4,230000000.01,130000000.01,sem_curadoria_local
34691203000193,ECOAGRO INSUMOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Agro,Agro,media,nome_emissor: regex `\bFIAGRO\b`,fiagro_or_agro,3,218966709.1,218966709.1,sem_curadoria_local
54619490000138,SAFRAS AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Agro,Agro,media,nome_emissor: regex `\bAGRO\b`,fiagro_or_agro,1,202000000.0,202000000.0,sem_curadoria_local
54201573000102,TERRAMAGNA FI EM COTAS DE FI FIAGRO - DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,1,200000000.0,200000000.0,sem_curadoria_local
55054815000145,TERRAMAGNA II FI EM COTAS DE FIAGRO DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Agro,Agro,alta,valor_mobiliario: regex `\bFIAGRO\b`,fiagro_or_agro,1,200000000.0,200000000.0,sem_curadoria_local
62313140000177,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CREDITO NITRO AGRO II - RESPONSABILIDADE LIMITADA,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,1,200000000.0,200000000.0,sem_curadoria_local
17012019000150,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS SIFRA PERFORMANCE,Agro,Agro,alta,ativos_alvo: regex `AGRONEGOCIO`,fiagro_or_agro,6,198000000.0,190000000.0,sem_curadoria_local
