cnpj,fundo,setor_n1,setor_n2,subordination_main_pct_max,subordination_min_pct,subordination_threshold_count,subordination_all_thresholds_pct,sources,normalization_notes
62696791000193,BTG PACTUAL CERES CONFINA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO AGRONEGÓCIO RESP LIMITADA,Agro,Agro,5.0,5.0,1,5,1143317_regulamento_regulamento_1143317_2026-03-20.pdf · ID 1143317 · 20/03/2026,percentual_direto
63546406000194,PINE INSS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Crédito PF,Consignado/INSS,14.5,9.5,2,9.5;14.5,1130481_regulamento_regulamento_1130481_2026-03-05.pdf · ID 1130481 · 05/03/2026,percentual_direto
55983705000168,CRÉDITO UNIVERSITÁRIO IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,Crédito PF,Crédito estudantil,50.0,7.0,2,7;50,1149324_regulamento_regulamento_1149324_2026-03-26.pdf · ID 1149324 · 26/03/2026,percentual_direto
55401645000128,QUATÁ FDC FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Crédito PF,FGTS,3.0,3.0,2,3;3,1051890_regulamento_regulamento_1051890_2025-12-01.pdf · ID 1051890 · 01/12/2025,percentual_direto
54810968000102,ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Crédito PF,FGTS,5.0,5.0,1,5,937760_regulamento_regulamento_937760_2025-04-22.pdf · ID 937760 · 22/04/2025,percentual_direto
51957370000152,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ANGÁ FGTS I - RESPONSABILIDADE LIMITADA,Crédito PF,FGTS,10.0,5.0,2,5;10,1025473_regulamento_regulamento_1025473_2025-04-03.pdf · ID 1025473 · 03/04/2025,percentual_direto
38658727000133,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,Crédito PJ,CCB/Notas comerciais/Capital de giro,10.0,10.0,1,10,790548_regulamento_regulamento_790548_2024-11-28.pdf · ID 790548 · 28/11/2024,percentual_direto
62588266000154,VTK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Crédito PJ,CCB/Notas comerciais/Capital de giro,15.0,15.0,1,15,1002580_regulamento_regulamento_1002580_2025-09-29.pdf · ID 1002580 · 29/09/2025,percentual_direto
52340225000190,INOVA CREDTECH III FIDC SEGMENTO MULTICARTEIRA DE RESPONSABILIDADE LIMITADA,Crédito PJ,Risco sacado/fornecedores,7.5,7.5,1,7.5,1171206_regulamento_regulamento_1171206_2026-03-25.pdf · ID 1171206 · 25/03/2026,percentual_direto
42154687000160,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Crédito PJ,Risco sacado/fornecedores,40.0,40.0,1,40,1140137_regulamento_regulamento_1140137_2026-03-18.pdf · ID 1140137 · 18/03/2026,percentual_direto
