setor_n1,setor_n2,fundos_com_regulamento,asset_class_confirmed_share,asset_class_confirmed_count,named_originator_or_cedente_share,named_originator_or_cedente_count,named_debtor_or_sacado_share,named_debtor_or_sacado_count,revolving_period_share,revolving_period_count,subordination_minimum_share,subordination_minimum_count,mezzanine_layer_share,mezzanine_layer_count,cash_or_liquidity_reserve_share,cash_or_liquidity_reserve_count,repurchase_or_indemnity_share,repurchase_or_indemnity_count,eligibility_criteria_share,eligibility_criteria_count,concentration_limits_share,concentration_limits_count,default_or_performance_triggers_share,default_or_performance_triggers_count,rating_required_share,rating_required_count,derivatives_allowed_share,derivatives_allowed_count,amortization_profile_defined_share,amortization_profile_defined_count,feature_hits_share_median
Crédito PF,Crédito pessoal/consumo,141,0.9574468085106383,135,0.19148936170212766,27,0.03546099290780142,5,0.3475177304964539,49,0.6879432624113475,97,0.5886524822695035,83,0.524822695035461,74,0.3120567375886525,44,0.9787234042553191,138,0.6170212765957447,87,0.9716312056737588,137,0.9716312056737588,137,0.574468085106383,81,0.9787234042553191,138,0.6428571428571429
Não classificado,Revisar manualmente,109,0.0,0,0.01834862385321101,2,0.0,0,0.009174311926605505,1,0.03669724770642202,4,0.06422018348623854,7,0.009174311926605505,1,0.0,0,0.027522935779816515,3,0.03669724770642202,4,0.0,0,0.03669724770642202,4,0.0,0,0.22935779816513763,25,0.0
Crédito PJ,Recebíveis comerciais/multissetorial,90,0.7666666666666667,69,0.13333333333333333,12,0.08888888888888889,8,0.3888888888888889,35,0.4777777777777778,43,0.5333333333333333,48,0.4666666666666667,42,0.4111111111111111,37,0.7333333333333333,66,0.5444444444444444,49,0.7333333333333333,66,0.7777777777777778,70,0.5888888888888889,53,0.9111111111111111,82,0.6428571428571429
Agro,Agro,81,0.9012345679012346,73,0.2716049382716049,22,0.1728395061728395,14,0.43209876543209874,35,0.6419753086419753,52,0.6296296296296297,51,0.5802469135802469,47,0.4691358024691358,38,0.8888888888888888,72,0.654320987654321,53,0.8641975308641975,70,0.8271604938271605,67,0.6790123456790124,55,0.9506172839506173,77,0.6428571428571429
Crédito PJ,Risco sacado/fornecedores,56,0.9821428571428571,55,0.26785714285714285,15,0.017857142857142856,1,0.17857142857142858,10,0.7857142857142857,44,0.7678571428571429,43,0.8392857142857143,47,0.19642857142857142,11,0.9285714285714286,52,0.7142857142857143,40,0.9642857142857143,54,0.9642857142857143,54,0.2857142857142857,16,0.9464285714285714,53,0.6428571428571429
Crédito PF,Consignado/INSS,37,0.8648648648648649,32,0.10810810810810811,4,0.1891891891891892,7,0.43243243243243246,16,0.5135135135135135,19,0.7027027027027027,26,0.5135135135135135,19,0.3783783783783784,14,0.8378378378378378,31,0.4594594594594595,17,0.8378378378378378,31,0.8648648648648649,32,0.7027027027027027,26,0.8918918918918919,33,0.6428571428571429
Crédito PF,Auto/Veículos,36,0.8888888888888888,32,0.2222222222222222,8,0.1388888888888889,5,0.19444444444444445,7,0.5277777777777778,19,0.3333333333333333,12,0.3055555555555556,11,0.3333333333333333,12,0.8611111111111112,31,0.3055555555555556,11,0.6388888888888888,23,0.7777777777777778,28,0.6944444444444444,25,0.9444444444444444,34,0.5714285714285714
Crédito PJ,CCB/Notas comerciais/Capital de giro,36,0.6388888888888888,23,0.08333333333333333,3,0.027777777777777776,1,0.3333333333333333,12,0.5,18,0.6111111111111112,22,0.3333333333333333,12,0.4166666666666667,15,0.6388888888888888,23,0.4722222222222222,17,0.6666666666666666,24,0.6666666666666666,24,0.5277777777777778,19,0.75,27,0.6428571428571429
Imobiliário,Imobiliário,34,0.9117647058823529,31,0.38235294117647056,13,0.23529411764705882,8,0.5882352941176471,20,0.29411764705882354,10,0.5882352941176471,20,0.23529411764705882,8,0.20588235294117646,7,0.8529411764705882,29,0.7352941176470589,25,0.8235294117647058,28,0.9411764705882353,32,0.7058823529411765,24,0.9117647058823529,31,0.6428571428571429
Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,30,1.0,30,0.2,6,0.16666666666666666,5,0.3333333333333333,10,0.8666666666666667,26,0.7666666666666667,23,0.6333333333333333,19,0.5,15,0.9666666666666667,29,0.4,12,0.9666666666666667,29,1.0,30,0.8333333333333334,25,0.9666666666666667,29,0.7142857142857143
Sem oferta CVM mapeada,Sem oferta CVM mapeada,28,0.8571428571428571,24,0.35714285714285715,10,0.35714285714285715,10,0.75,21,0.6071428571428571,17,0.32142857142857145,9,0.5714285714285714,16,0.7142857142857143,20,0.8928571428571429,25,0.7857142857142857,22,0.8571428571428571,24,0.8571428571428571,24,0.9285714285714286,26,0.8571428571428571,24,0.7857142857142857
Crédito PF,FGTS,17,0.9411764705882353,16,0.11764705882352941,2,1.0,17,0.47058823529411764,8,0.7058823529411765,12,0.7647058823529411,13,0.6470588235294118,11,0.5294117647058824,9,0.7058823529411765,12,0.5294117647058824,9,0.7058823529411765,12,0.7058823529411765,12,0.6470588235294118,11,0.8823529411764706,15,0.8571428571428571
Infra/Energia,Energia/infra,17,0.11764705882352941,2,0.0,0,0.0,0,0.058823529411764705,1,0.11764705882352941,2,0.11764705882352941,2,0.058823529411764705,1,0.0,0,0.11764705882352941,2,0.0,0,0.11764705882352941,2,0.11764705882352941,2,0.11764705882352941,2,0.4117647058823529,7,0.0
Judicial/Precatórios/NPL,Não padronizado/NPL,17,0.5882352941176471,10,0.17647058823529413,3,0.058823529411764705,1,0.35294117647058826,6,0.29411764705882354,5,0.4117647058823529,7,0.29411764705882354,5,0.29411764705882354,5,0.5882352941176471,10,0.35294117647058826,6,0.7647058823529411,13,0.5882352941176471,10,0.5294117647058824,9,0.5882352941176471,10,0.5714285714285714
FIC/Alocador,FIC de FIDC,14,0.42857142857142855,6,0.07142857142857142,1,0.0,0,0.07142857142857142,1,0.5714285714285714,8,0.5714285714285714,8,0.35714285714285715,5,0.21428571428571427,3,0.2857142857142857,4,0.42857142857142855,6,0.5714285714285714,8,0.5,7,0.42857142857142855,6,0.6428571428571429,9,0.39285714285714285
