setor_n1,setor_n2,role,participant,cnpjs_unicos,linhas,volume_brl,rank_no_setor_role
Agro,Agro,administrador_cvm,BANCO DAYCOVAL S.A.,15,23,7925971620.660001,1.0
Agro,Agro,administrador_cvm,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,20,32,5355596835.23,2.0
Agro,Agro,administrador_cvm,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,15,25,5291302530.05,3.0
Agro,Agro,administrador_cvm,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,16,32,4150550372.68,4.0
Agro,Agro,administrador_cvm,INTRAG DTVM LTDA.,2,4,1968970906.56,5.0
Agro,Agro,administrador_cvm,CATÁLISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,1,2,1811741271.3,6.0
Agro,Agro,administrador_cvm,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,20,37,1304459480.31,7.0
Agro,Agro,administrador_cvm,OLIVEIRA TRUST DTVM S.A.,10,14,1294481245.4,8.0
Agro,Agro,administrador_cvm,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,4,8,985881908.96,9.0
Agro,Agro,administrador_cvm,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,8,9,861463210.82,10.0
Agro,Agro,administrador_cvm,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,5,8,523837602.12,11.0
Agro,Agro,administrador_cvm,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1,1,442834798.63,12.0
Agro,Agro,administrador_cvm,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,12,23,329816446.23,13.0
Agro,Agro,administrador_cvm,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,4,8,168512168.97,14.0
Agro,Agro,administrador_cvm,BANCO GENIAL S.A.,1,1,159076327.04,15.0
Agro,Agro,administrador_cvm,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,2,3,144514117.69,16.0
Agro,Agro,administrador_cvm,PLANNER CORRETORA DE VALORES S.A.,7,12,93125576.21000001,17.0
Agro,Agro,administrador_cvm,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1,1,62717670.13,18.0
Agro,Agro,administrador_cvm,XP INVESTIMENTOS CCTVM S.A.,2,3,25085925.85,19.0
Agro,Agro,administrador_cvm,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,1,2,23770724.06,20.0
Agro,Agro,administrador_cvm,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,1,2,18893158.87,21.0
Agro,Agro,administrador_cvm,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1,2,10869127.65,22.0
Agro,Agro,administrador_cvm,BNY MELLON SERVICOS FINANCEIROS DTVM S.A.,2,3,0.0,23.0
Agro,Agro,administrador_cvm,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1,1,0.0,24.0
Agro,Agro,administrador_oferta,BANCO DAYCOVAL S.A.,12,21,8997015231.56,1.0
Agro,Agro,administrador_oferta,VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,10,14,2626950000.0,2.0
Agro,Agro,administrador_oferta,BANCO DAYCOVAL S.A,5,5,1999000000.0,3.0
Agro,Agro,administrador_oferta,VÓRTX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,7,9,1984775000.0,4.0
Agro,Agro,administrador_oferta,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,12,38,1921282278.2,5.0
Agro,Agro,administrador_oferta,INTRAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,2,8,1810974000.0,6.0
Agro,Agro,administrador_oferta,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,6,6,1422690000.0,7.0
Agro,Agro,administrador_oferta,OLIVEIRA TRUST DTVM S.A.,4,4,1410000000.0,8.0
Agro,Agro,administrador_oferta,SINGULARE CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,8,23,1093000000.8,9.0
Agro,Agro,administrador_oferta,BTG Pactual Serviços Financeiros S.A. Distribuidora de Títulos e Valores Mobiliários,5,5,969650000.0,10.0
Agro,Agro,administrador_oferta,SINGULARE CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,5,6,712000000.0,11.0
Agro,Agro,administrador_oferta,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,3,5,543000000.0,12.0
Agro,Agro,administrador_oferta,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,12,38,503217826.65999997,13.0
Agro,Agro,administrador_oferta,QI CORRETORA DE TÕTULOS E VALORES MOBILI£RIOS S.A.,1,1,500000000.0,14.0
Agro,Agro,administrador_oferta,"XP INVESTIMENTOS CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.",2,2,475000000.0,15.0
Agro,Agro,administrador_oferta,LIMINE TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,7,8,469020000.0,16.0
Agro,Agro,administrador_oferta,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,2,2,410000000.0,17.0
Agro,Agro,administrador_oferta,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIO,1,1,400802000.0,18.0
Agro,Agro,administrador_oferta,Singulare Corretora de Valores Mobiliários S.A,1,1,390000000.0,19.0
Agro,Agro,administrador_oferta,Banco Daycoval S.A,2,4,361250000.0,20.0
Agro,Agro,administrador_oferta,FIDD DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,2,13,339900000.0,21.0
Agro,Agro,administrador_oferta,Oliveira Trust Distribuidora de Títulos e Valores Mobiliários S.A.,1,2,337500000.0,22.0
Agro,Agro,administrador_oferta,LIMINE TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,12,25,273879680.0,23.0
Agro,Agro,administrador_oferta,Singulare DTVM,2,4,269000000.0,24.0
Agro,Agro,administrador_oferta,BNY MELLON SERVIÇOS FINANCEIROS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,2,2,262124800.0,25.0
Agro,Agro,administrador_oferta,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,3,4,230500004.71,26.0
Agro,Agro,administrador_oferta,REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A,2,3,200900000.0,27.0
Agro,Agro,administrador_oferta,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM,1,1,200000000.0,28.0
Agro,Agro,administrador_oferta,BTG Pactual Serviços Financeiros S.A. DTVM,1,1,200000000.0,29.0
Agro,Agro,administrador_oferta,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A,1,1,170000000.0,30.0
Agro,Agro,administrador_oferta,Banco Genial S.A.,1,1,160000000.0,31.0
Agro,Agro,administrador_oferta,PLANNER CORRETORA DE VALORES S.A.,7,13,152000459.0,32.0
Agro,Agro,administrador_oferta,MONETAR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,10,18,151000000.0,33.0
Agro,Agro,administrador_oferta,Banco Daycoval S.A.,3,3,150170000.06,34.0
Agro,Agro,administrador_oferta,VÓRTX DISTRIBUIDORA DE TÍTULOS E VALRES MOBILIÁRIOS LTDA.,2,5,133500000.0,35.0
Agro,Agro,administrador_oferta,QI DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,1,2,130000000.01,36.0
Agro,Agro,administrador_oferta,REAG DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,1,1,124000000.0,37.0
