cnpj,fund_name,setor_n1_metadata,setor_n2_metadata,metadata_confidence,setor_n1_document,setor_n2_document,document_classification_evidence,setor_n1_final,setor_n2_final,final_classification_source,regulamento_count,document_count_total,latest_regulamento_file,latest_regulamento_date,pdf_extraction_status,pages_extracted,monocedente_or_multicedente,concentrated_or_pulverized_debtors,credit_rights_allocation_min_pct,subordination_main_pct,subordination_all_pcts,cash_reserve_main_pct,concentration_limit_main_pct,default_trigger_main_pct,asset_class_confirmed,asset_class_confirmed_evidence,named_originator_or_cedente,named_originator_or_cedente_evidence,named_debtor_or_sacado,named_debtor_or_sacado_evidence,revolving_period,revolving_period_evidence,subordination_minimum,subordination_minimum_evidence,mezzanine_layer,mezzanine_layer_evidence,cash_or_liquidity_reserve,cash_or_liquidity_reserve_evidence,repurchase_or_indemnity,repurchase_or_indemnity_evidence,eligibility_criteria,eligibility_criteria_evidence,concentration_limits,concentration_limits_evidence,default_or_performance_triggers,default_or_performance_triggers_evidence,rating_required,rating_required_evidence,derivatives_allowed,derivatives_allowed_evidence,amortization_profile_defined,amortization_profile_defined_evidence,feature_hits_count,feature_hits_share
40211693000186,30E FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Agro,Agro,descricao_lastro: regex `\bAGRO\b`,Agro,Agro,documento_regulamento,3,18,data/raw/40211693000186/753259_regulamento_regulamento_753259_2024-10-04_2024-10-04.pdf,2024-10-04,ok,35,indeterminado,indeterminado,,,,,,,sim,POLITICA DE INVESTIMENTO PREVISTA NO CAPITULO 9 DO ANEXO DESCRITIVO DA CLASSE UNICA SER OBSERVADA PELA GESTORA NA GESTAO PROFISSIONAL DOS ATIVOS. PRECO DE AQUISICAO SIGNIFICA O VA...,nao,,nao,,nao,,sim,"INDICE DE SUBORDINACAO EM CONJUNTO OU ISOLADAMENTE, O INDICE DE SUBORDINACAO JUNIOR E O INDICE DE SUBORDINACAO SUBORDINADAS, CONFORME APLICAVEL. INDICE DE SUBORDI",sim,MEZANIN,sim,"RESERVA DE CAIXA RESERVA PARA PAGAMENTO DE DESPESAS E ENCARGOS DA CLASSE E/OU DO FUNDO, PREVISTA NO ANEXO DESCRITIVO DA CLASSE UNICA. RE",nao,,sim,"CRITERIOS DE ELEGIBILIDADE CRITERIOS PREVISTO NO ANEXO DA CLASSE UNICA DO REGULAMENTO E DETALHADO NO ANEXO DA CLASSE UNICA, A SEREM VERIFICADOS PELA GESTORA NO MOMENT",nao,,sim,"EVENTOS DE AVALIACAO EVENTOS PREVISTOS NO ANEXO DA CLASSE UNICA , CUJA OCORRENCIA ENSEJA A IMEDIATA CONVOCACAO DA ASSEMBLEIA GERAL PARA DELIBERAR SE DEVERAO SER",sim,CLASSIFICACAO DE RISCO,nao_identificado,,definido_textual,AMORTIZACAO,8,0.5714285714285714
50491214000186,ADGM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Agro,Agro,descricao_lastro: regex `PRODUTOR(?:ES)? RURAL`,Agro,Agro,documento_regulamento,12,18,data/raw/50491214000186/1166843_regulamento_regulamento_1166843_2026-04-14_2026-04-14.pdf,2026-04-14,cache,-1,cedente_nomeado,indeterminado,,,,,,,sim,"DIREITOS CREDITORIOS 10.1. OS DIREITOS CREDITORIOS A SEREM ADQUIRIDOS POR ESTE FUNDO CARACTERIZAM -SE POR SER ORIGINADOS DE CREDITO, DUPLICATAS, NOTAS PROMISSORIAS, CEDULAS DE CRE...",sim,"CONSULTORIA LTDA , EMPRESA COM SEDE NA CIDADE DE SAO PAULO, ESTADO DO SAO PAULO, NA AVENIDA MARQUES DE SAO VICENTE, 2219, SL 202, CEP 05036-040, INSCRITA NO CNPJ",nao,,nao,,sim,INDICE DE SUBORDINACAO (F) MONITORAR E GERIR A RESERVA DE CAIXA E (G) CALCULAR E MONITORAR A INADIMPLENCIA DA CARTEIRA DE DIREITOS CREDITORIOS DO FUNDO (H) ENVIAR,sim,MEZANIN,sim,"RESERVA DE CAIXA. 47 18. METODOLOGIA DE AVALIACAO DO PATRIMONIO LIQUIDO, DAS COTAS E DOS ATIVOS DO FUNDO ...............................",sim,RECOMPRA,sim,CRITERIOS DE ELEGIBILIDADE ................................ ................................ .. 22 13. FATORES DE RISCO ................................ .............,sim,"LIMITE DE CONCENTRACAO E O VALOR QUE EXCEDEU O PERCENTUAL DO INDICE DE SUBORDINACAO JUNIOR. PARAGRAFO TERCEIRO. INDEPENDENTE DO MENCIONADO NO PARAGRAFO PRIMEIRO,",sim,EVENTOS DE AVALIACAO E EVENTOS DE LIQUIDACAO ANTECIPADA ................................ ................................ ......... 56 24. ORDEM DE ALOCACAO DOS,sim,CLASSIFICACAO DE RISCO,permitido_ou_textual,Regra textual de derivativos identificada,bullet,RESGATE DAS COTAS FICARIA CONDICIONADO (1) AO VENCIMENTO,12,0.8571428571428571
41520452000181,AGROFORTE - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Agro,Agro,descricao_lastro: regex `AGRONEGOCIO`,Agro,Agro,documento_regulamento,18,18,data/raw/41520452000181/992693_regulamento_regulamento_992693_2025-09-01_2025-09-01.pdf,2025-09-01,ok,35,indeterminado,concentrado,,,,,,,sim,"DIREITOS CREDITORIOS E OUTRAS AVENCASCELEBRADO PELO FUNDO, REPRESENTADO PELA GESTORA,E A AGRO",nao,,nao,,sim,REVOLVENCIA,sim,"INDICE DE SUBORDINACAOO INDICE DE SUBORDINACAO SENIOR, O INDICE DE SUBORDINACAO MEZANINOA E O INDICE DE SUBORDINACAO MEZANINOB, QUANDO REFERIDOS EM CONJUNTO. 11 I",sim,MEZANIN,sim,"RESERVA DE AMORTIZACAO E(2)A OCORRENCIA DOEVENTO DE VERIFICACAO DO PATRIMONIO LIQUIDO (R)INFORMAR A GESTORA, EM ATE 1 (UM) DIA UTIL DA DATA EM",sim,RECOMPRA,sim,"CRITERIOS DE ELEGIBILIDADECRITERIOS DE ELEGIBILIDADE DOS DIREITOS CREDITORIOS, DEFINIDOS NO ITEM12.1DESTE REGULAMENTO.CUSTO MEDIO PONDERADO DE CAPITALSIGNIFICA A MEDI",nao,,sim,EVENTOS DE AVALIACAOEVENTOS DEFINIDOS NO ITEM 26.2DESTE REGULAMENTO CUJA OCORRENCIA ENSEJA A IMEDIATA CONVOCACAO DA ASSEMBLEIA PARA DELIBERAR SE TAIS EVENTOS CO,sim,CLASSIFICACAO DE RISCO,hedge_apenas,DERIVATIVOS PARA PROTECAO/HEDGE,revolvente_mais_amortizacao,REVOLVENCIA + AMORTIZACAO,11,0.7857142857142857
57325251000163,ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGOCIO DE RESPONSABILIDADE LIMITADA,Agro,Agro,media,Agro,Agro,descricao_lastro: regex `AGRONEGOCIO`,Agro,Agro,metadado_cvm_oferta,5,18,data/raw/57325251000163/1086644_regulamento_regulamento_1086644_2026-01-14_2026-01-14.pdf,2026-01-14,cache,-1,indeterminado,concentrado,,,,,,,sim,DIREITOS CREDITORIOS SEGMENTO INFRAESTRUTURA E AGRO,nao,,nao,,sim,REVOLVENCIA,nao,,nao,,nao,,sim,INDENIZACAO,sim,"CRITERIOS DE ELEGIBILIDADE E A OBSERVANCIA AOS REQUISITOS DE COMPOSICAO E DIVERSIFICACAO, DE FORMA INDIVIDUALIZADA E AVALIAR A ADERENCIA DO RISCO DE PERFORMANCE DOS D",sim,"LIMITES DE CONCENTRACAO APLICAVEIS NOS TERMOS DESTE REGULAMENTO E DA REGULAMENTACAO APLICAVEL, SENDO QUE O VALOR DE AQUISICAO DOS DIREITOS CREDITORIOS E DOS DEMAIS",sim,"EVENTOS DE AVALIACAO : SAO OS EVENTOS DE AVALIACAO DO FUNDO, IDENTIFICADOS NO ITEM 17.1 DO ANEXO DESCRITIVO, CUJA OCORRENCIA ENSEJA A IMEDIATA CONVOCACAO DE ASS",sim,CLASSIFICACAO DE RISCO,permitido_ou_textual,Regra textual de derivativos identificada,revolvente_mais_amortizacao,REVOLVENCIA + AMORTIZACAO,9,0.6428571428571429
44197635000104,ARROBANK RECEBÍVEIS AGROPECUÁRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Agro,Agro,descricao_lastro: regex `\bAGRO\b`,Agro,Agro,documento_regulamento,5,12,data/raw/44197635000104/974169_regulamento_regulamento_974169_2025-08-18_2025-08-18.pdf,2025-08-18,ok,35,indeterminado,indeterminado,,,,,,,sim,DIREITOS CREDITORIOS CONSTITUIDOS NA FORMA PREVISTA NA RCVM 175. GESTORA ARTESANAL AGRO,nao,,nao,,nao,,sim,"INDICE DE SUBORDINACAO EM CONJUNTO OU ISOLADAMENTE, O INDICE DE SUBORDINACAO JUNIOR E O INDICE DE SUBORDINACAO SUBORDINADAS, CONFORME APLICAVEL. INDICE DE SUBORDI",sim,MEZANIN,sim,"RESERVA DE CAIXA RESERVA PARA PAGAMENTO DE DESPESAS E ENCARGOS DA CLASSE E/OU DO FUNDO, PREVISTA NO CAPITULO 15 DO REGULAMENTO E DETALHA",nao,,sim,"CRITERIOS DE ELEGIBILIDADE CRITERIOS PREVISTO NO CAPITULO 8 DO REGULAMENTO E DETALHADO NO ANEXO DA CLASSE UNICA, A SEREM VERIFICADOS PELA GESTORA NO MOMENTO DE CADA C",sim,"LIMITES DE CONCENTRACAO E O ATENDIMENTO DOS CRITERIOS DE ELEGIBILIDADE, CONFORME REGRAS DISPOSTAS NO ANEXO DA CLASSE UNICA (III) A GESTORA SINALIZARA QUE AS CONDIC",sim,"EVENTOS DE AVALIACAO EVENTOS PREVISTOS NA CLAUSULA 17 DO REGULAMENTO E DETALHADO NO ANEXO DA CLASSE UNICA, CUJA OCORRENCIA ENSEJA A IMEDIATA CONVOCACAO DA ASSEM",sim,CLASSIFICACAO DE RISCO,nao_identificado,,pass_through,FLUXO DE CAIXA,9,0.6428571428571429
57555376000180,ARTESANAL CDI+ FI EM COTAS DE FI EM DIREITOS CREDITÓRIOS I - RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,Agro,Agro,descricao_lastro: regex `INSUMOS AGRICOLAS`,Agro,Agro,documento_regulamento,1,5,data/raw/57555376000180/769100_regulamento_regulamento_769100_2024-10-03_2024-10-03.pdf,2024-10-03,ok,35,indeterminado,indeterminado,,,,,,,sim,"POLITICA DE INVESTIMENTO E COMPOSICAO E DIVERSIFICACAO DA CARTEIRA (VIII) EVENTOS DE AVALIACAO, EVENTOS DE LIQUIDACAO E LIQUIDACAO ANTECIPADA DA CLASSE (IX) ORIGEM DOS DIREITOS CR...",nao,,nao,,sim,REVOLVENCIA,nao,,sim,MEZANIN,sim,"RESERVA DE DESPESAS, A CLASSE PODERA EMITIR NOVAS COTAS POR ATO UNILATERAL DO ADMINISTRADOR, DISPENSANDO-SE A REALIZACAO DE ASSEMBLEIA DE C",nao,,sim,CRITERIOS DE ELEGIBILIDADE (XI) CUSTOS REFERENTES A DEFESA DOS INTERESSES DE CADA CLASSE DE COTAS E (XII) FATORES DE RISCO. CAPITULO 2 RESPONSABILIDADE DOS PRESTADORE,sim,"LIMITES DE CONCENTRACAO E VEDACOES PARA A COMPOSICAO DA CARTEIRA 4.8 DECORRIDOS 180 (CENTO E OITENTA) DIAS DO INICIO DE SUAS ATIVIDADES, A CLASSE DEVERA, PARA FINS",sim,"EVENTOS DE AVALIACAO, EVENTOS DE LIQUIDACAO E LIQUIDACAO ANTECIPADA DA CLASSE (IX) ORIGEM DOS DIREITOS CREDITORIOS (X) CRITERIOS DE ELEGIBILIDADE (XI) CUSTOS RE",sim,CLASSIFICACAO DE RISCO,vedado,VEDADO ... DERIVATIVOS,revolvente_mais_amortizacao,REVOLVENCIA + AMORTIZACAO,10,0.7142857142857143
59258058000182,AUDAX AGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Agro,Agro,media,Agro,Agro,descricao_lastro: regex `\bAGRO\b`,Agro,Agro,metadado_cvm_oferta,5,18,data/raw/59258058000182/1029361_regulamento_regulamento_1029361_2025-10-31_2025-10-31.pdf,2025-10-31,ok,2,indeterminado,indeterminado,,,,,,,sim,DIREITOS CREDITORIOS A 2A (SEGUNDA) EMISSAO DA 1A (PRIMEIRA) SERIE DE COTAS SENIOR DO AUDAX AGRO,nao,,nao,,nao,,nao,,nao,,nao,,nao,,nao,,nao,,nao,,nao,,nao_identificado,,definido_textual,AMORTIZACAO,2,0.14285714285714285
13807406000122,B8 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Agro,Agro,descricao_lastro: regex `AGRONEGOCIO`,Agro,Agro,documento_regulamento,13,18,data/raw/13807406000122/1086270_regulamento_regulamento_1086270_2026-01-16_2026-01-16.pdf,2026-01-16,ok,35,cedente_nomeado,indeterminado,,,,,,,sim,"DIREITOS CREDITORIOS CNPJ NO 13.807.406/0001-22 SEGMENTOS ECONOMICOS: INDUSTRIAL, COMERCIAL, MERCADO IMOBILIARIO, COMERCIAL, SERVICOS, AGRO",sim,CEDENTE CEDE DIREITOS CREDITORIOS AO FUNDO E/OU A CLASSE. 668AE921-29F3-40C0-8575-CBBE76B4486A REGULAMENTO DO B8 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CNPJ,nao,,nao,,sim,INDICE DE SUBORDINACAO E PROCEDIMENTOS APLICAVEIS NA HIPOTESE DE INOBSERVANCIA DESSE INDICE .......................................................... 28 12. METO,sim,MEZANIN,sim,"RESERVA DE CAIXA .32 16. ALTERACAO DE REGULAMENTO, ASSEMBLEIA DE COTISTAS, CONVOCACAO, INSTALACAO E DELIBERACOES .......................",nao,,sim,CRITERIOS DE ELEGIBILIDADE ....................... 27 9. DAS VEDACOES ................................................................................................,sim,"LIMITES DE CONCENTRACAO E O ATENDIMENTO DOS CRITERIOS DE ELEGIBILIDADE, CONFORME REGRAS DISPOSTAS NO ANEXO DA CLASSE UNICA (III) A GESTORA SINALIZARA QUE AS CONDIC",sim,EVENTOS DE AVALIACAO E EVENTOS DE LIQUIDACAO ANTECIPADA E PROCEDIMENTOS A SEREM OBSERVADOS NA LIQUIDACAO DA CLASSE E DO PATRIMONIO NEGATIVO ....................,sim,CLASSIFICACAO DE RISCO,nao_identificado,,pass_through,FLUXO DE CAIXA,10,0.7142857142857143
51555510000166,BANCOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Agro,Agro,descricao_lastro: regex `PRODUTOR(?:ES)? RURAL`,Agro,Agro,documento_regulamento,9,13,data/raw/51555510000166/1029421_regulamento_regulamento_1029421_2025-10-30_2025-10-30.pdf,2025-10-30,ok,35,indeterminado,indeterminado,,,,,,,sim,"DIREITOS CREDITORIOS OS DIREITOS CREDITORIOS PASSIVEIS DE AQUISICAO PELO FUNDO (A) REPRESENTADOS POR TITULOS DE CREDITO, MAS LIMITADAMENTE, DUPLICAT",nao,,nao,,nao,,sim,INDICE DE SUBORDINACAO E PROCEDIMENTOS APLICAVEIS NA HIPOTESE DE INOBSERVANCIA DESSE INDICE ......................................................................,sim,MEZANIN,sim,"RESERVA DE CAIXA .30 16. ALTERACAO DE REGULAMENTO, ASSEMBLEIA DE COTISTAS, CONVOCACAO, INSTALACAO E DELIBERACOES........................",nao,,sim,CRITERIOS DE ELEGIBILIDADE ........................................... 25 9. DAS VEDACOES ............................................................................,nao,,sim,EVENTOS DE AVALIACAO E EVENTOS DE LIQUIDACAO ANTECIPADA E PROCEDIMENTOS A SEREM OBSERVADOS NA LIQUIDACAO DA CLASSE E DO PATRIMONIO NEGATIVO ....................,sim,CLASSIFICACAO DE RISCO,nao_identificado,,pass_through,FLUXO DE CAIXA,8,0.5714285714285714
40226200000181,BARU GRIFFIN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado,Revisar manualmente,baixa,Agro,Agro,descricao_lastro: regex `PRODUTOR(?:ES)? RURAL`,Agro,Agro,documento_regulamento,12,18,data/raw/40226200000181/1023670_regulamento_regulamento_1023670_2025-10-29_2025-10-29.pdf,2025-10-29,ok,35,indeterminado,concentrado,,,,,,,sim,"DIREITOS CREDITORIOS 10.1 O FUNDO PODERA ADQUIRIR DIREITOS CREDITORIOS REPRESENTADOS POR (A) TITULOS DE CREDITO, TAIS COMO , MAS NAO LIMITADAMENTE A DUPLICATAS, NOTAS PROMISSORIAS...",nao,,nao,,sim,AQUISICAO DE NOVOS DIREITOS CREDITORIOS,sim,"INDICE DE SUBORDINACAO (F) MONITORAR E GERIR A RESERVA DE CAIXA E, (G) CALCULAR E MONITORAR A INADIMPLENCIA DA CARTEIRA DE DIREITOS CREDITORIOS DO FUNDO. 7.2.2 E",sim,MEZANIN,sim,"RESERVA DE CAIXA E, (G) CALCULAR E MONITORAR A INADIMPLENCIA DA CARTEIRA DE DIREITOS CREDITORIOS DO FUNDO. 7.2.2 E VEDADO A GESTORA, INC",nao,,sim,"CRITERIOS DE ELEGIBILIDADE E (B) TODOS E QUAISQUER DIREITOS, GARANTIAS, PRIVILEGIOS, PREFERENCIAS E PRERROGATIVAS RELACIONADOS AOS REFERIDOS DIREITOS CREDITORIOS. 9.2",sim,LIMITE DE CONCENTRACAO PARA OS INVESTIMENTOS REALIZADOS NOS ATIVOS FINANCEIROS MENCIONADOS NO ITEM 9.4 ACIMA. 9.7 OS ATIVOS FINANCEIROS INTEGRANTES DA CARTEIRA DO,nao,,sim,CLASSIFICACAO DE RISCO,permitido_ou_textual,Regra textual de derivativos identificada,bullet,RESGATE DAS COTAS FICARIA CONDICIONADO (1) AO VENCIMENTO,10,0.7142857142857143
