priority_rank,review_wave,review_reason,cnpj_emissor,nome_emissor,setor_n1,setor_n2,confidence,linhas_oferta,volume_total_registrado,volume_encerrado_conservador,platform_coverage_level,classification_evidence,expected_primary_docs,review_goal
1,Onda 1 - top 50 por volume,confianca_media_alto_volume,63662224000189,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,3000000000.0,3000000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
2,Onda 1 - top 50 por volume,confianca_media_alto_volume,56924942000110,ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM,FIC/Alocador,FIC de FIDC,media,8,2920878966.0,2521000000.0,sem_curadoria_local,nome_emissor: regex `FUNDO DE INVESTIMENTO EM COTAS`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
3,Onda 1 - top 50 por volume,confianca_media_alto_volume,59356753000187,ER - ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Infra/Energia,Energia/infra,media,1,1900000000.0,1900000000.0,sem_curadoria_local,nome_emissor: regex `ENERGIA`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
4,Onda 1 - top 50 por volume,confianca_media_alto_volume,62310468000130,MT INSS RECEIVABLES VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Crédito PF,Consignado/INSS,media,3,1822948987.5,1222948987.5,emissoes_curadas,nome_emissor: regex `\bINSS\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
5,Onda 1 - top 50 por volume,sem_classificacao_setorial,17250006000110,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,Não classificado,Revisar manualmente,baixa,2,1800000000.0,1800000000.0,sem_curadoria_local,Sem regra setorial acionada por metadados disponíveis.,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
6,Onda 1 - top 50 por volume,confianca_media_alto_volume,44302112000172,CLASSE ÚNICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-BAYER RESPONSABILIDADE LIMITADA,Agro,Agro,media,3,1700000000.0,1700000000.0,sem_curadoria_local,nome_emissor: regex `\bAGRO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
7,Onda 1 - top 50 por volume,confianca_media_alto_volume,51767969000123,PINHEIROS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS CONSIGNADOS,Crédito PF,Consignado/INSS,media,6,1542169187.0300002,1542169187.0300002,sem_curadoria_local,nome_emissor: regex `CONSIGNADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
8,Onda 1 - top 50 por volume,confianca_media_alto_volume,60598366000136,FIDC BV AUTO II SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Crédito PF,Auto/Veículos,media,1,1500000000.0,1500000000.0,sem_curadoria_local,nome_emissor: regex `\bAUTO\b`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
9,Onda 1 - top 50 por volume,confianca_media_alto_volume,50473039000102,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,media,1,1500000000.0,1500000000.0,knowledge_json,nome_emissor: regex `MEIOS DE PAGAMENTO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
10,Onda 1 - top 50 por volume,confianca_media_alto_volume,63572282000111,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,Meios de Pagamento e Cartões,Arranjos de pagamento/adquirência,media,1,1500000000.0,1500000000.0,knowledge_json,nome_emissor: regex `MEIOS DE PAGAMENTO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
11,Onda 1 - top 50 por volume,confianca_media_alto_volume,39669950000149,OCEANO BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Crédito PF,Consignado/INSS,media,5,1447700526.4,935200526.4,sem_curadoria_local,nome_emissor: regex `CONSIGNADO`,regulamento vigente; suplemento/anúncio de encerramento; ata de emissão; anexos de cessão se disponíveis,confirmar setor/lastro; identificar cedentes/sacados; extrair prestadores; preencher matriz tem/não tem; capturar preço/spread se houver emissão
