entity_kind,cnpj_entity,cnpj_fundo,cnpj_classe,nome_entity,nome_fundo,nome_classe,tipo_fidc_cvm,first_known_date,first_data_constituicao,first_data_inicio,first_data_registro,latest_data_registro,situacao_latest,administrador,gestor,custodiante,patrimonio_liquido_latest,data_patrimonio_liquido_latest,source_datasets,raw_record_count,registered_since_2024,born_since_2024_strict,registration_is_probable_recadastro,platform_has_regulatory_knowledge,platform_has_raw_documents,platform_has_curated_emission_rows,platform_coverage_level
classe_rcvm175,58615962000135,58615962000135,58615962000135,ADVANCED II FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,ADVANCED II FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,ADVANCED II FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,Classes de Cotas de Fundos FIDC,2024-01-02,2024-01-02,2024-01-02,2025-01-03,2025-01-03,Em Funcionamento Normal,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,HINOV CAPITAL GESTÃO DE RECURSOS LTDA.,TRUSTEE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,3942532.92,2026-04-30,registro_classe.csv,1,True,True,False,False,False,False,sem_curadoria_local
fundo_rcvm175,58615962000135,58615962000135,,ADVANCED II FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,ADVANCED II FUNDO DE INVESTIMENTOS EM DIREITOS CREDITORIOS,,FIDC,2024-01-02,2024-01-02,,2025-01-03,2025-01-03,Em Funcionamento Normal,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,HINOV CAPITAL GESTÃO DE RECURSOS LTDA.,,,,registro_fundo.csv,1,True,True,False,False,False,False,sem_curadoria_local
fundo_rcvm175,53374860000151,53374860000151,,LÓTUS 500 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,LÓTUS 500 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,,FIDC,2024-01-04,2024-01-04,,2024-01-04,2024-01-04,Cancelado,PLANNER CORRETORA DE VALORES S.A.,4I CAPITAL LTDA,,,,registro_fundo.csv,1,True,True,False,False,False,False,sem_curadoria_local
classe_rcvm175,53405469000177,53405469000177,53405469000177,XP PJUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,XP PJUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,XP PJUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classes de Cotas de Fundos FIDC,2024-01-05,2024-01-05,2024-01-08,2024-01-08,2024-01-08,Em Funcionamento Normal,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,XP VISTA ASSET MANAGEMENT LTDA.,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,173123561.6,2026-04-30,registro_classe.csv,1,True,True,False,False,False,False,sem_curadoria_local
fundo_rcvm175,53388692000153,53388692000153,,ARC PLAZA IGUATEMI I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,ARC PLAZA IGUATEMI I - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,,FIDC,2024-01-05,2024-01-05,,2024-01-05,2024-01-05,Cancelado,REAG TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,ARC CAPITAL LTDA.,,60560386.13,2024-04-30,registro_fundo.csv,1,True,True,False,False,False,False,sem_curadoria_local
fundo_rcvm175,53405469000177,53405469000177,,XP PJUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,XP PJUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,,FIDC,2024-01-05,2024-01-05,,2024-01-08,2024-01-08,Em Funcionamento Normal,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,XP VISTA ASSET MANAGEMENT LTDA.,,172535304.55,2024-09-30,registro_fundo.csv,1,True,True,False,False,False,False,sem_curadoria_local
classe_rcvm175,53429996000111,53429996000111,53429996000111,SC FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS RESPONSABILIDADE ILIMITADA,SC FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS RESPONSABILIDADE ILIMITADA,SC FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS RESPONSABILIDADE ILIMITADA,Classes de Cotas de Fundos FIDC,2024-01-08,2024-01-08,2024-01-09,2024-01-09,2024-01-09,Em Funcionamento Normal,CATÁLISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CATÁLISE INVESTIMENTOS LTDA.,BANCO DAYCOVAL S.A.,275955495.49,2026-04-30,registro_classe.csv,1,True,True,False,False,False,False,sem_curadoria_local
fundo_rcvm175,53429996000111,53429996000111,,SC FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS RESPONSABILIDADE ILIMITADA,SC FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS RESPONSABILIDADE ILIMITADA,,FIDC,2024-01-08,2024-01-08,,2024-01-09,2024-01-09,Em Funcionamento Normal,CATÁLISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CATÁLISE INVESTIMENTOS LTDA.,,118135061.22,2024-09-30,registro_fundo.csv,1,True,True,False,False,False,False,sem_curadoria_local
classe_rcvm175,58739374000103,58739374000103,58739374000103,SAGEL BANK FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,SAGEL BANK FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,SAGEL BANK FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Classes de Cotas de Fundos FIDC,2024-01-09,2024-01-09,2024-01-09,2025-01-09,2025-01-09,Em Funcionamento Normal,CATÁLISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CATÁLISE INVESTIMENTOS LTDA.,BANCO DAYCOVAL S.A.,69606223.05,2026-04-30,registro_classe.csv,1,True,True,False,False,False,False,sem_curadoria_local
fundo_rcvm175,58739374000103,58739374000103,,SAGEL BANK FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,SAGEL BANK FUNDO DE INVESTIMENTO DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,,FIDC,2024-01-09,2024-01-09,,2025-01-09,2025-01-09,Em Funcionamento Normal,CATÁLISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CATÁLISE INVESTIMENTOS LTDA.,,,,registro_fundo.csv,1,True,True,False,False,False,False,sem_curadoria_local
