periodo_estudo,data_registro,cnpj_emissor,nome_emissor,valor_mobiliario,fidc_subtipo,valor_total_registrado,status,status_bucket,publico_alvo,tipo_lastro,descricao_lastro,ativos_alvo,fidc_nao_padronizado,administrador,gestor,custodiante,nome_lider,platform_coverage_level,setor_proposto,familia_credito_proposta,classificacao_status,evidencia_classificacao,observacoes_analista
2024FY,2024-11-08,57532556000146,CLASSE A DO FIDC BV AUTO I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,Cotas de FIDC,FIDC,3510000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Pulverizado,,Significam as cédulas de crédito bancário emitidas ou a serem emitidas pelos Devedores em favor do Emitente,N,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,BANCO VOTORANTIM S.A.,sem_curadoria_local,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-05-06,54979779000168,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE LIMITADA,Cotas de FIDC,FIDC,3500000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Concentrado,,"Direitos creditórios detidos decorrentes de Transações de Pagamento realizadas por Usuários-Finais com a utilização de Instrumentos de Pagamento, operacionalizadas pelo Sistema Stone, para a aquisição de bens ou serviços nos Estabelecimentos Credenciados, equivalentes ao valor remanescente das Transações de Pagamento após o desconto das Taxas Aplicáveis",N,BEM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,BRAM - BRADESCO ASSET MANAGEMENT S.A. - DTVM,Banco Bradesco S.A.,BANCO BRADESCO BBI S.A.,sem_curadoria_local,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-10-18,47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cotas de FIDC,FIDC,3400000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Pulverizado,,"Cotas de fundo de investimento em direitos creditórios que irão adquirir: (i) CRA, (ii) CPR-F Clientes Fornecedor, (iii) CPR-F Clientes Revenda, (iv) CPR-F Revenda, (v) CPR-F Clientes Cooperativa, (vi) CPR-F Cooperativa, (vii) CPR Física Clientes Trading (viii) Direitos Creditórios Cooperativas (conforme definidos no Acordo Operacional) (ix) Direitos Creditórios Operações (conforme definidos no Acordo Operacional) (x) Direitos Creditórios Revenda (conforme definidos no Acordo Operacional) (xi) Direitos Creditórios Fornecedor (conforme definidos no Acordo Operacional) (xii) Notas Promissórias e (xii) os CDCA",N,BANCO DAYCOVAL S.A.,ECO GESTÃO DE ATIVOS LTDA.,BANCO DAYCOVAL S.A.,BANCO SANTANDER (BRASIL) S.A.,sem_curadoria_local,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-01-24,52256912000122,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - ACR I,Cotas de FIDC,FIDC,2780000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Concentrado,,"Direitos Creditórios de tempos em tempos detidos pela Cedente em face dos Devedores conforme as regras dos Arranjos de Pagamentos, decorrentes de Transações de Pagamento realizadas por Usuários-Finais com a utilização de Instrumentos de Pagamento para a aquisição de bens ou serviços nos Estabelecimentos Credenciados - Unidade de Recebível",N,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Oliveira Trust Servicer S.A.,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,BANCO ABC BRASIL S/A,sem_curadoria_local,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-11-07,57609282000146,CLOUDWALK AGI FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO,Cotas de FIDC,FIDC,2593163000.0,Oferta Encerrada,oferta_encerrada,Profissional,Pulverizado,,"Significam os direitos creditórios de tempos em tempos detidos pela Cedente em face dos Devedores, conforme as regras dos Arranjos de Pagamentos abertos, decorrentes de Transações de Pagamento realizadas por Usuários-Finais com a utilização de Instrumentos de Pagamento, operacionalizadas pelo Sistema CloudWalk, para a aquisição de bens ou serviços nos Estabelecimentos Credenciados, equivalentes ao valor remanescente das Transações de Pagamento após o desconto das Taxas Aplicáveis. Um Direito Creditório considerado individualmente poderá ser correspondente à integralidade de uma Transação de Pagamento (no caso de pagamento à vista) ou a uma parcela de uma Transação de Pagamento (no caso de pagamento parcelado).",N,BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,BTG PACTUAL ASSET MANAGEMENT S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,Banco BTG Pactual S.A.,ITAU BBA ASSESSORIA FINANCEIRA S.A,emissoes_curadas,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-05-21,54810968000102,ANGÁ FGTS III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cotas de FIDC,FIDC,1520000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Pulverizado,,CCBs de operações de saque aniversário FGTS,N,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,BANCO ITAU BBA S.A.,emissoes_curadas,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-05-14,47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cotas de FIDC,FIDC,1500000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Pulverizado,,"Cotas de fundo de investimento em direitos creditórios que irão adquirir: (i) CRA, (ii) CPR-F Clientes Fornecedor, (iii) CPR-F Clientes Revenda, (iv) CPR-F Revenda, (v) CPR-F Clientes Cooperativa, (vi) CPR-F Cooperativa, (vii) CPR Física Clientes Trading (viii) Direitos Creditórios Cooperativas (conforme definidos no Acordo Operacional) (ix) Direitos Creditórios Operações (conforme definidos no Acordo Operacional) (x) Direitos Creditórios Revenda (conforme definidos no Acordo Operacional) (xi) Direitos Creditórios Fornecedor (conforme definidos no Acordo Operacional) (xii) Notas Promissórias e (xii) os CDCA",N,BANCO DAYCOVAL S.A,ECO GESTÃO DE ATIVOS LTDA.,BANCO DAYCOVAL S.A,BANCO SANTANDER (BRASIL) S.A.,sem_curadoria_local,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-11-13,47228232000165,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cotas de FIDC,FIDC,1500000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Pulverizado,,"Cotas de fundo de investimento em direitos creditórios que irão adquirir: (i) CRA, (ii) CPR-F Clientes Fornecedor, (iii) CPR-F Clientes Revenda, (iv) CPR-F Revenda, (v) CPR-F Clientes Cooperativa, (vi) CPR-F Cooperativa, (vii) CPR Física Clientes Trading (viii) Direitos Creditórios Cooperativas (conforme definidos no Acordo Operacional) (ix) Direitos Creditórios Operações (conforme definidos no Acordo Operacional) (x) Direitos Creditórios Revenda (conforme definidos no Acordo Operacional) (xi) Direitos Creditórios Fornecedor (conforme definidos no Acordo Operacional) (xii) Notas Promissórias e (xii) os CDCA",N,BANCO DAYCOVAL S.A.,ECO GESTÃO DE ATIVOS LTDA.,BANCO DAYCOVAL S.A.,BANCO SANTANDER (BRASIL) S.A.,sem_curadoria_local,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-11-18,46450551000158,D365 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Cotas de FIDC,FIDC,1500000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Concentrado,,"direitos e/ou títulos representativos de crédito, com ou sem garantias reais ou pessoais a eles atreladas, incluindo, sem limitação, duplicatas, debêntures, cédulas de crédito bancário, certificados de recebíveis, contratos de locação e contratos mercantis de compra e venda de produtos e/ou mercadorias performados e/ou para entrega ou prestação futura, bem como títulos ou certificados representativos desses contratos, decorrentes de operações nos segmentos financeiro, comercial, industrial, imobiliário, de hipotecas, de arrendamento mercantil e de prestação de serviços",N,BANCO DAYCOVAL S.A,Daycoval Asset Management Administração de Recursos Ltda.,Banco Daycoval S.A.,BANCO SANTANDER (BRASIL) S.A.,sem_curadoria_local,,,pendente_leitura_regulamento_ou_documento_oferta,,
2024FY,2024-07-29,55471753000177,SELLER II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LTDA,Cotas de FIDC,FIDC,1000000000.0,Oferta Encerrada,oferta_encerrada,Profissional,Concentrado,,"Direitos Creditórios oriundos de transações de pagamento realizadas por Usuários Finais (""Sellers""), constituídos na forma de Unidades de Recebíveis contra Mercado Pago Instituição de Pagamento Ltda.",N,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,OLIVEIRA TRUST SERVICER S.A.,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,BANCO BRADESCO BBI S.A.,knowledge_json,,,pendente_leitura_regulamento_ou_documento_oferta,,
