competencia,admin_nome_group,pl,vehicles,pl_previous,pl_delta_yoy,pl_yoy_growth
2026-05,BTG PACTUAL,146427014608.99,430,95717328397.02,50709686211.969986,0.5297858502865271
2026-05,QI TECH + SINGULARE,139239433514.77,821,107832021666.07,31407411848.69998,0.29126238536045657
2026-05,GRUPO BRADESCO/BEM,51383839903.15,46,27323900379.68,24059939523.47,0.880545573258007
2026-05,ITAU/INTRAG,31609797760.030003,40,14780275761.42,16829521998.610003,1.138647361542402
2026-05,BANCO DAYCOVAL S.A,57683385233.45,398,44527977567.01,13155407666.439995,0.295441391800076
2026-05,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15387367344.93,44,4161623190.26,11225744154.67,2.6974436755694513
2026-05,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24546744869.45,127,15493090065.74,9053654803.710001,0.5843672737519563
2026-05,PLANNER CORRETORA DE VALORES S.A,12568638779.27,184,5007849948.84,7560788830.43,1.509787415292136
2026-05,GRUPO GENIAL,51763005017.13,139,44309460899.35,7453544117.779999,0.1682156353630866
2026-05,XP INVESTIMENTOS CCTVM S.A,17768425494.940002,44,10746145796.630001,7022279698.310001,0.653469609588974
2026-05,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,16622704309.15,295,9706440851.7,6916263457.449999,0.7125437184566652
2026-05,QORE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6701330238.14,40,0.0,6701330238.14,
2026-05,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,13100767649.99,163,6745382421.5,6355385228.49,0.9421830863485312
2026-05,OLIVEIRA TRUST,97677103582.42,156,91579920523.71,6097183058.709991,0.06657772821643193
2026-05,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,22460182907.76,138,17030711608.76,5429471298.999998,0.31880472312191976
2026-05,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,10139078076.08,88,6188362477.22,3950715598.8599997,0.6384105025203342
2026-05,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,17003097747.6,177,13187989502.14,3815108245.460001,0.2892865697869207
2026-05,FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,17689084841.81,68,15039225270.15,2649859571.6600018,0.176196547631976
2026-05,BNY MELLON SERVICOS FINANCEIROS DTVM S.A,13056460429.99,43,10434624118.369999,2621836311.620001,0.25126312954620933
2026-05,CATALISE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,7177237789.43,78,4565690206.67,2611547582.76,0.5719940391366896
2026-05,"MASTER S/A CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS",6694362068.5199995,15,4803016680.06,1891345388.459999,0.3937828066081943
2026-05,MONETAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,3195698423.1,81,1779679377.41,1416019045.6899998,0.7956596360355415
