cnpj_fundo,first_offer_date,latest_offer_date,offer_volume_24m_brl,offers_24m,public_target,fund_name,current_pl_brl,cotistas_x1,administrator,manager,custodian,total_pf,total_pj_nao_financ,total_banco,total_corretora_distrib,total_pj_financ,total_invnr,total_eapc,total_efpc,total_rpps,total_segur,total_capitaliz,total_cota_fidc,total_fii,total_outro_fi,total_clube,total_outro,cotistas_x11,family_pessoas_naturais,family_pj_nao_financeira,family_instituicoes_financeiras,family_investidores_estrangeiros,family_previdencia_e_seguradoras,family_fundos_de_investimento,family_clubes_de_investimento,family_outros,dominant_investor_family,cotistas_histogram_value,cotistas_bucket
62393679000183,2025-09-12,2026-03-03,9700000000.0,2,Profissional,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,9984886332.21,291.0,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,279.0,0.0,0.0,291.0,0.0,1.0,11.0,0.0,0.0,279.0,0.0,0.0,fundos de investimento,291.0,101-500
47228232000165,2024-10-18,2025-04-30,7150000000.0,4,Profissional,AGRO FLEX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2332130838.94,7.0,BANCO DAYCOVAL S.A.,ECO GESTÃO DE ATIVOS LTDA,BANCO DAYCOVAL S.A.,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,pj nao financeira,7.0,6-10
57532556000146,2024-11-08,2024-11-08,3510000000.0,1,Profissional,FIDC BV AUTO I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,1343918182.67,215.0,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,4.0,35.0,215.0,0.0,0.0,0.0,0.0,0.0,176.0,4.0,35.0,fundos de investimento,215.0,101-500
60356171000180,2025-04-22,2025-04-22,3141592653.59,1,Profissional,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,3252354632.79,14.0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,BANCO BTG PACTUAL S/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,fundos de investimento,14.0,11-50
63662224000189,2025-12-11,2025-12-11,3000000000.0,1,Profissional,FIDC SANTANDER AUTO LOANS I SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,2532101392.72,129.0,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,APEX GROUP INVESTIMENTOS LTDA.,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,129.0,0.0,0.0,1.0,0.0,0.0,128.0,0.0,0.0,fundos de investimento,129.0,101-500
56924942000110,2024-08-26,2025-12-17,2920878966.0,8,Profissional | Qualificado,ASA LP II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESP LIM,1640801384.25,627.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,ASA ASSET MANAGEMENT LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,406.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,627.0,406.0,221.0,0.0,0.0,0.0,0.0,0.0,0.0,pessoas naturais,627.0,>500
62588266000154,2025-09-15,2025-09-15,2850000000.0,1,Profissional,VTK FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,3080096054.77,112.0,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST SERVICER S/A,OLIVEIRA TRUST DTVM S.A.,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,52.0,112.0,2.0,0.0,1.0,0.0,0.0,57.0,0.0,52.0,fundos de investimento,112.0,101-500
59929098000109,2025-06-05,2026-04-27,2750000000.0,3,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CREDITAS AUTO XII,1738935394.22,458.0,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,1.0,86.0,458.0,0.0,4.0,1.0,0.0,0.0,366.0,1.0,86.0,fundos de investimento,458.0,101-500
57609282000146,2024-11-07,2024-11-07,2593163000.0,1,Profissional,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,2701701360.51,15.0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,BANCO BTG PACTUAL S/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,fundos de investimento,15.0,11-50
65976848000104,2026-04-23,2026-04-23,2500000000.0,1,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK II RESPONSABILIDADE LIMITADA,2965169958.4,84.0,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST SERVICER S/A,OLIVEIRA TRUST DTVM S.A.,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,33.0,84.0,0.0,0.0,2.0,0.0,0.0,49.0,0.0,33.0,fundos de investimento,84.0,51-100
53841740000117,2024-10-11,2025-12-22,2315800775.09,9,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CRÉDITO CONSIGNADO PRIVADO PAKETÁ DE RESPONSABILID,1914975394.97,194.0,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,RIZA SECURITIZAÇÃO E CARTEIRAS GESTORA DE RECURSOS LTD,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,17.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,17.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,pj nao financeira,194.0,101-500
50114948000146,2026-03-05,2026-03-05,2000000000.0,1,Profissional,DRIVER BRASIL SIX BANCO VOLKSWAGEN FIDC FINANCIAMENTO DE VEÍCULOS - RESPONSABILIDADE LIMITADA,2068830396.27,74.0,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,74.0,0.0,0.0,1.0,0.0,0.0,73.0,0.0,0.0,fundos de investimento,74.0,51-100
28169275000172,2024-11-04,2026-03-30,2000000000.0,2,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6702700848.65,4.0,GENIAL INVESTIMENTOS CORRETORA DE VALORES MOBILIÁRIOS S.A.,GENIAL GESTÃO LTDA.,BANCO GENIAL S.A.,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,instituicoes financeiras,4.0,2-5
60528786000146,2025-05-28,2025-05-28,2000000000.0,1,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGIBANK I RESPONSABILIDADE LIMITADA,2371330642.84,153.0,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST SERVICER S/A,OLIVEIRA TRUST DTVM S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,73.0,153.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,73.0,fundos de investimento,153.0,101-500
59356753000187,2025-02-26,2025-02-26,1900000000.0,1,Profissional,ER - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,2473695175.65,1.0,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,VERT GESTORA DE RECURSOS FINANCEIROS LTDA.,VERT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,fundos de investimento,1.0,1
62310468000130,2025-08-25,2026-04-10,1822948987.5,3,Profissional,MT INSS RECEIVABLES VI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,1243077577.08,128.0,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BTG PACTUAL ASSET MANAGEMENT S/A DTVM,BANCO BTG PACTUAL S/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0,0.0,fundos de investimento,128.0,101-500
17250006000110,2024-09-27,2025-06-26,1800000000.0,2,Profissional,RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,3486489139.6,377.0,FINAXIS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,REDASSET GESTAO DE RECURSOS LTDA,BANCO FINAXIS S.A.,15.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.0,0.0,0.0,377.0,15.0,3.0,1.0,1.0,0.0,357.0,0.0,0.0,fundos de investimento,377.0,101-500
46450551000158,2024-11-18,2025-05-06,1700000000.0,2,Profissional,D365 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,1144353.48,1.0,BANCO DAYCOVAL S.A.,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A.,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,pj nao financeira,1.0,1
44302112000172,2024-11-22,2025-10-31,1700000000.0,3,Profissional,CLASSE ÚNICA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS AGRO CITI-BAYER RESPONSABILIDADE LIMITADA,1002391541.77,8.0,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,FARMTECH GESTÃO DE RECURSOS LTDA.,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,pj nao financeira,8.0,6-10
51767969000123,2024-06-28,2025-09-25,1542169187.03,6,Profissional,GUARDIAN GDF FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,580174139.11,4.0,BANCO DAYCOVAL S.A.,GUARDIAN CRÉDITO LTDA.,BANCO DAYCOVAL S.A.,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,fundos de investimento,4.0,2-5
63572282000111,2026-02-04,2026-02-04,1500000000.0,1,Profissional,SELLER 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO DE RESP LIMITADA,1836029965.8,38.0,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST SERVICER S/A,OLIVEIRA TRUST DTVM S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,11.0,38.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,11.0,fundos de investimento,38.0,11-50
50473039000102,2025-05-28,2025-05-28,1500000000.0,1,Profissional,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,3633849616.56,8.0,OLIVEIRA TRUST DTVM S.A.,OLIVEIRA TRUST SERVICER S/A,OLIVEIRA TRUST DTVM S.A.,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,instituicoes financeiras,8.0,6-10
60598366000136,2025-06-12,2025-06-12,1500000000.0,1,Profissional,FIDC BV AUTO II SEGMENTO FINANCEIRO - RESPONSABILIDADE LIMITADA,1064516732.05,79.0,BANCO DAYCOVAL S.A.,ANGÁ ADMINISTRAÇÃO DE RECURSOS LTDA.,BANCO DAYCOVAL S.A.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,11.0,79.0,0.0,0.0,0.0,0.0,0.0,66.0,2.0,11.0,fundos de investimento,79.0,51-100
61652768000134,2025-07-16,2025-07-16,1500000000.0,1,Profissional,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DRIVER MASTER BRASIL I - RESP LIMITADA,1949628264.86,2.0,BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,BANCO BRADESCO S.A.,BANCO BRADESCO S.A.,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,instituicoes financeiras,2.0,2-5
