basis,bucket,observations,share_observations,associated_amount_brl
closing_announcement_subscribers,0,13,0.06372549019607843,151000000.11
closing_announcement_subscribers,1,48,0.23529411764705882,4749697400.0
closing_announcement_subscribers,2-5,66,0.3235294117647059,1414707593.32
closing_announcement_subscribers,6-10,33,0.16176470588235295,653000000.0
closing_announcement_subscribers,11-50,36,0.17647058823529413,3780992653.59
closing_announcement_subscribers,51-100,4,0.0196078431372549,30000000.0
closing_announcement_subscribers,101-500,1,0.004901960784313725,20000000.0
closing_announcement_subscribers,>500,3,0.014705882352941176,589872000.0
latest_monthly_accounts_for_24m_issuers,0,25,0.01773049645390071,7272372.03
latest_monthly_accounts_for_24m_issuers,1,113,0.08014184397163121,14351807678.87
latest_monthly_accounts_for_24m_issuers,2-5,335,0.2375886524822695,51970450823.78
latest_monthly_accounts_for_24m_issuers,6-10,177,0.125531914893617,23697086547.239998
latest_monthly_accounts_for_24m_issuers,11-50,382,0.27092198581560284,64184368051.47
latest_monthly_accounts_for_24m_issuers,51-100,106,0.075177304964539,43201178988.69
latest_monthly_accounts_for_24m_issuers,101-500,77,0.05460992907801419,60828831065.56
latest_monthly_accounts_for_24m_issuers,>500,195,0.13829787234042554,10071553382.6
