document_key,cnpj_fundo,fundo,document_date,documento_origem,source_path,cache_path,parse_status,total_subscribers,total_quotas,closing_amount_brl,column_order,column_order_observed,expected_numeric_columns,incomplete_category_rows,reported_total_subscribers,reported_total_quotas,total_row_validated,private_only_language,b3_or_organized_market_language,six_month_qualified_release,general_public_release,investor_category,investor_category_label,investor_family,subscribers,quotas,allocated_amount_proxy_brl
01d44b7fdc1e6d43,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0024/01d44b7fdc1e6d43.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,clubes_investimento,Clubes de investimento,Clubes de investimento,0.0,0.0,0.0
baf1f9faeef07d1d,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0103/baf1f9faeef07d1d.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,clubes_investimento,Clubes de investimento,Clubes de investimento,0.0,0.0,0.0
01d44b7fdc1e6d43,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0024/01d44b7fdc1e6d43.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,demais_financeiras,Demais instituicoes financeiras,Instituicoes financeiras,0.0,0.0,0.0
baf1f9faeef07d1d,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0103/baf1f9faeef07d1d.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,demais_financeiras,Demais instituicoes financeiras,Instituicoes financeiras,0.0,0.0,0.0
01d44b7fdc1e6d43,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0024/01d44b7fdc1e6d43.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,demais_pj,Demais pessoas juridicas,Outras pessoas juridicas,0.0,0.0,0.0
baf1f9faeef07d1d,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0103/baf1f9faeef07d1d.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,demais_pj,Demais pessoas juridicas,Outras pessoas juridicas,0.0,0.0,0.0
01d44b7fdc1e6d43,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0024/01d44b7fdc1e6d43.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,financeiras_ligadas,Instituicoes financeiras ligadas,Instituicoes financeiras,1.0,135000.0,0.0
baf1f9faeef07d1d,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0103/baf1f9faeef07d1d.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,financeiras_ligadas,Instituicoes financeiras ligadas,Instituicoes financeiras,1.0,135000.0,0.0
01d44b7fdc1e6d43,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0024/01d44b7fdc1e6d43.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,fundos_investimento,Fundos de investimento,Fundos de investimento,0.0,0.0,0.0
baf1f9faeef07d1d,54871427000194,CONSIGNADO DELTA RECEIVABLES I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,2024-06-11,677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/raw/54871427000194/677544_emissao_emissao_677544_2024-06-11_2024-06-11.pdf,data/industry_study/document_text_cache/doc-0103/baf1f9faeef07d1d.json.gz,parsed_medium,12.0,137024.0,,subscribers | quotas_subscribed,False,2,0,,,False,False,False,False,False,fundos_investimento,Fundos de investimento,Fundos de investimento,0.0,0.0,0.0
