investor_category,investor_category_label,offers_with_category,subscribers,allocated_amount_proxy_brl,share_subscriber_accounts,share_amount_proxy
pessoas_naturais,Pessoas naturais,45,8735.0,682326288.5285257,0.8696734368777379,0.06071453257184781
fundos_investimento,Fundos de investimento,149,1141.0,5759944970.947983,0.11360015929908403,0.5125295220631851
pj_ligadas,Pessoas juridicas ligadas,11,125.0,7433460.424313247,0.012445240939864596,0.0006614417217117674
demais_financeiras,Demais instituicoes financeiras,18,20.0,855593650.8607306,0.001991238550378335,0.07613215181182087
financeiras_ligadas,Instituicoes financeiras ligadas,9,9.0,1027209469.1835032,0.0008960573476702509,0.09140281390791667
intermediarias_consorcio,Intermediarias do consorcio,6,6.0,197498217.4688057,0.0005973715651135006,0.017573721193200637
demais_pj,Demais pessoas juridicas,5,5.0,2602520000.0,0.0004978096375945838,0.2315765755554345
investidores_estrangeiros,Investidores estrangeiros,2,2.0,85745593.68738303,0.00019912385503783353,0.0076297861131103106
previdencia_privada,Previdencia privada,1,1.0,19997995.8087551,9.956192751891676e-05,0.00177945506177222
clubes_investimento,Clubes de investimento,0,0.0,0.0,0.0,0.0
seguradoras,Seguradoras,0,0.0,0.0,0.0,0.0
