role,participant,pl_brl_current,pl_dated_brl_current,vehicles_current,funds_current,share_current,dated_coverage_current,rank_current,pl_brl_previous,pl_dated_brl_previous,vehicles_previous,funds_previous,share_previous,dated_coverage_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_rank,competencia_current,competencia_previous,history_quality
custodiante,BTG PACTUAL,145656936481.02,145656936481.02,429.0,426.0,0.1519577648967017,1.0,1.0,95696424528.98,34614403674.71,321.0,321.0,0.1222801228431575,0.3617105220501486,2.0,49960511952.03999,2.967764205354418,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,QI TECH + SINGULARE,138779724251.94,138779724251.94,796.0,796.0,0.1447830581899776,1.0,2.0,103084891622.19,41665311000.99,713.0,713.0,0.1317210467671934,0.4041844575410228,1.0,35694832629.75,1.3062011422784154,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,OLIVEIRA TRUST,116525130023.44,116525130023.44,202.0,202.0,0.1215657746239007,1.0,3.0,92198936627.93,26579920128.19,158.0,158.0,0.1178110608872081,0.2882887926945797,3.0,24326193395.51001,0.3754713736692588,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BANCO DAYCOVAL S.A,63717633407.03,63717633407.03,475.0,475.0,0.0664739310805247,1.0,4.0,45768285797.2,20910506114.74,316.0,316.0,0.0584823480830001,0.4568776337264363,6.0,17949347609.83,0.7991582997524622,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,GRUPO BB,60841973938.55,60841973938.55,1.0,1.0,0.0634738763217786,1.0,5.0,74619761016.06,0.0,1.0,1.0,0.0953485314470414,0.0,4.0,-13777787077.509996,-3.1874655125262747,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,GRUPO BRADESCO/BEM,49908473842.66,49908473842.66,46.0,46.0,0.052067414829395,1.0,6.0,33196132803.94,6736499065.96,38.0,38.0,0.0424177519396692,0.2029302360532927,8.0,16712341038.719994,0.964966288972579,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,REAG/CBSF,49376060585.88,49376060585.88,87.0,87.0,0.0515119704375503,1.0,7.0,72822023827.11,18137327730.96,166.0,166.0,0.0930513973024115,0.2490637691424319,5.0,-23445963241.230003,-4.153942686486115,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,GRUPO GENIAL,42802969338.17,42802969338.17,125.0,125.0,0.0446545403789809,1.0,8.0,36648394328.88,18278781863.66,107.0,107.0,0.0468290239953826,0.4987607833409441,7.0,6154575009.290001,-0.2174483616401656,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,24613405440.31,24613405440.31,129.0,129.0,0.0256781322439333,1.0,9.0,15919481151.85,8316185340.29,100.0,100.0,0.0203417851861126,0.5223904762325484,11.0,8693924288.460001,0.5336347057820702,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BANCO FINAXIS S.A,22959957709.55,22959957709.55,82.0,82.0,0.0239531596637736,1.0,10.0,19135988914.23,8414442009.42,77.0,77.0,0.0244518129770745,0.4397181691071534,9.0,3823968795.32,-0.0498653313300838,-1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,ITAU/INTRAG,22434813297.29,22434813297.29,34.0,34.0,0.023405298552158,1.0,11.0,15621251431.05,1841406940.91,19.0,19.0,0.0199607096435894,0.1178783242199071,12.0,6813561866.240002,0.3444588908568545,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,22282538096.29,22282538096.29,137.0,137.0,0.0232464362298259,1.0,12.0,14274268571.31,3156668901.82,102.0,102.0,0.0182395457613719,0.2211440037050039,13.0,8008269524.980001,0.500689046845395,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,22266191752.04,22266191752.04,163.0,163.0,0.0232293827753425,1.0,13.0,7720433267.0,4202240266.97,108.0,108.0,0.0098651076352938,0.5443010931694644,21.0,14545758485.04,1.3364275140048751,8.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,16943833175.17,16943833175.17,174.0,174.0,0.0176767895871332,1.0,14.0,12995895930.04,7880778264.85,108.0,108.0,0.0166060514653913,0.606405153386431,14.0,3947937245.129999,0.1070738121741847,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,ID CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,16498844233.11,16498844233.11,290.0,290.0,0.0172125513114092,1.0,15.0,11750357871.04,1869197361.03,173.0,173.0,0.0150145129349813,0.1590757814820972,16.0,4748486362.07,0.219803837642791,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
custodiante,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,15565898871.06,15565898871.06,45.0,45.0,0.016239248594677,1.0,16.0,4512893828.92,3980993259.28,11.0,11.0,0.0057665394971089,0.8821375840416589,27.0,11053005042.14,1.0472709097568151,11.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
