administrador,gestor,custodiante,ofertas,volume_registrado_brl
BANCO DAYCOVAL S.A,ECO GESTAO DE ATIVOS LTDA,BANCO DAYCOVAL S.A,9,7429966709.14
OLIVEIRA TRUST,OLIVEIRA TRUST,OLIVEIRA TRUST,14,7418900000.0
BANCO DAYCOVAL S.A,ANGA ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,20,5165385750.01
BTG PACTUAL,BTG PACTUAL,BTG PACTUAL,9,4547932272.55
VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,13,4500800999.96
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SOLIS INVESTIMENTOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,116,3695864359.39
QI TECH + SINGULARE,ARTESANAL INVESTIMENTOS LTDA,QI TECH + SINGULARE,66,3135499472.97
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,BRL TRUST INVESTIMENTOS LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,1,3000000000.0
QI TECH + SINGULARE,ASA ASSET 2 GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,8,2555000000.0
QI TECH + SINGULARE,OURO PRETO GESTAO DE RECURSOS S.A,QI TECH + SINGULARE,56,1719500000.73
BEM DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GRUPO BRADESCO/BEM,GRUPO BRADESCO/BEM,3,1714000000.0
BTG PACTUAL,POLIGONO CAPITAL LTDA,BTG PACTUAL,7,1631616200.0
ITAU/INTRAG,ITAU/INTRAG,ITAU/INTRAG,8,1581974000.0
FINAXIS CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A,REDASSET GESTAO DE RECURSOS LTDA,BANCO FINAXIS S.A,4,1430000000.0
VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,VALORA RENDA FIXA ESTRUTURADOS LTDA,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,5,1422625000.0
QI TECH + SINGULARE,TERCON INVESTIMENTOS LTDA,QI TECH + SINGULARE,48,1353299954.78
(IV)VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,PIER GESTAO DE RECURSOS FINANCEIROS LTDA,VERT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,1,1250000000.0
GRUPO GENIAL,GRUPO GENIAL,GRUPO GENIAL,9,1231200000.0
QI TECH + SINGULARE,NOVA SRM ADMINISTRACAO DE RECURSOS E FINANCAS S/A,QI TECH + SINGULARE,3,1181000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SOLIS INVESTIMENTOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,5,1156472000.0
QI TECH + SINGULARE,ORRAM GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,9,1128000000.0
QI TECH + SINGULARE,M8 PARTNERS GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,22,1038000012.79
OLIVEIRA TRUST,INTEGRAL INVESTIMENTOS LTDA,OLIVEIRA TRUST,6,1033500000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,INTEGRAL INVESTIMENTOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,1000000000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,REDASSET GESTAO DE RECURSOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,1000000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,VALORA RENDA FIXA LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11,963997685.47
BTG PACTUAL,EUQUEROINVESTIR GESTAO DE RECURSOS LTDA,BTG PACTUAL,10,960000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPACOES LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,910000000.0
GRUPO GENIAL,ARTESANAL INVESTIMENTOS LTDA,GRUPO GENIAL,14,909000000.0
QI TECH + SINGULARE,RIZA CREDITO ESTRUTURADO GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,3,905800762.29
QI TECH + SINGULARE,QI TECH + SINGULARE,N.A,1,900000000.0
QI TECH + SINGULARE,QI TECH + SINGULARE,N.A>,1,900000000.0
QI TECH + SINGULARE,MULTIPLIKE GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,5,900000000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,XP VISTA ASSET MANAGEMENT LTDA,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,11,834000000.0
REAG/CBSF,REAG/CBSF,REAG/CBSF,15,827000000.0
LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,KANASTRA ADMINISTRACAO DE RECURSOS LTDA,LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11,794375000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,M8 PARTNERS GESTORA DE RECURSOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,20,784679500.0
BTG PACTUAL,G5 ADMINISTRADORA DE RECURSOS LTDA,BTG PACTUAL,8,772500000.0
OLIVEIRA TRUST,GUARDIAN GESTORA LTDA,OLIVEIRA TRUST,1,750000000.0
OLIVEIRA TRUST,PRAVALER S.A,OLIVEIRA TRUST,4,746000000.0
QI TECH + SINGULARE,RIZA SECURITIZACAO E CARTEIRAS GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,4,743000007.8199999
QI TECH + SINGULARE,JUS CAPITAL GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,4,701000004.98
GRUPO GENIAL,REGIA CAPITAL LTDA,GRUPO GENIAL,1,700000000.0
BANCO J. SAFRA S.A. - 03.017.677/0001-20,EMERALD GESTAO DE INVESTIMENTOS SOCIEDADE UNIPESSOAL LIMITADA - 09.815.294/0001-84,BANCO SAFRA S.A. - 58.160.789/0001-28,5,639942762.61
ITAU/INTRAG,KINEA INVESTIMENTOS LTDA,ITAU/INTRAG,1,624992800.0
QI TECH + SINGULARE,BRZ INVESTIMENTOS LTDA,QI TECH + SINGULARE,18,603719186.3
BTG PACTUAL,ARTESANAL INVESTIMENTOS LTDA,BTG PACTUAL,2,532500000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA. (CNPJ NO 02.671.743/0001-19),GUARDIAN GESTORA LTDA. (CNPJ NO 37.414.193/0001-37),BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA. (CNPJ NO 02.671.743/0001-19),1,503494102.4
GRUPO BRADESCO/BEM,GRUPO BRADESCO/BEM,GRUPO BRADESCO/BEM,2,490180000.0
BANCO DAYCOVAL S.A,STRATA CAPITAL GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,10,479500004.48
REAG/CBSF,ARC CAPITAL LTDA,REAG/CBSF,4,467500000.0
OLIVEIRA TRUST,FARMTECH GESTAO DE RECURSOS LTDA,OLIVEIRA TRUST,2,459000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,OPEA GESTORA DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,456700000.0
OLIVEIRA TRUST,RIZA SECURITIZACAO E CARTEIRAS GESTORA DE RECURSOS LTDA,OLIVEIRA TRUST,1,454000000.0
"XP INVESTIMENTOS CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS S.A",JIVE HIGH YIELD GESTAO DE RECURSOS LTDA,OLIVEIRA TRUST,1,450000000.0
"VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 22.610.500/0001-88","SOLIS INVESTIMENTOS LTDA, CNPJ 17.254.708/0001-71","VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 22.610.500/0001-88",1,447060000.0
QI TECH + SINGULARE,BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,17,420900009.36
OLIVEIRA TRUST,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,OLIVEIRA TRUST,4,417600000.0
BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,BRL TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,3,413000000.0
QI TECH + SINGULARE,GALAPAGOS CAPITAL INVESTIMENTOS E PARTICIPACOES LTDA,QI TECH + SINGULARE,9,405244999.98
QI TECH + SINGULARE,FAR - FATOR ADMINISTRACAO DE RECURSOS LTDA,QI TECH + SINGULARE,2,399998428.86
QI TECH + SINGULARE,GUARDIAN GESTORA LTDA,QI TECH + SINGULARE,2,384212000.0
QI TECH + SINGULARE,LUMINA CAPITAL MANAGEMENT LTDA,QI TECH + SINGULARE,1,381500000.0
BANCO DAYCOVAL S.A,AUGME CAPITAL GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,7,380383000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SUESTE CAPITAL GESTAO DE RECURSOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,2,370000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,BRZ INVESTIMENTOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,11,345998880.57
BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,ROOT CAPITAL GESTAO DE RECURSOS LTDA,BNY MELLON SERVICOS FINANCEIROS DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A,2,340000000.0
BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8,334600000.0
BANCO DAYCOVAL S.A,DAYCOVAL ASSET MANAGEMENT ADMINISTRACAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,3,332000000.0
FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,ORRAM GESTAO DE RECURSOS LTDA,FIDD DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,8,316000000.0
OLIVEIRA TRUST,EMPIRICA INVESTIMENTOS GESTAO DE RECURSOS LTDA,OLIVEIRA TRUST,2,315000000.0
BRL TRUST DTVM S.A,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,BRL TRUST DTVM S.A,1,315000000.0
GRUPO GENIAL,ARTESANAL INVESTIMENTO LTDA,GRUPO GENIAL,1,312500000.0
HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,SARFATY ASSET GESTAO DE RECURSOS LTDA,HEMERA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,4,310000000.0
QI TECH + SINGULARE,VERT GESTORA DE RECURSOS FINANCEIROS LTDA,QI TECH + SINGULARE,1,300000000.0
OLIVEIRA TRUST,VILA RICA CAPITAL GESTORA DE RECURSOS LTDA,OLIVEIRA TRUST,3,300000000.0
BANCO DAYCOVAL S.A,LAPLACE INVESTIMENTOS E GESTAO DE RECURSOS LTDA,BANCO DAYCOVAL S.A,1,300000000.0
QI TECH + SINGULARE,APUAMA CAPITAL GESTORA DE RECURSOS LTDA,QI TECH + SINGULARE,7,290000000.63
QI TECH + SINGULARE,CVPAR INVESTIMENTOS LTDA,QI TECH + SINGULARE,5,290000000.05
"LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 24.361.690/0001-72","BURITI INVESTIMENTOS GESTORA DE RECURSOS LTDA, CNPJ 44.696.473/0001-40","LIMINE TRUST DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA., CNPJ 24.361.690/0001-72",2,285000000.0
VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,IRON CAPITAL GESTAO DE RECURSOS LTDA. E LESTE CREDIT GESTAO DE RECURSOS LTDA,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,6,273500000.0
QI TECH + SINGULARE,CONTEA CAPITAL GESTAO DE RECURSOS LTDA,QI TECH + SINGULARE,3,270000000.02
