role,participant,pl_brl_current,pl_dated_brl_current,vehicles_current,funds_current,share_current,dated_coverage_current,rank_current,pl_brl_previous,pl_dated_brl_previous,vehicles_previous,funds_previous,share_previous,dated_coverage_previous,rank_previous,delta_pl_brl,delta_share_pp,delta_rank,competencia_current,competencia_previous,history_quality
gestor,OLIVEIRA TRUST,75780956243.46,75780956243.46,50.0,50.0,0.0790590891906578,1.0,1.0,60377366977.2,15562660239.93,41.0,41.0,0.077149714707289,0.2577565239936158,2.0,15403589266.26001,0.1909374483368794,1.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,BTG PACTUAL,67963846941.08,67963846941.08,80.0,77.0,0.0709038273387948,1.0,2.0,46023619270.61,11626035568.6,71.0,71.0,0.0588086111450551,0.2526101978256241,4.0,21940227670.47,1.2095216193739715,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,GRUPO BB,60892601463.94,60892601463.94,2.0,2.0,0.0635266938928904,1.0,3.0,74619761016.06,0.0,1.0,1.0,0.0953485314470414,0.0,1.0,-13727159552.119995,-3.1821837554150925,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,GRUPO BRADESCO/BEM,40699594025.93,40699594025.93,31.0,31.0,0.042460177247991,1.0,4.0,24857463876.2,4605070775.25,20.0,20.0,0.03176266774137,0.1852590754304249,6.0,15842130149.73,1.0697509506620957,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,REAG/CBSF,39835855796.98,39835855796.98,60.0,60.0,0.0415590754268348,1.0,5.0,60103099147.33,20576194108.96,111.0,111.0,0.0767992574765878,0.3423483048440118,3.0,-20267243350.35,-3.5240182049753,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,SOLIS INVESTIMENTOS S A,27173703227.65,27173703227.65,112.0,112.0,0.0283491834045133,1.0,6.0,7528992738.440001,2885334872.92,47.0,47.0,0.0096204864651226,0.3832298652897676,22.0,19644710489.21,1.8728696939390663,16.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,GRUPO GENIAL,26996453150.27,26996453150.27,48.0,48.0,0.028164265842486,1.0,7.0,25861175297.34,11792317290.92,43.0,43.0,0.0330452021357341,0.4559853585669372,5.0,1135277852.9300003,-0.488093629324805,-2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,TERCON INVESTIMENTOS S.A,23959513209.65,23959513209.65,230.0,230.0,0.0249959539402082,1.0,8.0,13603518774.7,850190413.51,162.0,162.0,0.0173824670572281,0.0624978307150349,10.0,10355994434.95,0.7613486882980084,2.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,ITAU/INTRAG,19401175472.15,19401175472.15,27.0,27.0,0.0202404316082865,1.0,9.0,13711368577.2,946682221.75,17.0,17.0,0.0175202766688539,0.0690435981222322,9.0,5689806894.950001,0.2720154939432669,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,VALORA RENDA FIXA LTDA,15149985484.47,15149985484.47,24.0,24.0,0.0158053436249328,1.0,10.0,5788207795.49,2555723488.05,23.0,23.0,0.0073961254431183,0.4415396921377536,29.0,9361777688.98,0.8409218181814532,19.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
gestor,INTEGRAL INVESTIMENTOS LTDA,14101509780.25,14101509780.25,20.0,20.0,0.0147115129539676,1.0,11.0,13503577952.14,3710626180.1,21.0,21.0,0.0172547634766624,0.2747883704045973,11.0,597931828.1100006,-0.2543250522694837,0.0,2026-05,2025-05,reconstruida; consultar role_share_coverage.csv
