competencia,role,pl_total_brl,fundos_total,pl_cobertura_alta,pl_cobertura_datada,fundos_cobertura_datada,fonte_principal,regra_publicacao
2023-12,administrador,485359225501.6,2404,1.0,1.0,1.0,informe_mensal_cvm,PUBLICÁVEL
2023-12,gestor,485359225501.6,2404,0.019927786682233606,0.1676375784403047,0.2454242928452579,cadastro histórico + ofertas datadas,NÃO PUBLICAR DELTA
2023-12,custodiante,485359225501.6,2404,0.020136108485358916,0.1670121749579123,0.2454242928452579,cadastro histórico + ofertas datadas,NÃO PUBLICAR DELTA
2024-12,administrador,731837114451.08,3140,1.0,1.0,1.0,informe_mensal_cvm,PUBLICÁVEL
2024-12,gestor,731837114451.08,3140,0.049155493308251294,0.3177046346676671,0.3980891719745223,cadastro histórico + ofertas datadas,NÃO PUBLICAR DELTA
2024-12,custodiante,731837114451.08,3140,0.04898170004148675,0.31753084140090254,0.395859872611465,cadastro histórico + ofertas datadas,NÃO PUBLICAR DELTA
2025-12,administrador,918137307493.73,4006,1.0,1.0,1.0,informe_mensal_cvm,PUBLICÁVEL
2025-12,gestor,918137307493.73,4006,0.11125640214294157,0.42797646585393045,0.4565651522715926,cadastro histórico + ofertas datadas,NÃO PUBLICAR DELTA
2025-12,custodiante,918137307493.73,4006,0.1004687014173748,0.4177421064834022,0.45381927109335995,cadastro histórico + ofertas datadas,NÃO PUBLICAR DELTA
2026-05,administrador,958535660089.73,4219,1.0,1.0,1.0,informe_mensal_cvm,PUBLICÁVEL
2026-05,gestor,958535660089.73,4219,0.9998765714236558,0.9998765714236558,0.9924152642806352,cadastro_atual,PUBLICÁVEL
2026-05,custodiante,958535660089.73,4219,0.9896964522453806,0.9896964522453806,0.9860156435174212,cadastro_atual,PUBLICÁVEL
