classe_serie,serie_curta,tipo,data,ordem_parcela,amortizacao_programada,definicao_parcela,percentual_documental,amortizacao_principal_mm_calculada,saldo_apos_mm_calculado,fonte,observacao
Sênior 1ª série,S1,Sênior,15/12/2025,1,Sim,Percentual do saldo de principal remanescente,25.0,250.0,750.0,468755 p.3; 471622 p.2; 467929 pp.115-117,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 1ª série,S1,Sênior,15/01/2026,2,Sim,Percentual do saldo de principal remanescente,33.33,249.98,500.03,468755 p.3; 471622 p.2; 467929 pp.115-117,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 1ª série,S1,Sênior,15/02/2026,3,Sim,Percentual do saldo de principal remanescente,50.0,250.01,250.01,468755 p.3; 471622 p.2; 467929 pp.115-117,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 1ª série,S1,Sênior,15/03/2026,4,Sim,Percentual do saldo de principal remanescente,100.0,250.01,0.0,468755 p.3; 471622 p.2; 467929 pp.115-117,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 2ª série,S2,Sênior,15/04/2026,1,Sim,Percentual do saldo de principal remanescente,50.0,250.0,250.0,468755 p.3; 471622 p.2; 467929 pp.118-120,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 2ª série,S2,Sênior,15/05/2026,2,Sim,Percentual do saldo de principal remanescente,100.0,250.0,0.0,468755 p.3; 471622 p.2; 467929 pp.118-120,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 3ª série,S3,Sênior,não disponível na documentação,,Não identificada,não disponível na documentação,,,,558803 pp.4-5; 559856 pp.1-2,Ata aprova emissão e remete a suplemento; suplemento com calendário específico não apareceu no texto extraído dos documentos baixados
Sênior 4ª série,S4,Sênior,não disponível na documentação,,Não identificada,não disponível na documentação,,,,558803 pp.4-5; 559856 pp.1-2,Ata aprova emissão e remete a suplemento; suplemento com calendário específico não apareceu no texto extraído dos documentos baixados
Subordinada Júnior (emissão 2023),Sub Jr 2023,Subordinada Júnior,não disponível na documentação,,Condicionada/residual,Residual / evento extraordinário,,,,558803 p.4,Aprovada em assembleia como colocação privada
Sênior 5ª série,S5,Sênior,15/12/2027,1,Sim,Percentual do saldo de principal remanescente,16.67,250.05,1249.95,909546 p.9; 912093 pp.3-5; 912172 p.2; 932137 p.2,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 5ª série,S5,Sênior,15/01/2028,2,Sim,Percentual do saldo de principal remanescente,20.0,249.99,999.96,909546 p.9; 912093 pp.3-5; 912172 p.2; 932137 p.2,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 5ª série,S5,Sênior,15/02/2028,3,Sim,Percentual do saldo de principal remanescente,25.0,249.99,749.97,909546 p.9; 912093 pp.3-5; 912172 p.2; 932137 p.2,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 5ª série,S5,Sênior,15/03/2028,4,Sim,Percentual do saldo de principal remanescente,33.33,249.97,500.0,909546 p.9; 912093 pp.3-5; 912172 p.2; 932137 p.2,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 5ª série,S5,Sênior,15/04/2028,5,Sim,Percentual do saldo de principal remanescente,50.0,250.0,250.0,909546 p.9; 912093 pp.3-5; 912172 p.2; 932137 p.2,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
Sênior 5ª série,S5,Sênior,15/05/2028,6,Sim,Percentual do saldo de principal remanescente,100.0,250.0,0.0,909546 p.9; 912093 pp.3-5; 912172 p.2; 932137 p.2,"Valor em R$ calculado mecanicamente sobre o volume de emissão; documento traz percentual, não valor nominal fixo."
