competencia,data_competencia,serie_reportada,indice_lista,quantidade_cotas,vnu_brl,saldo_reportado_mm,documento_id,fonte,observacao
02/2025,01/02/2025,Série 1,1,1000000.0,1037.60460207,1037.6,859502,IME 859502 competência 02/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
02/2025,01/02/2025,Série 2,2,500000.0,1038.17967003,519.09,859502,IME 859502 competência 02/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
02/2025,01/02/2025,Série 3,3,200000.0,1037.02872034,207.41,859502,IME 859502 competência 02/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
02/2025,01/02/2025,Série 4,4,100000.0,1037.60460207,103.76,859502,IME 859502 competência 02/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
03/2025,01/03/2025,Série 1,1,1000000.0,1048.82537295,1048.83,880854,IME 880854 competência 03/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
03/2025,01/03/2025,Série 2,2,500000.0,1049.56227007,524.78,880854,IME 880854 competência 03/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
03/2025,01/03/2025,Série 3,3,200000.0,1048.08754271,209.62,880854,IME 880854 competência 03/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
03/2025,01/03/2025,Série 4,4,100000.0,1048.82537295,104.88,880854,IME 880854 competência 03/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
04/2025,01/04/2025,Série 1,1,1000000.0,1061.23578366,1061.24,904794,IME 904794 competência 04/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
04/2025,01/04/2025,Série 2,2,500000.0,1062.14716392,531.07,904794,IME 904794 competência 04/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
04/2025,01/04/2025,Série 3,3,200000.0,1060.32339185,212.06,904794,IME 904794 competência 04/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
04/2025,01/04/2025,Série 4,4,100000.0,1061.23578366,106.12,904794,IME 904794 competência 04/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
05/2025,01/05/2025,Série 1,1,1000000.0,1006.68278198,1006.68,925522,IME 925522 competência 05/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
05/2025,01/05/2025,Série 2,2,500000.0,1006.76920166,503.38,925522,IME 925522 competência 05/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
05/2025,01/05/2025,Série 3,3,200000.0,1006.59619948,201.32,925522,IME 925522 competência 05/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
05/2025,01/05/2025,Série 4,4,100000.0,1006.68278198,100.67,925522,IME 925522 competência 05/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
05/2025,01/05/2025,Série 5,5,750000.0,1000.57626876,750.43,925522,IME 925522 competência 05/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
06/2025,01/06/2025,Série 1,1,1000000.0,1019.0007656,1019.0,946653,IME 946653 competência 06/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
06/2025,01/06/2025,Série 2,2,500000.0,1019.24731129,509.62,946653,IME 946653 competência 06/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
06/2025,01/06/2025,Série 3,3,200000.0,1018.75379395,203.75,946653,IME 946653 competência 06/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
06/2025,01/06/2025,Série 4,4,100000.0,1019.0007656,101.9,946653,IME 946653 competência 06/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
06/2025,01/06/2025,Série 5,5,1499999.9999826,1012.22413115,1518.34,946653,IME 946653 competência 06/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
07/2025,01/07/2025,Série 1,1,1000000.0,1033.49670746,1033.5,972223,IME 972223 competência 07/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
07/2025,01/07/2025,Série 2,2,500000.0,1033.93232267,516.97,972223,IME 972223 competência 07/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
07/2025,01/07/2025,Série 3,3,200000.0,1033.06041801,206.61,972223,IME 972223 competência 07/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
07/2025,01/07/2025,Série 4,4,100000.0,1033.49670746,103.35,972223,IME 972223 competência 07/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
07/2025,01/07/2025,Série 5,5,1499999.9999826,1025.92965866,1538.89,972223,IME 972223 competência 07/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
08/2025,01/08/2025,Série 1,1,1000000.0,1046.91215491,1046.91,991143,IME 991143 competência 08/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
08/2025,01/08/2025,Série 2,2,500000.0,1047.52507981,523.76,991143,IME 991143 competência 08/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
08/2025,01/08/2025,Série 3,3,200000.0,1046.29838201,209.26,991143,IME 991143 competência 08/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
08/2025,01/08/2025,Série 4,4,100000.0,1046.91215491,104.69,991143,IME 991143 competência 08/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
08/2025,01/08/2025,Série 5,5,1499999.9999826,1038.60540723,1557.91,991143,IME 991143 competência 08/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
09/2025,01/09/2025,Série 1,1,1000000.0,1061.15324872,1061.15,1014709,IME 1014709 competência 09/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
09/2025,01/09/2025,Série 2,2,500000.0,1061.95681717,530.98,1014709,IME 1014709 competência 09/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
09/2025,01/09/2025,Série 3,3,200000.0,1060.34870674,212.07,1014709,IME 1014709 competência 09/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
09/2025,01/09/2025,Série 4,4,100000.0,1061.15324872,106.12,1014709,IME 1014709 competência 09/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
09/2025,01/09/2025,Série 5,5,1499999.9999826,1052.05277366,1578.08,1014709,IME 1014709 competência 09/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
10/2025,01/10/2025,Série 1,1,1000000.0,1076.24883679,1076.25,1042082,IME 1042082 competência 10/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
10/2025,01/10/2025,Série 2,2,500000.0,1077.25717439,538.63,1042082,IME 1042082 competência 10/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
10/2025,01/10/2025,Série 3,3,200000.0,1075.23945893,215.05,1042082,IME 1042082 competência 10/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
10/2025,01/10/2025,Série 4,4,100000.0,1076.24883679,107.62,1042082,IME 1042082 competência 10/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
10/2025,01/10/2025,Série 5,5,1499999.9999826,1066.29758149,1599.45,1042082,IME 1042082 competência 10/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
11/2025,01/11/2025,Série 1,1,1000000.0,1004.92527513,1004.93,1062060,IME 1062060 competência 11/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
11/2025,01/11/2025,Série 2,2,500000.0,1004.98801534,502.49,1062060,IME 1062060 competência 11/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
11/2025,01/11/2025,Série 3,3,200000.0,1004.86241524,200.97,1062060,IME 1062060 competência 11/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
11/2025,01/11/2025,Série 4,4,100000.0,1004.92527513,100.49,1062060,IME 1062060 competência 11/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
11/2025,01/11/2025,Série 5,5,1499999.9999826,1004.68892949,1507.03,1062060,IME 1062060 competência 11/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
12/2025,01/12/2025,Série 1,1,1000000.0,755.08387576,755.08,1079737,IME 1079737 competência 12/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
12/2025,01/12/2025,Série 2,2,500000.0,1018.8337202,509.42,1079737,IME 1079737 competência 12/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
12/2025,01/12/2025,Série 3,3,200000.0,1018.35631289,203.67,1079737,IME 1079737 competência 12/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
12/2025,01/12/2025,Série 4,4,100000.0,1018.5952235,101.86,1079737,IME 1079737 competência 12/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
12/2025,01/12/2025,Série 5,5,1499999.9999826,1017.69716157,1526.55,1079737,IME 1079737 competência 12/2025,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
01/2026,01/01/2026,Série 1,1,1000000.0,503.38925051,503.39,1114083,IME 1114083 competência 01/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
01/2026,01/01/2026,Série 2,2,500000.0,1032.22798113,516.11,1114083,IME 1114083 competência 01/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
01/2026,01/01/2026,Série 3,3,200000.0,1031.40585381,206.28,1114083,IME 1114083 competência 01/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
01/2026,01/01/2026,Série 4,4,100000.0,1031.81724018,103.18,1114083,IME 1114083 competência 01/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
01/2026,01/01/2026,Série 5,5,1499999.9999826,1030.27119455,1545.41,1114083,IME 1114083 competência 01/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
02/2026,01/02/2026,Série 1,1,1000000.0,251.07707289,251.08,1136117,IME 1136117 competência 02/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
02/2026,01/02/2026,Série 2,2,500000.0,1043.84884192,521.92,1136117,IME 1136117 competência 02/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
02/2026,01/02/2026,Série 3,3,200000.0,1042.72418791,208.54,1136117,IME 1136117 competência 02/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
02/2026,01/02/2026,Série 4,4,100000.0,1043.28691684,104.33,1136117,IME 1136117 competência 02/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
02/2026,01/02/2026,Série 5,5,1499999.9999826,1041.17251605,1561.76,1136117,IME 1136117 competência 02/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
03/2026,01/03/2026,Série 1,1,500000.0,1058.15675941,529.08,1162826,IME 1162826 competência 03/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
03/2026,01/03/2026,Série 2,2,200000.0,1056.65344779,211.33,1162826,IME 1162826 competência 03/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
03/2026,01/03/2026,Série 3,3,100000.0,1057.40557626,105.74,1162826,IME 1162826 competência 03/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
03/2026,01/03/2026,Série 4,4,1499999.9999826,1054.58019508,1581.87,1162826,IME 1162826 competência 03/2026,A partir de 03/2026 as séries remanescentes aparecem reindexadas no informe; usar com cautela para mapear série econômica.
