mes,fundo,pl,ativo,dc_risco,venc_ad,venc_inad,parc_inad,inad,pdd,b_sr,b_mez,b_jr,a_sr,a_mez,a_jr,c_sr,c_mez,c_jr
202101,I,28427286.51,28479154.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202102,I,55844311.99,56066214.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202103,I,95732405.67,95967003.81,92850183.38,92152441.35,703031.16,19677.44,0.0,5289.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202104,I,134046256.36,134643815.22,122876877.43,117839307.92,5055164.79,125819.67,0.0,17595.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202105,I,174148646.04,174763766.26,165293330.45,160794570.09,4525774.07,112389.78,0.0,27013.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202106,I,250169072.98,250949737.58,236762575.95,231075678.02,5724127.94,142702.15,0.0,37230.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202107,I,323905204.74,325460226.22,318277204.19,303388100.1,14961517.14,381566.21,0.0,72413.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202108,I,396424686.84,397954503.15,389933162.38,373768199.39,16281587.29,414998.27,7389.85,124014.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202109,I,459249000.84,460978742.39,451953974.65,414111141.77,38098164.42,978431.36,4090.57,259422.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202110,I,490810573.73,492070615.01,476895808.61,449276715.11,28062937.19,786773.24,1242.73,445086.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202110,II,75852939.84,75908080.34,52633945.34,52633945.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202111,I,499413561.51,499921364.32,478420773.6,440477098.28,38942050.08,1206725.06,2514.71,1000889.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202111,II,180123649.14,180645138.48,165042851.22,165038215.88,4635.34,4635.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202112,I,510352454.26,511030497.8,491798379.2,443283660.25,50191105.79,1643420.93,5290.7,1681677.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202112,II,310403634.55,311083306.1,264033358.52,263991471.0,45040.27,45040.27,0.0,3152.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202201,I,517246006.62,519357027.84,499005414.21,337929097.26,164215443.84,4829407.09,2084.0,3141210.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
