Fundo,CNPJ,Documentos inventariados,Critérios curados,Emissões/eventos curados,Status curadoria
CRÉDITO UNIVERSITÁRIO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.417.544/0001-65,114,4,29,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
CARTÃO DE COMPRA SUPPLIER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,08.692.888/0001-82,80,2,9,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
KONDOR KOBOLD FUNDO DE INVESTIMENTO EM COTAS DE FIDC - RESP LIMITADA,10.292.322/0001-05,28,3,1,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,17.468.142/0001-80,183,6,90,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,18.185.812/0001-14,104,8,29,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,23.956.882/0001-69,157,6,58,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
PRAVALER CRÉDITO UNIVERSITÁRIO II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESP LIMITADAL,26.749.095/0001-34,81,4,23,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,28.169.275/0001-72,71,4,15,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,28.472.333/0001-32,52,0,5,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,33.254.370/0001-04,77,1,19,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
CREDITO UNIVERSITARIO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,34.408.539/0001-04,67,11,20,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BV - CRÉDITO DE VEÍCULOS RESPONSABILIDADE LIMITADA,35.868.110/0001-54,52,1,10,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRINDADE - RESPONSABILIDADE LIMITADA,36.643.621/0001-30,43,5,5,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
MERCADO CRÉDITO I BRASIL FIDC SEGMENTO FINANCEIRO DE RESPONSABILIDADE LIMITADA,37.511.828/0001-14,75,6,20,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BASSANO DI GRAPPO - RESPONSABILIDADE LIMITADA,37.645.459/0001-52,46,1,10,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,38.658.727/0001-33,69,5,14,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
3RD - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,40.975.325/0001-04,48,3,5,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41.351.629/0001-63,55,5,11,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
MERCADO CRÉDITO II BRASIL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,41.970.012/0001-26,80,1,21,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.085.816/0001-05,52,2,5,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,42.085.830/0001-09,42,1,6,triagem estruturada por evidências offline; requer revisão fina antes de alerta contratual duro
