mes,fund_name,cnpj,classe,class_macro,saldo_base,dias_corridos,dias_uteis,custo_programado_bruto,spread_cdi_plus_aa,taxa_total_aa
2026-01,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,194000000.0,26,17,1854248.49,0.0115,0.1514364
2026-01,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,169750000.0,5,4,380369.7,0.0115,0.1514364
2026-02,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,169750000.0,26,17,1622467.43,0.0115,0.1514364
2026-02,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,145500000.0,2,1,81439.39,0.0115,0.1514364
2026-03,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,145500000.0,26,19,1555167.96,0.0115,0.1514364
2026-03,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,121250000.0,5,3,203712.46,0.0115,0.1514364
2026-04,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,121250000.0,26,16,1090428.81,0.0115,0.1514364
2026-04,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,97000000.0,4,4,217354.11,0.0115,0.1514364
2026-05,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,97000000.0,26,17,927124.25,0.0115,0.1514364
2026-05,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,72750000.0,5,3,122227.47,0.0115,0.1514364
2026-06,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,72750000.0,26,19,777583.98,0.0115,0.1514364
2026-06,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,48500000.0,4,2,54308.12,0.0115,0.1514364
2026-07,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,48500000.0,26,18,490968.05,0.0115,0.1514364
2026-07,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,24250000.0,5,5,67942.17,0.0115,0.1514364
2026-08,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,24250000.0,26,18,245484.03,0.0115,0.1514364
2026-08,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,0.0,5,3,0.0,0.0115,0.1514364
2026-09,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,0.0,30,21,0.0,0.0115,0.1514364
2026-10,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,0.0,31,21,0.0,0.0115,0.1514364
2026-11,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,0.0,30,19,0.0,0.0115,0.1514364
2026-12,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,0.0,31,20,0.0,0.0115,0.1514364
2026-01,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,31,21,5906419.99,0.0114,0.1513364
2026-02,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,26,17,4776033.45,0.0114,0.1513364
2026-02,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,458333333.33,2,1,256380.69,0.0114,0.1513364
2026-03,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,458333333.33,26,19,4895834.76,0.0114,0.1513364
2026-03,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,416666666.67,5,3,699611.28,0.0114,0.1513364
2026-04,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,416666666.67,26,16,3744859.73,0.0114,0.1513364
