mes,fund_name,cnpj,classe,class_macro,saldo_base,dias_corridos,dias_uteis,custo_programado_bruto,spread_cdi_plus_aa,taxa_total_aa
2025-01,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,31,22,3604471.47,0.0115,0.1514364
2025-02,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,28,20,3274955.59,0.0115,0.1514364
2025-03,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,31,19,3110335.89,0.0115,0.1514364
2025-04,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,30,20,3274955.59,0.0115,0.1514364
2025-05,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,31,21,3439667.44,0.0115,0.1514364
2025-06,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,30,20,3274955.59,0.0115,0.1514364
2025-07,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,31,23,3769367.75,0.0115,0.1514364
2025-08,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,31,21,3439667.44,0.0115,0.1514364
2025-09,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,291000000.0,26,20,3274955.59,0.0115,0.1514364
2025-09,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,266750000.0,4,2,298694.67,0.0115,0.1514364
2025-10,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,266750000.0,26,18,2700324.26,0.0115,0.1514364
2025-10,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,242500000.0,5,5,679421.73,0.0115,0.1514364
2025-11,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,242500000.0,26,17,2317810.59,0.0115,0.1514364
2025-11,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,218250000.0,4,2,244386.55,0.0115,0.1514364
2025-12,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,218250000.0,26,18,2209356.21,0.0115,0.1514364
2025-12,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,senior,194000000.0,5,2,217232.49,0.0115,0.1514364
2025-01,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,31,22,6189411.85,0.0114,0.1513364
2025-02,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,28,20,5623586.19,0.0114,0.1513364
2025-03,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,31,19,5340910.59,0.0114,0.1513364
2025-04,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,30,20,5623586.19,0.0114,0.1513364
2025-05,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,31,21,5906419.92,0.0114,0.1513364
2025-06,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,30,20,5623586.19,0.0114,0.1513364
2025-07,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,senior,500000000.0,31,23,6472562.09,0.0114,0.1513364
