Data,target_comp,cnpj,FIDC,Classe,class_macro,class_label,PL classe,source
31/12/25,12/2025,42085816000105,Kick Ass I,Sênior,senior,Sênior · Série 1,194231593.029,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
31/12/25,12/2025,42085816000105,Kick Ass I,Subordinada,subordinada,Subordinada 1,12415164.67003994,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Hoje (23/05/26),02/2026,42085816000105,Kick Ass I,Sênior,senior,Sênior · Série 1,145500000.0,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
Hoje (23/05/26),02/2026,42085816000105,Kick Ass I,Subordinada,subordinada,Subordinada 1,11538535.89997338,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
31/12/25,12/2025,42085830000109,Akira I,Sênior,senior,Sênior · Série 1,500596495.78,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
31/12/25,12/2025,42085830000109,Akira I,Subordinada,subordinada,Subordinada 1,16119771.540000144,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
Hoje (23/05/26),04/2026,42085830000109,Akira I,Sênior,senior,Sênior · Série 1,375661559.7,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
Hoje (23/05/26),04/2026,42085830000109,Akira I,Subordinada,subordinada,Subordinada 1,16233213.23001886,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
31/12/25,12/2025,44124617000194,Akira II,Sênior,senior,Sênior · Série 1,52958908.605000004,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
31/12/25,12/2025,44124617000194,Akira II,Subordinada,subordinada,Subordinada 1,17068347.750247397,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
Hoje (23/05/26),02/2026,44124617000194,Akira II,Sênior,senior,Sênior · Série 1,35261878.515,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
Hoje (23/05/26),02/2026,44124617000194,Akira II,Subordinada,subordinada,Subordinada 1,4227637.97016368,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
