Data,target_comp,cnpj,FIDC,PL oficial
31/12/25,12/2025,42085816000105,Kick Ass I,206646757.66
Hoje (23/05/26),02/2026,42085816000105,Kick Ass I,157038535.84
31/12/25,12/2025,42085830000109,Akira I,516716267.32
Hoje (23/05/26),04/2026,42085830000109,Akira I,391894772.93
31/12/25,12/2025,44124617000194,Akira II,70027256.36
Hoje (23/05/26),02/2026,44124617000194,Akira II,39489516.46
31/12/25,12/2025,54218673000141,Big Picture I,904380891.02
Hoje (23/05/26),04/2026,54218673000141,Big Picture I,904120581.41
31/12/25,12/2025,54218941000125,Big Picture II,301859068.28
Hoje (23/05/26),04/2026,54218941000125,Big Picture II,301887372.19
31/12/25,12/2025,54219179000100,Big Picture III,151560206.31
Hoje (23/05/26),04/2026,54219179000100,Big Picture III,151754835.43
31/12/25,12/2025,54248022000102,Big Picture IV,305912949.83
Hoje (23/05/26),04/2026,54248022000102,Big Picture IV,308973054.63
31/12/25,12/2025,57609282000146,A.I.,2699440757.63
Hoje (23/05/26),04/2026,57609282000146,A.I.,2698638532.57
31/12/25,12/2025,60356171000180,PI,3253382344.38
Hoje (23/05/26),04/2026,60356171000180,PI,3254090127.14
31/12/25,12/2025,62393679000183,Bela,4361048234.97
Hoje (23/05/26),03/2026,62393679000183,Bela,7939779760.04
