cnpj,FIDC,competencia,event_type,class_kind,class_macro,class_label,label,valor_total,source
42085816000105,Kick Ass I,02/2025,amortizacao,senior,senior,Sênior,Sênior,3576007.37,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,03/2025,amortizacao,senior,senior,Sênior,Sênior,2870494.82,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,04/2025,amortizacao,senior,senior,Sênior,Sênior,3339594.77,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,05/2025,amortizacao,senior,senior,Sênior,Sênior,3405966.81,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,06/2025,amortizacao,senior,senior,Sênior,Sênior,3800854.24,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,07/2025,amortizacao,senior,senior,Sênior,Sênior,3668343.69,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,08/2025,amortizacao,senior,senior,Sênior,Sênior,3844175.59,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,09/2025,amortizacao,senior,senior,Sênior,Sênior,28270112.42,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,09/2025,amortizacao,subordinada,subordinada,Subordinada,Subordinada,1000000.01,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,10/2025,amortizacao,senior,senior,Sênior · Série 1,Sênior · Série 1,27451565.27,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,10/2025,amortizacao,subordinada,subordinada,Subordinada 1,Subordinada 1,2599999.99,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,11/2025,amortizacao,senior,senior,Sênior · Série 1,Sênior · Série 1,27453479.66,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,11/2025,amortizacao,subordinada,subordinada,Subordinada 1,Subordinada 1,1300000.0,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,12/2025,amortizacao,senior,senior,Sênior · Série 1,Sênior · Série 1,27001257.77,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,01/2026,amortizacao,senior,senior,Sênior · Série 1,Sênior · Série 1,26578411.1,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,Kick Ass I,02/2026,amortizacao,senior,senior,Sênior · Série 1,Sênior · Série 1,26389867.15,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085830000109,Akira I,02/2025,amortizacao,senior,senior,Sênior,Sênior,6139775.32,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,03/2025,amortizacao,senior,senior,Sênior,Sênior,4928555.87,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,Akira I,04/2025,amortizacao,senior,senior,Sênior,Sênior,5734167.0,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
