cnpj,fund_name,short_name,competencia,class_macro,class_macro_label,class_label,pl,qt_cotas,valor_cota,source
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,02/2026,senior,Sênior,Sênior · Série 1,145500000.0,291000.0,0.0,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,02/2026,subordinada,Subordinada,Subordinada 1,11538535.89997338,15294.88571197,0.0,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,04/2026,senior,Sênior,Sênior · Série 1,375661559.7,500000.0,0.0,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,04/2026,subordinada,Subordinada,Subordinada 1,16233213.23001886,16099.02582643,0.0,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e
44124617000194,CLOUDWALK AKIRA II FIDC,Akira II,02/2026,senior,Sênior,Sênior · Série 1,35261878.515,1500000.0,0.0,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
44124617000194,CLOUDWALK AKIRA II FIDC,Akira II,02/2026,subordinada,Subordinada,Subordinada 1,4227637.97016368,78115.19360666,0.0,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff
54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,04/2026,senior,Sênior,Sênior · Série 1,881130648.5894251,877500.0,0.0,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,04/2026,subordinada,Subordinada,Subordinada 1,22989932.82007552,23780.40393154,0.0,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9
54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture II,04/2026,senior,Sênior,Sênior · Série 1,292228036.95075,291000.0,0.0,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture II,04/2026,subordinada,Subordinada,Subordinada 1,9659335.239995949,9570.84175148,0.0,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2
54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture III,04/2026,senior,Sênior,Sênior · Série 1,143116993.540275,142500.0,0.0,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture III,04/2026,subordinada,Subordinada,Subordinada 1,8637841.890025811,7732.03072889,0.0,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33
54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture IV,04/2026,senior,Sênior,Sênior · Série 1,241270188.4392,240000.0,0.0,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture IV,04/2026,subordinada,Subordinada,Subordinada 1,67156326.39975905,60299.99519903,0.0,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004
57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,04/2026,senior,Sênior,Sênior · Série 1,2262489633.6749,2245624.99,0.0,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,04/2026,mezzanino,Mezzanino,Mezanino 1 · Série 1,350679743.52,347538.0,0.0,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
57609282000146,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,04/2026,subordinada,Subordinada,Subordinada 1 · item 2,85451515.22879998,80136.84,0.0,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,PI,04/2026,senior,Sênior,Sênior · Série 1,1650000000.0,1650000000.0,0.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,PI,04/2026,senior,Sênior,Sênior · Série 2,1070554462.0,1070554462.0,0.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,PI,04/2026,mezzanino,Mezzanino,Mezanino 1 · Série 1,226712872.0,226712872.0,0.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,PI,04/2026,mezzanino,Mezzanino,Mezanino 2 · Série 1,195119781.23999998,15889233.0,0.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
60356171000180,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,PI,04/2026,subordinada,Subordinada,Subordinada 1 · item 3,100980737.6552,97096863.13,0.0,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,03/2026,senior,Sênior,Sênior · Série 1,3660171455.155763,3637113.0,0.0,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,03/2026,senior,Sênior,Sênior · Série 2,3064094080.300523,3048246.0,0.0,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,03/2026,mezzanino,Mezzanino,Mezanino 1 · Série 1,305093604.6879714,303093.0,0.0,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
62393679000183,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,03/2026,mezzanino,Mezzanino,Mezanino 1 · Série 2,261825561.2560626,259794.0,0.0,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531
