fund_name,cnpj,classe,tipo,class_macro,line_key,included,included_in_cost,exclusion_reason,volume_emitido,issue_date,spread_cdi_plus_aa,spread_source,cdi_aa,taxa_total_aa,saldo_snapshot,saldo_inicio_periodo,saldo_medio_programado,custo_snapshot_sem_amortizacao,custo_programado_bruto,amortizacao_no_periodo,dias_corridos_base,dias_uteis_base,amortization_convention,warnings,remuneration,amortization_text,source
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,Sênior,senior,42085816000105|1ª série sênior,True,True,,291000000.0,2021-08-23,0.0115,curadoria:remuneracao,0.14324265,0.15474265,194000000.0,291000000.0,277579452.05,29764414.27,40251954.14,97000000.0,365,250,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,"Taxa DI + 1,15% a.a.",Linear em datas documentadas: 27/09/2025; 27/10/2025; 27/11/2025; 27/12/2025; 27/01/2026; 27/02/2026; 27/03/2026; 27/04/2026; 27/05/2026; 27/06/2026; 27/07/2026; 27/08/2026,209028_regulamento_regulamento_209028_2021-08-23.pdf · p.4-5 · ID 209028
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,Cotas subordinadas,Subordinada,subordinada,42085816000105|Cotas subordinadas,False,False,Classe subordinada/residual ou não remunerada por benchmark de dívida; excluída do custo financeiro explícito.,5600000.0,2021-09-01,,pendente,0.14324265,,0.0,0.0,0.0,,,0.0,365,250,nao_aplicavel,,Residual / sem parâmetro definido,Sem calendário fixo identificado,211003_assembleia_assembleia_211003_2021-09-01.pdf · ID 211003
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,Sênior,senior,42085830000109|1ª série sênior,True,True,,500000000.0,2022-01-21,0.0114,curadoria:remuneracao,0.14324265,0.15464265,500000000.0,500000000.0,500000000.0,76662861.34,72443094.97,0.0,365,250,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,"Taxa DI + 1,14% a.a.",Linear em datas documentadas: 27/02/2026; 27/03/2026; 27/04/2026; 27/05/2026; 27/06/2026; 27/07/2026; 27/08/2026; 27/09/2026; 27/10/2026; 27/11/2026; 27/12/2026; 27/01/2027,966441_regulamento_regulamento_966441_2025-07-24.pdf · p.114-115 · ID 966441
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior,Sênior,senior,42102603000144|1ª série sênior,False,False,Linha histórica/inativa segundo curadoria; excluída para evitar duplicidade.,950000000.0,2021-08-23,0.0135,curadoria:remuneracao,0.14324265,0.15674265,0.0,0.0,0.0,,,0.0,365,250,nao_aplicavel,,"Taxa DI + 1,35% a.a.",Fundo encerrado por resgate total em 31/10/2024; sem dívida futura ativa no waterfall.,"828702_emissao_emissao_828702_2024-10-31.pdf · p.11, p.33, p.40-41 · 733239_regulamento_regulamento_733239_2024-09-05.pdf · p.113-114"
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,Cotas subordinadas,Subordinada,subordinada,42102603000144|Cotas subordinadas,False,False,Classe subordinada/residual ou não remunerada por benchmark de dívida; excluída do custo financeiro explícito.,18000000.0,2021-09-02,,pendente,0.14324265,,0.0,0.0,0.0,,,0.0,365,250,nao_aplicavel,,Residual / sem parâmetro definido,Sem calendário fixo identificado,211105_assembleia_assembleia_211105_2021-09-02.pdf · ID 211105
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior - alteração,Sênior,senior,42102603000144|1ª série sênior - alteração,False,False,Volume emitido ausente ou zero.,0.0,2022-01-21,0.0134,curadoria:remuneracao,0.14324265,0.15664265,0.0,0.0,0.0,,,0.0,365,250,nao_aplicavel,,"Taxa DI + 1,34% a.a.",Não usado: documento-fonte da linha é do Akira II; série corrente do Kick Ass II está tratada na linha de rerratificação/encerramento.,"259049_regulamento_regulamento_259049_2022-01-21.pdf identifica CloudWalk Akira II, não Kick Ass II."
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior - rerratificação,Sênior,senior,42102603000144|1ª série sênior - rerratificação,False,False,Linha histórica/inativa segundo curadoria; excluída para evitar duplicidade.,950000000.0,2023-08-23,0.0137,curadoria:remuneracao,0.14324265,0.15694265,0.0,0.0,0.0,,,0.0,365,250,nao_aplicavel,,"Taxa DI + 1,37% a.a.",Fundo encerrado por resgate total em 31/10/2024; sem dívida futura ativa no waterfall.,"733239_regulamento_regulamento_733239_2024-09-05.pdf · p.113-114 · 828702_emissao_emissao_828702_2024-10-31.pdf · p.11, p.33, p.40-41"
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior,Sênior,senior,44124617000194|1ª série sênior,False,False,Linha histórica/inativa segundo curadoria; excluída para evitar duplicidade.,1500000000.0,2022-01-21,0.0134,curadoria:remuneracao,0.14324265,0.15664265,0.0,0.0,0.0,,,0.0,365,250,nao_aplicavel,,"Taxa DI + 1,34% a.a.",Substituído pela rerratificação de 28/02/2025; usar a linha de rerratificação 2025 para o waterfall.,851797_assembleia_assembleia_851797_2025-02-28.pdf · p.4-5 · ID 851797
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2023,Sênior,senior,44124617000194|1ª série sênior - rerratificação 2023,False,False,Volume emitido ausente ou zero.,0.0,2023-08-23,0.0135,curadoria:remuneracao,0.14324265,0.15674265,0.0,0.0,0.0,,,0.0,365,250,nao_aplicavel,,"Taxa DI + 1,35% a.a.",Remuneração mensal; amortização programada conforme anexo da ata,512611_assembleia_assembleia_512611_2023-08-23.pdf · p.6 · ID 512611
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2024,Sênior,senior,44124617000194|1ª série sênior - rerratificação 2024,False,False,Volume emitido ausente ou zero.,0.0,2024-08-19,0.0135,curadoria:remuneracao,0.14324265,0.15674265,0.0,0.0,0.0,,,0.0,365,250,nao_aplicavel,,"Taxa DI + 1,35% a.a.",Remuneração pelo Benchmark; cronograma não estruturado na curadoria,724048_assembleia_assembleia_724048_2024-08-19.pdf · p.3 · ID 724048
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2025,Sênior,senior,44124617000194|1ª série sênior - rerratificação 2025,True,True,,1500000000.0,2025-02-28,0.0135,curadoria:remuneracao,0.14324265,0.15674265,60001906.9,0.0,843445726.65,9324696.24,125684871.97,1439998093.1,365,250,current_balance,,"Taxa DI + 1,35% a.a.","Percentual do saldo de Cotas Sêniores a serem amortizadas: 27/02/2025 16,00%; 27/03/2025 0,00%; 27/04/2025 0,00%; 27/05/2025 0,00%; 27/06/2025 0,00%; 27/07/2025 0,00%; 27/08/2025 19,05%; 27/09/2025 23,53%; 27/10/2025 30,77%; 27/11/2025 44,44%; 27/12/2025 80,00%; 27/01/2026 16,67%; 27/02/2026 20,00%; 27/03/2026 25,00%; 27/04/2026 33,33%; 27/05/2026 50,00%; 27/06/2026 100,00%",851797_assembleia_assembleia_851797_2025-02-28.pdf · p.4-5 · ID 851797
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.673/0001-41,1ª série sênior,Sênior,senior,54218673000141|1ª série sênior,True,True,,877500000.0,2024-04-15,0.012,override:54218673000141|1ª série sênior,0.14324265,0.15524265,877500000.0,877500000.0,877500000.0,135065046.27,127660187.51,0.0,365,250,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,Benchmark em apêndice; spread não localizado nos PDFs baixados,Linear em datas documentadas: 19/11/2026; 19/12/2026; 19/01/2027; 19/02/2027; 19/03/2027; 19/04/2027,622660_regulamento_regulamento_622660_2024-03-14.pdf · p.115-116 · ID 622660; 644981_emissao_emissao_644981_2024-04-25.pdf · ID 644981
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.941/0001-25,1ª série sênior,Sênior,senior,54218941000125|1ª série sênior,True,True,,291000000.0,2024-04-15,0.015,override:54218941000125|1ª série sênior,0.14324265,0.15824265,291000000.0,291000000.0,291000000.0,45655872.83,43200222.73,0.0,365,250,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,Benchmark em apêndice; spread não localizado nos PDFs baixados,Linear em datas documentadas: 19/11/2026; 19/12/2026; 19/01/2027; 19/02/2027; 19/03/2027; 19/04/2027,622662_regulamento_regulamento_622662_2024-03-14.pdf · p.116-117 · ID 622662; 644982_emissao_emissao_644982_2024-04-25.pdf · ID 644982
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.219.179/0001-00,1ª série sênior,Sênior,senior,54219179000100|1ª série sênior,True,True,,142500000.0,2024-04-15,0.019,override:54219179000100|1ª série sênior,0.14324265,0.16224265,142500000.0,142500000.0,142500000.0,22922066.87,21717774.77,0.0,365,250,incremental,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.,Benchmark em apêndice; spread não localizado nos PDFs baixados,Linear em datas documentadas: 19/11/2026; 19/12/2026; 19/01/2027; 19/02/2027; 19/03/2027; 19/04/2027,622664_regulamento_regulamento_622664_2024-03-14.pdf · p.117-118 · ID 622664; 644983_emissao_emissao_644983_2024-04-25.pdf · ID 644983
