competencia,faixa,prazo_proxy,valor
01/2025,121 a 150 dias,135.5,0.0
01/2025,151 a 180 dias,165.5,0.0
01/2025,181 a 360 dias,270.5,0.0
01/2025,31 a 60 dias,45.5,0.0
01/2025,361 a 720 dias,540.5,0.0
01/2025,61 a 90 dias,75.5,0.0
01/2025,721 a 1080 dias,900.5,0.0
01/2025,91 a 120 dias,105.5,0.0
01/2025,Acima de 1080 dias,1440.0,2142975248.84
01/2025,Em 30 dias,30.0,0.0
02/2025,121 a 150 dias,135.5,266898312.73999998
02/2025,151 a 180 dias,165.5,148296834.43
02/2025,181 a 360 dias,270.5,283086199.66
02/2025,31 a 60 dias,45.5,661555781.68
02/2025,361 a 720 dias,540.5,0.0
02/2025,61 a 90 dias,75.5,458586362.59000003
02/2025,721 a 1080 dias,900.5,0.0
02/2025,91 a 120 dias,105.5,327737979.31
02/2025,Acima de 1080 dias,1440.0,2038614092.76
02/2025,Em 30 dias,30.0,1080518271.86
03/2025,121 a 150 dias,135.5,225135661.54
03/2025,151 a 180 dias,165.5,159033599.73
03/2025,181 a 360 dias,270.5,356829453.95
03/2025,31 a 60 dias,45.5,633670863.84
03/2025,361 a 720 dias,540.5,81231.47
03/2025,61 a 90 dias,75.5,439091734.41999996
03/2025,721 a 1080 dias,900.5,0.0
03/2025,91 a 120 dias,105.5,369084352.52
03/2025,Acima de 1080 dias,1440.0,2152297797.33
03/2025,Em 30 dias,30.0,1052832420.52
04/2025,121 a 150 dias,135.5,501920854.97999996
04/2025,151 a 180 dias,165.5,389025909.79
04/2025,181 a 360 dias,270.5,848202254.52
04/2025,31 a 60 dias,45.5,1101194722.73
04/2025,361 a 720 dias,540.5,57747.16
04/2025,61 a 90 dias,75.5,905549951.17
04/2025,721 a 1080 dias,900.5,0.0
04/2025,91 a 120 dias,105.5,652443244.37
04/2025,Acima de 1080 dias,1440.0,0.0
04/2025,Em 30 dias,30.0,1977202670.3
05/2025,121 a 150 dias,135.5,588131920.57
05/2025,151 a 180 dias,165.5,432936740.40999997
05/2025,181 a 360 dias,270.5,992912420.2
05/2025,31 a 60 dias,45.5,1457460691.42
05/2025,361 a 720 dias,540.5,62520.95
05/2025,61 a 90 dias,75.5,1034090232.23
05/2025,721 a 1080 dias,900.5,0.0
05/2025,91 a 120 dias,105.5,751298590.49
05/2025,Acima de 1080 dias,1440.0,0.0
05/2025,Em 30 dias,30.0,2365598593.7200003
06/2025,121 a 150 dias,135.5,658599663.51
06/2025,151 a 180 dias,165.5,484439357.72
06/2025,181 a 360 dias,270.5,1213735786.35
06/2025,31 a 60 dias,45.5,1592872826.94
06/2025,361 a 720 dias,540.5,0.0
06/2025,61 a 90 dias,75.5,1117040768.55
06/2025,721 a 1080 dias,900.5,0.0
06/2025,91 a 120 dias,105.5,895958691.72
06/2025,Acima de 1080 dias,1440.0,0.0
06/2025,Em 30 dias,30.0,2799752450.35
07/2025,121 a 150 dias,135.5,649089513.34
07/2025,151 a 180 dias,165.5,585777756.53
07/2025,181 a 360 dias,270.5,1435036994.61
07/2025,31 a 60 dias,45.5,1643033648.3899999
07/2025,361 a 720 dias,540.5,234506.27
07/2025,61 a 90 dias,75.5,1132745792.1100001
07/2025,721 a 1080 dias,900.5,0.0
07/2025,91 a 120 dias,105.5,870488386.4
07/2025,Acima de 1080 dias,1440.0,0.0
07/2025,Em 30 dias,30.0,2493563992.88
08/2025,121 a 150 dias,135.5,710245130.52
08/2025,151 a 180 dias,165.5,602371815.76
08/2025,181 a 360 dias,270.5,1402379977.1100001
08/2025,31 a 60 dias,45.5,1597901303.5
08/2025,361 a 720 dias,540.5,0.0
08/2025,61 a 90 dias,75.5,1126765476.8400002
08/2025,721 a 1080 dias,900.5,0.0
08/2025,91 a 120 dias,105.5,851392730.96
08/2025,Acima de 1080 dias,1440.0,0.0
08/2025,Em 30 dias,30.0,2292404409.16
09/2025,121 a 150 dias,135.5,827025348.96
09/2025,151 a 180 dias,165.5,621298131.46
09/2025,181 a 360 dias,270.5,1474421692.27
09/2025,31 a 60 dias,45.5,1694986809.4
09/2025,361 a 720 dias,540.5,0.0
09/2025,61 a 90 dias,75.5,1337046031.75
09/2025,721 a 1080 dias,900.5,0.0
09/2025,91 a 120 dias,105.5,991067881.3699999
09/2025,Acima de 1080 dias,1440.0,0.0
09/2025,Em 30 dias,30.0,2952677162.14
10/2025,121 a 150 dias,135.5,1020341272.2
10/2025,151 a 180 dias,165.5,772042723.83
10/2025,181 a 360 dias,270.5,1181255234.63
10/2025,31 a 60 dias,45.5,2361167857.13
10/2025,361 a 720 dias,540.5,580128118.78
10/2025,61 a 90 dias,75.5,1655319287.1
10/2025,721 a 1080 dias,900.5,15356.73
10/2025,91 a 120 dias,105.5,1258363631.3200002
10/2025,Acima de 1080 dias,1440.0,0.0
10/2025,Em 30 dias,30.0,2712152704.31
11/2025,121 a 150 dias,135.5,989513362.95
11/2025,151 a 180 dias,165.5,758591879.42
11/2025,181 a 360 dias,270.5,1151949677.73
11/2025,31 a 60 dias,45.5,2297221314.14
11/2025,361 a 720 dias,540.5,577793845.18
11/2025,61 a 90 dias,75.5,1712702204.02
11/2025,721 a 1080 dias,900.5,0.0
11/2025,91 a 120 dias,105.5,1271143571.86
11/2025,Acima de 1080 dias,1440.0,0.0
11/2025,Em 30 dias,30.0,2885909188.0
12/2025,121 a 150 dias,135.5,880792494.49
12/2025,151 a 180 dias,165.5,716449837.94
12/2025,181 a 360 dias,270.5,1552017614.6100001
12/2025,31 a 60 dias,45.5,1895618290.61
12/2025,361 a 720 dias,540.5,73930.76000000001
12/2025,61 a 90 dias,75.5,1593702404.29
12/2025,721 a 1080 dias,900.5,0.0
12/2025,91 a 120 dias,105.5,1130197730.52
12/2025,Acima de 1080 dias,1440.0,0.0
12/2025,Em 30 dias,30.0,3454501673.94
