fund_name,short_name,cnpj,start_comp,end_comp,pl_inicial,captacoes,resgates,amortizacoes,accrual_rentabilidade_residual,pl_final,event_rows,source,status
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Kick Ass I,42085816000105,02/2025,12/2025,307534985.44,0.0,0.0,136005845.04,35117617.26,206646757.66,13,.cache/fundonet-ime/a11bf39426d167ec4c85ac72aa77e99d01949f974c935b125ed0ada1a7248e0e,ok
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Akira I,42085830000109,02/2025,12/2025,516085910.1,0.0,0.0,61739293.19,62369650.41,516716267.32,9,.cache/fundonet-ime/d8ba5a45334d7fdb7c7d5fca75bf9fcad7183a8a35d8f5b8056fb62e948afc7e,ok
CLOUDWALK AKIRA II FIDC,Akira Ii,44124617000194,02/2025,12/2025,1581635042.59,0.0,0.0,1149879424.3,-361728361.93,70027256.36,13,.cache/fundonet-ime/8c4f1664780bc2d79b6b82349249561e13ed5e9dbb821f32db56ad7b6c2787ff,ok
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture I,54218673000141,02/2025,12/2025,903548569.9,250000.0,0.0,108992870.79,109575191.91,904380891.02,11,.cache/fundonet-ime/b1b4f85e32dd225f84600e7f8ef382830038da25c85782af2aee20c08fde5cc9,ok
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Ii,54218941000125,02/2025,12/2025,301238935.18,150000.0,0.0,36871527.27,37341660.37,301859068.28,11,.cache/fundonet-ime/c39bc6024082ad74719971e723fbcbb52d1e243821eea59de9fe7d1238e998f2,ok
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iii,54219179000100,02/2025,12/2025,150918917.51,0.0,0.0,18528747.25,19170036.05,151560206.31,10,.cache/fundonet-ime/38ce98fd160b68940ab5abc8c2d298e869a367699bcebd1f25151452689d5c33,ok
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Big Picture Iv,54248022000102,02/2025,12/2025,303797432.97,0.0,0.0,38882839.63,40998356.49,305912949.83,12,.cache/fundonet-ime/052ee35a1616aafe32ac65e4310bc8fa47fdc6d84ecca2fc618f23ec57ab6004,ok
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,A.I.,57609282000146,12/2024,12/2025,2691581056.15,0.0,0.0,378010741.65,385870443.13,2699440757.63,24,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482,ok
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Pi,60356171000180,04/2025,12/2025,3247439113.31,0.0,0.0,321315408.76,327258639.83,3253382344.38,31,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef,ok
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Bela,62393679000183,09/2025,12/2025,4293033486.49,44000000.0,0.0,159814594.79,183829343.27,4361048234.97,10,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531,ok
