short_name,cnpj,fund_name,situacao_cvm,latest_competencia,competencia_base_date,pl_atual,class_kind,class_macro,class_label,class_key,pl_classe_raw_ime,pl_reconciliation_factor,pl_classe,bucket,allocation_share,allocated_pl,method_note
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Liquidação,02/2026,2026-02-28,157038535.84,senior,senior,Sênior · Série 1,senior_1,145500000.0,0.9999999996180976,145499999.9444332,2026,1.0,145499999.9444332,PL da classe alocado pelo cronograma documental da própria classe/cota.
Kick Ass I,42085816000105,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Liquidação,02/2026,2026-02-28,157038535.84,subordinada,subordinada,Subordinada 1,subordinada_1,11538535.89997338,0.9999999996180976,11538535.895566786,2026,1.0,11538535.895566786,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,350024576.35,senior,senior,Sênior · Série 1,senior_1,333719443.16999996,0.9999999999998814,333719443.1699604,2026,0.8750000000000001,292004512.7737154,PL da classe alocado pelo cronograma documental da própria classe/cota.
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,350024576.35,senior,senior,Sênior · Série 1,senior_1,333719443.16999996,0.9999999999998814,333719443.1699604,2027,0.12499999999999985,41714930.396244995,PL da classe alocado pelo cronograma documental da própria classe/cota.
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,350024576.35,subordinada,subordinada,Subordinada 1,subordinada_1,16305133.180041559,0.9999999999998814,16305133.180039626,2026,0.8750000000000001,14266991.532534674,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Akira I,42085830000109,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,350024576.35,subordinada,subordinada,Subordinada 1,subordinada_1,16305133.180041559,0.9999999999998814,16305133.180039626,2027,0.12499999999999985,2038141.6475049506,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Kick Ass II,42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cancelado,02/2025,2025-02-28,0.0,senior,senior,Sênior,senior_1,0.0,1.0,0.0,Sem PL,0.0,0.0,PL da classe zerado no IME.
Kick Ass II,42102603000144,CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Cancelado,02/2025,2025-02-28,0.0,subordinada,subordinada,Subordinada,subordinada_1,0.0,1.0,0.0,Sem PL,0.0,0.0,PL da classe zerado no IME.
Akira II,44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,Em Liquidação,02/2026,2026-02-28,39489516.46,senior,senior,Sênior · Série 1,senior_1,35261878.515,0.9999999993627757,35261878.49253028,2026,1.0,35261878.49253028,PL da classe alocado pelo cronograma documental da própria classe/cota.
Akira II,44124617000194,CLOUDWALK AKIRA II FIDC SEGMENTO MEIOS DE PAGAMENTO,Em Liquidação,02/2026,2026-02-28,39489516.46,subordinada,subordinada,Subordinada 1,subordinada_1,4227637.97016368,0.9999999993627757,4227637.967469726,2026,1.0,4227637.967469726,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Big Picture I,54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,04/2026,2026-04-30,904120581.41,senior,senior,Sênior · Série 1,senior_1,881130648.5894251,1.0000000000005522,881130648.5899117,2026,0.3333333333333334,293710216.19663733,PL da classe alocado pelo cronograma documental da própria classe/cota.
Big Picture I,54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,04/2026,2026-04-30,904120581.41,senior,senior,Sênior · Série 1,senior_1,881130648.5894251,1.0000000000005522,881130648.5899117,2027,0.6666666666666665,587420432.3932743,PL da classe alocado pelo cronograma documental da própria classe/cota.
Big Picture I,54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,04/2026,2026-04-30,904120581.41,subordinada,subordinada,Subordinada 1,subordinada_1,22989932.82007552,1.0000000000005522,22989932.820088215,2026,0.3333333333333334,7663310.940029407,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Big Picture I,54218673000141,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,04/2026,2026-04-30,904120581.41,subordinada,subordinada,Subordinada 1,subordinada_1,22989932.82007552,1.0000000000005522,22989932.820088215,2027,0.6666666666666665,15326621.880058806,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Big Picture II,54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,302082480.67,senior,senior,Sênior · Série 1,senior_1,292383630.64077,0.9999999999975291,292383630.64004755,2026,0.3333333333333333,97461210.21334918,PL da classe alocado pelo cronograma documental da própria classe/cota.
Big Picture II,54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,302082480.67,senior,senior,Sênior · Série 1,senior_1,292383630.64077,0.9999999999975291,292383630.64004755,2027,0.6666666666666666,194922420.42669836,PL da classe alocado pelo cronograma documental da própria classe/cota.
Big Picture II,54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,302082480.67,subordinada,subordinada,Subordinada 1,subordinada_1,9698850.029976398,0.9999999999975291,9698850.029952433,2026,0.3333333333333333,3232950.009984144,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Big Picture II,54218941000125,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,302082480.67,subordinada,subordinada,Subordinada 1,subordinada_1,9698850.029976398,0.9999999999975291,9698850.029952433,2027,0.6666666666666666,6465900.019968288,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Big Picture III,54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,151908115.03,senior,senior,Sênior · Série 1,senior_1,143195429.590125,0.9999341750643705,143186003.7601898,2026,0.3333333333333333,47728667.920063265,PL da classe alocado pelo cronograma documental da própria classe/cota.
Big Picture III,54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,151908115.03,senior,senior,Sênior · Série 1,senior_1,143195429.590125,0.9999341750643705,143186003.7601898,2027,0.6666666666666666,95457335.84012653,PL da classe alocado pelo cronograma documental da própria classe/cota.
Big Picture III,54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,151908115.03,subordinada,subordinada,Subordinada 1,subordinada_1,8722685.44001783,0.9999341750643705,8722111.269810226,2026,0.3333333333333333,2907370.423270075,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Big Picture III,54219179000100,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,151908115.03,subordinada,subordinada,Subordinada 1,subordinada_1,8722685.44001783,0.9999341750643705,8722111.269810226,2027,0.6666666666666666,5814740.84654015,Classe sem cronograma próprio parseável; PL alocado pela curva documental remanescente do fundo.
Big Picture IV,54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,309918155.45,senior,senior,Sênior · Série 1,senior_1,241253469.14880002,0.9999999999397474,241253469.13426387,2026,0.33333333333333337,80417823.04475464,PL da classe alocado pelo cronograma documental da própria classe/cota.
Big Picture IV,54248022000102,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,Em Funcionamento Normal,05/2026,2026-05-31,309918155.45,senior,senior,Sênior · Série 1,senior_1,241253469.14880002,0.9999999999397474,241253469.13426387,2027,0.6666666666666665,160835646.08950922,PL da classe alocado pelo cronograma documental da própria classe/cota.
