CNPJ,Fundo,Classificação anterior,Sugestão após leitura integral,Score textual,Materialidade,Docs lidos,Evidência
53779703000126,XP CREDIT OPPORTUNITIES FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,Não classificado | Revisar manualmente,Sem evidência forte,0,871423678.67,1,
41351629000163,SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Não classificado | Revisar manualmente,Crédito PF | Auto/Veículos,2,730000000.02,2,"cao fiduciaria, conforme o caso, devidamente formalizada em garantia do pagamento dos direitos de credito, a ser constituidas por veiculos automotores, que deverao observar os seguintes criterios: (i) o valor do veiculo automotor devera ser o suficiente para cobrir"
62144964000160,FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MEDICI - RESPONSABILIDADE LIMITADA,Não classificado | Revisar manualmente,Sem evidência forte,0,511920000.0,1,
58152340000118,MONEE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado | Revisar manualmente,Sem evidência forte,0,420749112.16,1,
59851384000107,GALLERIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS 2,Não classificado | Revisar manualmente,Sem evidência forte,0,334100553.11,1,
63032712000102,IORQ FREDERIC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS - RESPONSABILIDADE LIMITADA,Não classificado | Revisar manualmente,Sem evidência forte,0,251500000.0,1,
62014262000162,ITAÚ CRÉDITO ESTRUTURADO ALPES III UPFRONT FIDC RESPONSABILIDADE LIMITADA,Não classificado | Revisar manualmente,Sem evidência forte,0,250000000.0,1,
62729814000119,DIRECIONAL RECEBÍVEIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESP LTDA,Não classificado | Revisar manualmente,Sem evidência forte,0,249000000.0,1,
57777919000103,SPFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,Não classificado | Revisar manualmente,Sem evidência forte,0,240000000.0,1,
61753072000102,SOSU OPPORTUNITIES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RESPONSABILIDADE LIMITADA,Não classificado | Revisar manualmente,Sem evidência forte,0,211500000.0,1,
