subtipo_cvm_ime,fundos_industria,fundos_selecionados,pl_industria,pl_selecionado,cobertura_pl_bruta,fic_fidc_industria,fic_fidc_selecionados,pl_industria_ex_fic,pl_selecionado_ex_fic,cobertura_pl_ex_fic
Agronegócio,59,2,12379053394.070002,2013009309.73,0.16261415519011346,0,0,12379053394.070002,2013009309.73,0.16261415519011346
Ações judiciais,205,2,26680840292.74,2216615248.57,0.0830789144663166,0,0,26680840292.74,2216615248.57,0.0830789144663166
Cartão de crédito,42,9,94959433071.34999,79529746066.07,0.8375128567407671,0,0,94959433071.34999,79529746066.07,0.8375128567407671
Comercial,513,18,127222226283.95,62274391624.25999,0.4894930189734964,0,0,127222226283.95,62274391624.25999,0.4894930189734964
Factoring,1,1,93060004.37,93060004.37,1.0,0,0,93060004.37,93060004.37,1.0
Financeiro — consignado,52,4,19171487010.910004,10331572050.98,0.5389030097196199,0,0,19171487010.910004,10331572050.98,0.5389030097196199
Financeiro — crédito corporativo,162,5,47679544447.020004,12393269477.29,0.2599284372580575,2,0,47540016678.49,12393269477.29,0.2606913152998003
Financeiro — crédito pessoal,81,2,26050272611.36,8088568413.889999,0.3104984172166681,0,0,26050272611.36,8088568413.889999,0.3104984172166681
Financeiro — imobiliário empresarial,1,1,381719309.02,381719309.02,1.0,0,0,381719309.02,381719309.02,1.0
Financeiro — imobiliário residencial,1,1,31303785.87,31303785.87,1.0,0,0,31303785.87,31303785.87,1.0
Financeiro — middle market,4,2,90489096.7,88624553.36,0.9793948286810559,0,0,90489096.7,88624553.36,0.9793948286810559
Financeiro — outros,1301,21,235791997549.14,68218547748.77,0.28931663694207,4,0,235150753650.60004,68218547748.77,0.2901055883925972
Financeiro — veículos,3,2,4055471367.12,4018458661.13,0.9908733898875276,0,0,4055471367.12,4018458661.13,0.9908733898875276
Imobiliário,32,2,4124565607.5,1402995780.63,0.3401560101453666,1,0,4030072866.7700005,1402995780.63,0.34813161622917876
Industrial,190,2,81781427117.43002,62110831707.36,0.7594735613769005,1,0,81607757477.18,62110831707.36,0.7610897986594972
Sem segmentação IME,900,12,154334944825.93,30771955491.5,0.1993842387814815,552,6,59087766027.79,16830957865.02,0.28484674572235663
Serviços,304,9,78880004836.23,40173481677.96001,0.5092986715881656,0,0,78880004836.23,40173481677.96001,0.5092986715881656
Setor público,181,5,44907003224.13,15350221415.01,0.3418224399966602,1,0,44740266190.3,15350221415.01,0.34309633630069986
