grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,categoria_evidencia,termos_encontrados,trecho,fonte_pagina
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,1,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,1 REGULAMENTO DO MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA CNPJ/MF Nº 33.254.370.0001-04 03 de março de 2026 Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238,1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.1
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,2,direitos_creditorios_cessoes,"\bdireitos credit[oó]rios\b, \bsubstitui[cç][aã]o\b","2 Índice 1. FORMA DE CONSTITUIÇÃO, PRAZO DE DURAÇÃO E CLASSIFICAÇÃO DO FUNDO 4 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 5 3. FATORES DE RISCO 11 4. PRESTADORES DE SERVIÇOS ESSENCIAIS 25 5. RESPONSABILIDADE DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUNDO 46 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 47 12. AMORTIZAÇÃO E RESGATE DAS COTAS 50 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 54 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 57 15. EVENTOS DE AVALIAÇÃO 57 16. EVENTOS DE LIQUIDAÇÃ...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,4,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,"4 REGULAMENTO DO MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA O “MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA” , é um fundo de investimento em direitos creditórios constituído sob a forma de condomínio fechado de natureza especial, disciplinado pela Resolução n º 2.907, de 29 de novembro de 2001, do CMN, pela Resolução CVM nº 175, pelos artigos 1.368 -C a 1.368 -F do Código Civil e pelas demais disposições legais e regulamentares aplicáve...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.4
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,5,direitos_creditorios_cessoes,"\bcess[aã]o\b, \bcondi[cç][oõ]es de cess[aã]o\b, \bcrit[eé]rios? de elegibilidade\b, \bdireitos credit[oó]rios\b","...ue não serão admitidas a constituição de novas classes de cotas, as referências ao Fundo alcançam a única Classe de Cotas, e vice e versa. 1.2 O funcionamento do Fundo terá início na data da primeira subscrição de Cotas do Fundo. O Fundo terá prazo de duração indeterminado. 1.2.1 O Fundo poderá ser liquidado por deliberação da Assembleia Geral ou nas situações previstas neste Regulamento. 1.3 O Fundo é classificado como “Fundo de Investimento em Direitos Creditórios”, tipo “Financeiro”, com foco de atuação “Multicarteira Financeiro” nos termos do Anexo Complementar V das “Regras e Procedimentos de Administração e Gestão de Recursos de Terceiros”, conforme alterado de tempos em tempos. 1.3.1 Referida classificação somente poderá ser alterada por deliberação da Assembleia Geral de Cotistas, nos termos do Capítulo 20 deste Regulamento, salvo se a alteração decorrer de iniciativa da ANBIMA. 1.4 A Classe do Fund...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.5
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,6,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,"6 2.1.1.1 Os Direitos Creditórios Adquiridos e os Ativos Financeiros devem ser registrados, custodiados ou mantidos em conta de depósito diretamente em nome do Fundo, conforme o caso, em contas específicas abertas no SELIC, e/ou em instituições ou entidades autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 2.1.2 A cada aquisição de Direitos Creditórios, o Fundo pagará, ao respectivo Cedente, o Preço de Aquisição, conforme previsto nos respectivos Documentos de Aquisi...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.6
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,1,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,"MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA CNPJ/MF nº 33.254.370/0001-04 ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 3 DE MARÇO DE 2026. 1. DATA, HORA E LOCAL: Aos 3 (três) dias do mês de março de 2026, às 13h (treze horas), na sede social do BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS, sociedade anônima, com sede no município e Estado do Rio de Janeiro, na Praia de Botafogo, nº 501, Torre Corcovado, 5º andar – parte...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.1
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,4,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,Página integrante da Assembleia Geral de Cotistas do Mercado Crédito Fundo de Investimento em Direitos Creditórios realizada em 3 de março de 2026. ANEXO B ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 3 DE MARÇO DE 2026. SUPLEMENTO DA 4ª SÉRIE DE COTAS SENIORES [restante da página intencionalmente deixado em branco] Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238,1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.4
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,5,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,"1 SUPLEMENTO DA 4ª SÉRIE DE COTAS SENIORES 1. O presente documento constitui o suplemento nº 01 (“ Suplemento”), referente à 4ª (quarta) Série de cotas seniores de emissão do MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA , inscrito no CNPJ/MF sob nº 33.254.370-0001-04 (“ Cotas Seniores ” e “ Fundo”, respectivamente), com seu regulamento vigente disponibilizado na página da CVM na rede mundial de computadores no endereço www.cvm.gov.br, do qual este Suplemento é parte integrante (“ Regulamento”). A Classe é representada por seu gestor, a POLÍGONO CAPITAL LTDA. , sociedade de responsabilidade limitada, com sede na cidade e estado de São P...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.5
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,9,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,Página integrante da Assembleia Geral de Cotistas do Mercado Crédito Fundo de Investimento em Direitos Creditórios realizada em 3 de março de 2026. ANEXO C ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 3 DE MARÇO DE 2026. REGULAMENTO [restante da página intencionalmente deixado em branco] Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238,1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.9
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,1,direitos_creditorios_cessoes,\bdireitos credit[oó]rios\b,"1 MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS CNPJ/MF nº 33.254.370/0001‐04 ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 30 DE SETEMBRO DE 2024. 1. DATA, HORA E LOCAL : Realizada aos 30 de setembro de 2024, às 09h00, na sede da FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA., instituição administradora (“Administradora”) do Mercado Crédito Fundo de Investimento em Direitos Creditórios Não Padronizados, inscrito no CNPJ/MF sob o nº 33.254.370/0001‐04 (“Fundo...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.1
