grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,categoria_evidencia,termos_encontrados,trecho,fonte_pagina
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,5,cotistas_partes_relacionadas,\bcotistas?\b,"...Geral ou nas situações previstas neste Regulamento. 1.3 O Fundo é classificado como “Fundo de Investimento em Direitos Creditórios”, tipo “Financeiro”, com foco de atuação “Multicarteira Financeiro” nos termos do Anexo Complementar V das “Regras e Procedimentos de Administração e Gestão de Recursos de Terceiros”, conforme alterado de tempos em tempos. 1.3.1 Referida classificação somente poderá ser alterada por deliberação da Assembleia Geral de Cotistas, nos termos do Capítulo 20 deste Regulamento, salvo se a alteração decorrer de iniciativa da ANBIMA. 1.4 A Classe do Fundo é destinada a Investidores Profissionais que busquem rentabilidade, no longo prazo, compatível com a política de investimento, composição e diversificação da Carteira do Fundo, e aceitem os riscos associados aos investimentos do Fundo. 2. Política de Investimento e Composição da Carteira 2.1 Informações Gerais 2.1.1 O objeti...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.5
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,6,cotistas_partes_relacionadas,"\bcedente\b, \bconcentra[cç][aã]o\b, \bcotistas?\b","6 2.1.1.1 Os Direitos Creditórios Adquiridos e os Ativos Financeiros devem ser registrados, custodiados ou mantidos em conta de depósito diretamente em nome do Fundo, conforme o caso, em contas específicas abertas no SELIC, e/ou em instituições ou entidades autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 2.1.2 A cada aquisição de Direitos Creditórios, o Fundo pagará, ao respectivo Cedente, o Preço de Aquisição, conforme previsto nos respectivos Documentos de Aquisição. 2.1.3 Decorridos 180 (cento e oitenta) dias do início das atividades do Fundo, este deverá ter alocado, no mínimo: 67% (sessenta e sete por cento) do seu Patrimônio Líquido em Direitos Creditórios , conforme definição da Resolução nº 5.111, de 21 de dezembro de 2023, do Conselho Monetário Nacional, conforme alterada (“Res. CMN 5.111”), para fins tributários, e 50% ...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.6
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,7,cotistas_partes_relacionadas,\bdevedor\b,"...os no Complemento II a este Regulamento. 2.1.10 Após a aquisição dos Direitos Creditórios Adquiridos, o Fundo instruirá o Agente de Recebimento a direcionar a totalidade dos pagamentos relativos aos Direitos Creditórios CCB Adquiridos diretamente para uma conta do Fundo, nos termos do respectivo contrato de prestação de serviço a ser firmado com o Agente de Recebimento, enquanto os Direitos Creditórios PPV Adquiridos serão pagos diretamente pelo Devedor na conta do Fundo, nos termos dos Documentos de Aquisição. 2.1.11 A cobrança dos Direitos Creditórios CCB Adquiridos inadimplidos e dos Direitos Creditórios PPV Adquiridos inadimplidos será realizada pelo Agente de Cobrança, em todos os casos nos termos da Política de Cobrança, constante do Complemento III do Regulamento. 2.1.12 A parcela do Patrimônio Líquido do Fundo que não estiver alocada em Direitos Creditórios será necessariamente alocada ...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.7
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,8,cotistas_partes_relacionadas,\bpartes? relacionadas?\b,"...ição seja a Mercado Crédito Sociedade de Crédito, Financiamento e Investimento S.A., até o limite de 10% (dez por cento) do Patrimônio Líquido do Fundo; e d) cotas de fundos de investimento que invistam exclusivamente nos Ativos Financeiros mencionados nas alíneas “a)"", “b)” e/ou “c)"" acima. 2.1.13 Não haverá limites para a aplicação em Ativos Financeiros de emissão ou que envolvam retenção de risco por parte da Administradora, da Gestora e suas partes relacionadas. 2.1.14 A Gestora deste Fundo adota política de exercício de direito de voto em assembleias, que disciplina os princípios gerais, o processo decisório e quais as matérias relevantes obrigatórias para o exercício do direito de voto. Tal política orienta as decisões da Gestora em assembleias de detentores de títulos e valores mobiliários que confiram aos seus titulares o direito de voto. A versão integral da política de voto da Gestora encontra -s...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.8
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,9,cotistas_partes_relacionadas,\bcedente\b,"...ra e, por consequência, o patrimônio do Fundo, estão sujeitos a diversos riscos, dentre os quais os discriminados no Capítulo 3 deste Regulamento. O investidor, antes de adquirir Cotas, deve ler cuidadosamente os fatores de risco discriminados neste Regulamento, responsabilizando -se integralmente pelas consequências de seu investimento nas Cotas. 2.2.3 As aplicações no Fundo não contam com garantia: (a) da Administradora; (b) da Gestora; (c) do Cedente; (d) do Custodiante; (e) do Agente de Cobrança; (f) da Entidade Registradora; (g) de qualquer mecanismo de seguro; ou (h) do Fundo Garantidor de Créditos - FGC. 2.3 Critérios de Elegibilidade e Condições de Cessão 2.3.1 A aquisição, pelo Fundo, de todos e quaisquer Direitos Creditórios deve atender, cumulativamente, as Condições de Cessão previstas nos itens 2.3.2 e 2.3.3 em relação aos Direitos Creditórios CCB e Direitos Creditórios PPV, respec...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.9
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,1,cotistas_partes_relacionadas,\bcotistas?\b,"MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA CNPJ/MF nº 33.254.370/0001-04 ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 3 DE MARÇO DE 2026. 1. DATA, HORA E LOCAL: Aos 3 (três) dias do mês de março de 2026, às 13h (treze horas), na sede social do BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS, sociedade anônima, com sede no município e Estado do Rio de Janeiro, na Praia de Botafogo, nº 501, Torre Corcovado, 5º andar – parte, Botafogo, CEP 22250-040, inscrito no Cadastro Nacional da Pessoa Jurídica (“CNPJ/MF”) sob ...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.1
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,2,cotistas_partes_relacionadas,\bcotistas?\b,".../ou mediante chamadas de capital, junto ao seu respectivo agente de custódia e/ou da Administradora na qualidade de escriturador das cotas, observados os termos e condições do respectivo boletim de subscrição e compromisso de investimento; e f) Período de colocação: a subscrição das Cotas Seniores, objeto da Nova Emissão, deverão ser realizadas no prazo máximo de 180 (cento e oitenta) dias, contados da data de efeitos do presente instrumento; Os Cotistas, neste ato: (i) declaram -se cientes das deliberações acima aprovadas; e (ii) dispensam a Administradora do envio do resumo da deliberação da presente ata, conforme os termos do artigo 79 da Resolução CVM 175, de 23 de dezembro de 2022. Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,3,cotistas_partes_relacionadas,\bcotistas?\b,"...por meio de assinaturas eletrônicas, nos termos do artigo 10, da Medida Provisória nº 2200 -2, de 24 de agosto de 2001, devendo, em casos de contingência, ser firmada de forma impressa. Fica definida como data para implementação e eficácia das deliberações acima, a data de assinatura da presente ata. 7. ENCERRAMENTO: Nada mais havendo a tratar, após lavrada esta ata, de forma sumária, foi aprovada pelos presentes, conforme a lista de presença de cotistas arquivada em livro próprio e nos termos relatados acima. São Paulo, 3 de março de 2026. ___________________________________ Isis Monteiro Presidente ___________________________________ Eduarda Ferreira Secretária ______________________________________________________________________ BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS Administradora do Fundo ________________________________________________________...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.3
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,4,cotistas_partes_relacionadas,\bcotistas?\b,Página integrante da Assembleia Geral de Cotistas do Mercado Crédito Fundo de Investimento em Direitos Creditórios realizada em 3 de março de 2026. ANEXO B ATA DA ASSEMBLEIA GERAL DE COTISTAS REALIZADA EM 3 DE MARÇO DE 2026. SUPLEMENTO DA 4ª SÉRIE DE COTAS SENIORES [restante da página intencionalmente deixado em branco] Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238,1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.4
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,7,cotistas_partes_relacionadas,\bcotistas?\b,".../dez/28 100,00% 25,00% 31/jan/29 100,00% 33,33% 28/fev/29 100,00% 50,00% 31/mar/29 100,00% 100,00% XI. Classificação de Risco: Não haverá classificação de risco. XII. Rentabilidade Adicional Sênior : Adicionalmente à Meta de Remuneração , as Cotas Seniores efetivamente integralizadas farão jus a uma rentabilidade adicional equivalente a 0,38% (trinta e oito centésimos por cento) incidente sobre o montante financeiro integralizado pelo respectivo Cotista das Cotas Seniores ( “Rentabilidade Adicional Sênior”), a ser paga a cada Cotista Sênior em uma única parcela, 40 (quarenta) dias corridos após a integralização das respectivas Cotas Seniores. 4. As Cotas Seniores serão valorizadas em cada Data de Cálculo, a partir do Dia Útil seguinte à Data de Subscrição Inicial até a data de resgate das Cotas Seniores, nos termos do Capítulo 11 do Regulamento. 5. Se o patrimônio do Fundo permitir e, desde que...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.7
