grupo,fundo,nome_curto,cnpj,criterio,descricao,trecho
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"os da respectiva Data de Aquisição e Pagamento; e (vi) os Direitos Creditórios dos Estabelecimentos Comerciais deverão ser provenientes de Transações de Pagamento realizadas por Usuários-Finais que utilizam os Instrumentos de Pagamento operacionalizados pelo Sistema Mercado Pag o para a aquisição de bens, produtos e serviços nos Estabelecimentos Comerciais formalizados através de U.R.s registradas junto à Entidade R…","os da respectiva Data de Aquisição e Pagamento; e (vi) os Direitos Creditórios dos Estabelecimentos Comerciais deverão ser provenientes de Transações de Pagamento realizadas por Usuários-Finais que utilizam os Instrumentos de Pagamento operacionalizados pelo Sistema Mercado Pag o para a aquisição de bens, produtos e serviços nos Estabelecimentos Comerciais formalizados através de U.R.s registradas junto à Entidade R…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"is” significa qualquer dia que não seja sábado, domingo, feriado nacional, ou dias em que, por qualquer motivo, não houver expediente bancário na República Federativa do Brasil. “Direitos Creditórios” significam os Direitos Creditórios dos Estabelecimentos Comerciais e os Direitos Creditórios do Mercado Crédito quando referidos em co njunto ou de forma indistinta, conforme aplicável. “Direitos Creditórios Adquiridos…","is” significa qualquer dia que não seja sábado, domingo, feriado nacional, ou dias em que, por qualquer motivo, não houver expediente bancário na República Federativa do Brasil. “Direitos Creditórios” significam os Direitos Creditórios dos Estabelecimentos Comerciais e os Direitos Creditórios do Mercado Crédito quando referidos em co njunto ou de forma indistinta, conforme aplicável. “Direitos Creditórios Adquiridos…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"etapas: (i.1) no caso dos Direitos Creditórios dos Estabelecimentos Comerciais, solicitação pelos Estabelecimentos Comerciais, através do Agente de Pagamento e Registro, da cessão de Direitos Creditórios Elegíveis, nos termos do Contrato de Cessão dos Direitos Creditórios dos Estabelecimentos Comerciais e dos Termos e Condições; ou (i.2) no caso dos Direitos Creditórios do Mercado Crédito, solicitação, pelo Mercado…","etapas: (i.1) no caso dos Direitos Creditórios dos Estabelecimentos Comerciais, solicitação pelos Estabelecimentos Comerciais, através do Agente de Pagamento e Registro, da cessão de Direitos Creditórios Elegíveis, nos termos do Contrato de Cessão dos Direitos Creditórios dos Estabelecimentos Comerciais e dos Termos e Condições; ou (i.2) no caso dos Direitos Creditórios do Mercado Crédito, solicitação, pelo Mercado…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"da cessão de Direitos Creditórios Elegíveis, nos termos do Contrato de Cessão dos Direitos Creditórios do Mercado Crédito e do Acordo Operacional; (ii) envio do Arquivo de Oferta , para processamento da oferta dos 22 JUR_SP - 48312563v8 - 2154004.508546 Direitos Creditórios pelo Custodiante, c onforme o fluxo previsto nos respectivos Contratos de Cessão; (iii) envio pelo Custodiante do Arquivo de Retorno confirmando…","da cessão de Direitos Creditórios Elegíveis, nos termos do Contrato de Cessão dos Direitos Creditórios do Mercado Crédito e do Acordo Operacional; (ii) envio do Arquivo de Oferta , para processamento da oferta dos 22 JUR_SP - 48312563v8 - 2154004.508546 Direitos Creditórios pelo Custodiante, c onforme o fluxo previsto nos respectivos Contratos de Cessão; (iii) envio pelo Custodiante do Arquivo de Retorno confirmando…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"Creditórios pelo Custodiante, c onforme o fluxo previsto nos respectivos Contratos de Cessão; (iii) envio pelo Custodiante do Arquivo de Retorno confirmando a aquisição dos Direitos Creditórios Elegíveis ofertados no Arquivo de Oferta; (iv) formalização dos respectivos Termos de Cessão, respeitado os termos e condições dos respectivos Contratos de Cessão ; e (v) pagamento do Preço de Aquisição pelo Fundo, com a cons…","Creditórios pelo Custodiante, c onforme o fluxo previsto nos respectivos Contratos de Cessão; (iii) envio pelo Custodiante do Arquivo de Retorno confirmando a aquisição dos Direitos Creditórios Elegíveis ofertados no Arquivo de Oferta; (iv) formalização dos respectivos Termos de Cessão, respeitado os termos e condições dos respectivos Contratos de Cessão ; e (v) pagamento do Preço de Aquisição pelo Fundo, com a cons…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"o e/ou substituído de tempos em tempos, por meio do qual os Estabelecimentos Comerciais (i) aderem aos termos e condições gerais de prestação de serviços pelo Devedor, passando a ser credenciados pelo Devedor no âmbito de seu Arranjo de Pagamento Fechado, bem como (ii) concordam com o Acordo Operacional e (iii) outorgam poderes ao Mercado Pago para que, na qualidade de representante dos Estabelecimentos Comerciais,…","o e/ou substituído de tempos em tempos, por meio do qual os Estabelecimentos Comerciais (i) aderem aos termos e condições gerais de prestação de serviços pelo Devedor, passando a ser credenciados pelo Devedor no âmbito de seu Arranjo de Pagamento Fechado, bem como (ii) concordam com o Acordo Operacional e (iii) outorgam poderes ao Mercado Pago para que, na qualidade de representante dos Estabelecimentos Comerciais,…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,das pelo Fundo. “Cotistas Subordinados Mezanino” significam os titulares de Cotas Subordinadas Mezanino emitidas pelo Fundo. “Cotistas Subordinados Juniores” significam os titulares de Cotas Subordinadas Juniores emitidas pelo Fundo. “CPF/MF” significa o Cadastro de Pessoa Física no Ministério da Fazenda. “Critérios de Elegibilidade” significam os Critérios de Elegibilidade dos Direitos Creditórios do Mercado Crédit…,das pelo Fundo. “Cotistas Subordinados Mezanino” significam os titulares de Cotas Subordinadas Mezanino emitidas pelo Fundo. “Cotistas Subordinados Juniores” significam os titulares de Cotas Subordinadas Juniores emitidas pelo Fundo. “CPF/MF” significa o Cadastro de Pessoa Física no Ministério da Fazenda. “Critérios de Elegibilidade” significam os Critérios de Elegibilidade dos Direitos Creditórios do Mercado Crédit…
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"s da respectiva Data de Aquisição e Pagamento; e (vi) os Direitos Creditórios dos Estabelecimentos Comerciais deverão ser provenientes de Transações de Pagamento realizadas por Usuários -Finais que utilizam os Instrumentos de Pagamento operacionalizados pelo Sistema Mercado Pago para a aquisição de bens, produtos e serviços nos Estabelecimentos Comerciais formalizados através de U.R .s registradas junto à Entidade R…","s da respectiva Data de Aquisição e Pagamento; e (vi) os Direitos Creditórios dos Estabelecimentos Comerciais deverão ser provenientes de Transações de Pagamento realizadas por Usuários -Finais que utilizam os Instrumentos de Pagamento operacionalizados pelo Sistema Mercado Pago para a aquisição de bens, produtos e serviços nos Estabelecimentos Comerciais formalizados através de U.R .s registradas junto à Entidade R…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"Úteis” significa qualquer dia que não seja sábado, domingo, feriado nacional, ou dias em que, por qualquer motivo, não houver expediente bancário na República Federativa do Brasil. “Direitos Creditórios” significam os Direitos Creditórios dos Estabelecimentos Comerciais e os Direitos Creditórios do Mercado Crédito quando referidos em conjunto ou de forma indistinta, conforme aplicável. “Direitos Creditórios Adquirid…","Úteis” significa qualquer dia que não seja sábado, domingo, feriado nacional, ou dias em que, por qualquer motivo, não houver expediente bancário na República Federativa do Brasil. “Direitos Creditórios” significam os Direitos Creditórios dos Estabelecimentos Comerciais e os Direitos Creditórios do Mercado Crédito quando referidos em conjunto ou de forma indistinta, conforme aplicável. “Direitos Creditórios Adquirid…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"e Regulamento. “FGC” é o Fundo Garantidor de Créditos. “Formalização Eletrônica de Cessão” significa o processo (e seus correspondentes arquivos eletrônicos) e a conclusão da oferta e cessão dos Direitos Creditórios Elegíveis ao Fundo, após a finalização das seguintes etapas: (i.1) no caso dos Direitos Creditórios dos Estabelecimentos Comerciais, solicitação pelos Estabelecimentos Comerciais, através do Mercado Pago…","e Regulamento. “FGC” é o Fundo Garantidor de Créditos. “Formalização Eletrônica de Cessão” significa o processo (e seus correspondentes arquivos eletrônicos) e a conclusão da oferta e cessão dos Direitos Creditórios Elegíveis ao Fundo, após a finalização das seguintes etapas: (i.1) no caso dos Direitos Creditórios dos Estabelecimentos Comerciais, solicitação pelos Estabelecimentos Comerciais, através do Mercado Pago…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"s seguintes etapas: (i.1) no caso dos Direitos Creditórios dos Estabelecimentos Comerciais, solicitação pelos Estabelecimentos Comerciais, através do Mercado Pago , da cessão de Direitos Creditórios Elegíveis, nos termos do Contrato de Cessão dos Direitos Creditórios dos Estabelecimentos 19 Comerciais e do Termos e Condições; ou (i.2) no caso dos Direitos Creditórios do Mercado Crédito, solicitação, pelo Mercado Cré…","s seguintes etapas: (i.1) no caso dos Direitos Creditórios dos Estabelecimentos Comerciais, solicitação pelos Estabelecimentos Comerciais, através do Mercado Pago , da cessão de Direitos Creditórios Elegíveis, nos termos do Contrato de Cessão dos Direitos Creditórios dos Estabelecimentos 19 Comerciais e do Termos e Condições; ou (i.2) no caso dos Direitos Creditórios do Mercado Crédito, solicitação, pelo Mercado Cré…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"Creditórios pelo Custodiante, co nforme o fluxo previsto nos respectivos Contratos de Cessão; (iii) envio pelo Custodiante do Arquivo de Retorno confirmando a aquisição dos Direitos Creditórios Elegíveis ofertados no Arquivo de Oferta; (iv) formalização dos respectivos Termos de Cessão, r espeitado os termos e condições dos respectivos Contratos de Cessão; e (v) pagamento do Preço de Aquisição pelo Fundo, com a cons…","Creditórios pelo Custodiante, co nforme o fluxo previsto nos respectivos Contratos de Cessão; (iii) envio pelo Custodiante do Arquivo de Retorno confirmando a aquisição dos Direitos Creditórios Elegíveis ofertados no Arquivo de Oferta; (iv) formalização dos respectivos Termos de Cessão, r espeitado os termos e condições dos respectivos Contratos de Cessão; e (v) pagamento do Preço de Aquisição pelo Fundo, com a cons…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"o pela prestação de seus serviços de administração, calculada conforme o Artigo 6.3 deste Regulamento. “Taxa DI” significam as taxas médias diárias dos Depósitos Interfinanceiros – DI de um dia, over extra -grupo, calculadas e divulgadas pela B3, ao ano, base 252 (duzentos e cinquenta e dois) Dias Úteis, expressa em forma percentual ao ano. “Taxa Mínima de Aquisição” significa a taxa mínima de desconto aplicada para…","o pela prestação de seus serviços de administração, calculada conforme o Artigo 6.3 deste Regulamento. “Taxa DI” significam as taxas médias diárias dos Depósitos Interfinanceiros – DI de um dia, over extra -grupo, calculadas e divulgadas pela B3, ao ano, base 252 (duzentos e cinquenta e dois) Dias Úteis, expressa em forma percentual ao ano. “Taxa Mínima de Aquisição” significa a taxa mínima de desconto aplicada para…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,das pelo Fundo. “Cotistas Subordinados Mezanino” significam os titulares de Cotas Subordinadas Mezanino emitidas pelo Fundo. “Cotistas Subordinados Juniores” significam os titulares de Cotas Subordinadas Juniores emitidas pelo Fundo. “CPF/MF” significa o Cadastro de Pessoa Física no Ministério da Fazenda. “Critérios de Elegibilidade” significam os Critérios de Elegibilidade dos Direitos Creditórios do Mercado Crédit…,das pelo Fundo. “Cotistas Subordinados Mezanino” significam os titulares de Cotas Subordinadas Mezanino emitidas pelo Fundo. “Cotistas Subordinados Juniores” significam os titulares de Cotas Subordinadas Juniores emitidas pelo Fundo. “CPF/MF” significa o Cadastro de Pessoa Física no Ministério da Fazenda. “Critérios de Elegibilidade” significam os Critérios de Elegibilidade dos Direitos Creditórios do Mercado Crédit…
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"s da respectiva Data de Aquisição e Pagamento; e (vi) os Direitos Creditórios dos Estabelecimentos Comerciais deverão ser provenientes de Transações de Pagamento realizadas por Usuários -Finais que utilizam os Instrumentos de Pagamento operacionalizados pelo Sistema Mercado Pago para a aquisição de bens, produtos e serviços nos Estabelecimentos Comerciais formalizados através de U.R .s registradas junto à Entidade R…","s da respectiva Data de Aquisição e Pagamento; e (vi) os Direitos Creditórios dos Estabelecimentos Comerciais deverão ser provenientes de Transações de Pagamento realizadas por Usuários -Finais que utilizam os Instrumentos de Pagamento operacionalizados pelo Sistema Mercado Pago para a aquisição de bens, produtos e serviços nos Estabelecimentos Comerciais formalizados através de U.R .s registradas junto à Entidade R…"
Sellers,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,Seller FIDC,50.473.039/0001-02,Critério de elegibilidade,"Úteis” significa qualquer dia que não seja sábado, domingo, feriado nacional, ou dias em que, por qualquer motivo, não houver expediente bancário na República Federativa do Brasil. “Direitos Creditórios” significam os Direitos Creditórios dos Estabelecimentos Comerciais e os Direitos Creditórios do Mercado Crédito quando referidos em conjunto ou de forma indistinta, conforme aplicável. “Direitos Creditórios Adquirid…","Úteis” significa qualquer dia que não seja sábado, domingo, feriado nacional, ou dias em que, por qualquer motivo, não houver expediente bancário na República Federativa do Brasil. “Direitos Creditórios” significam os Direitos Creditórios dos Estabelecimentos Comerciais e os Direitos Creditórios do Mercado Crédito quando referidos em conjunto ou de forma indistinta, conforme aplicável. “Direitos Creditórios Adquirid…"
