grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,categoria_evidencia,termos_encontrados,trecho,fonte_pagina
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,2,governanca_operacional,"\badministrador[ae]?\b, \bagente de cobran[cç]a\b, \bcustodiante\b, \bgestor[ae]?\b, \bsubstitui[cç][aã]o\b","2 Índice 1. FORMA DE CONSTITUIÇÃO, PRAZO DE DURAÇÃO E CLASSIFICAÇÃO DO FUNDO 4 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 5 3. FATORES DE RISCO 11 4. PRESTADORES DE SERVIÇOS ESSENCIAIS 25 5. RESPONSABILIDADE DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUNDO 46 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 47 12. AMORTIZAÇÃO E RESGATE DAS COTAS 50 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 54 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 57 15. EVENTOS DE AVALIAÇÃO 57 16. EVENTOS DE LIQUIDAÇÃ...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,7,governanca_operacional,\bagente de cobran[cç]a\b,"...tórios CCB Adquiridos diretamente para uma conta do Fundo, nos termos do respectivo contrato de prestação de serviço a ser firmado com o Agente de Recebimento, enquanto os Direitos Creditórios PPV Adquiridos serão pagos diretamente pelo Devedor na conta do Fundo, nos termos dos Documentos de Aquisição. 2.1.11 A cobrança dos Direitos Creditórios CCB Adquiridos inadimplidos e dos Direitos Creditórios PPV Adquiridos inadimplidos será realizada pelo Agente de Cobrança, em todos os casos nos termos da Política de Cobrança, constante do Complemento III do Regulamento. 2.1.12 A parcela do Patrimônio Líquido do Fundo que não estiver alocada em Direitos Creditórios será necessariamente alocada nos Ativos Financeiros abaixo relacionados: a) títulos de emissão do Tesouro Nacional; b) operações compromissadas lastreadas nos títulos mencionados na alínea “a"" acima; Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC0782...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.7
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,8,governanca_operacional,"\badministrador[ae]?\b, \bgestor[ae]?\b","...rizadas; observado, caso a instituição seja a Mercado Crédito Sociedade de Crédito, Financiamento e Investimento S.A., até o limite de 10% (dez por cento) do Patrimônio Líquido do Fundo; e d) cotas de fundos de investimento que invistam exclusivamente nos Ativos Financeiros mencionados nas alíneas “a)"", “b)” e/ou “c)"" acima. 2.1.13 Não haverá limites para a aplicação em Ativos Financeiros de emissão ou que envolvam retenção de risco por parte da Administradora, da Gestora e suas partes relacionadas. 2.1.14 A Gestora deste Fundo adota política de exercício de direito de voto em assembleias, que disciplina os princípios gerais, o processo decisório e quais as matérias relevantes obrigatórias para o exercício do direito de voto. Tal política orienta as decisões da Gestora em assembleias de detentores de títulos e valores mobiliários que confiram aos seus titulares o direito de voto. A versão integral da ...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.8
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,9,governanca_operacional,"\badministrador[ae]?\b, \bagente de cobran[cç]a\b, \bcustodiante\b, \bgestor[ae]?\b","9 aquisição de Direitos Creditórios pelo Fundo, se os Direitos Creditórios atendem aos Critérios de Elegibilidade. A Gestora poderá subcontratar um prestador de serviço para, nos termos do respectivo contrato de prestação de serviços, atuar na verificação dos Critérios de Elegibilidade. 2.2.2 O Fundo poderá realizar aplicações que coloquem em risco parte ou a totalidade de seu patrimônio. A Carteira e, por consequência, o patrimônio do Fundo, estão sujeitos a diversos riscos, dentre os quais os discriminados no Capítulo 3 deste Regulamento. O investidor, antes de adqu...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.9
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,10,governanca_operacional,\bgestor[ae]?\b,"...berta e sem nenhum ônus ou restrição nos termos da legislação aplicável; e c) Não pode ter sido verificada, nos termos dos Documentos de Aquisição, nenhuma hipótese de resolução de cessão e/ou recompra facultativa dos Direitos Creditórios PPV. 2.3.4 Além de atender às Condições de Cessão, todos e quaisquer Direitos Creditórios a serem adquiridos pelo Fundo deverão atender, cumulativamente, aos Critérios de Elegibilidade, a serem verificados pela Gestora, previstos nos itens 2.3.5 e 2.3.6 em relação aos Direitos Creditórios CCB e Direitos Creditórios PPV, respectivamente, na respectiva Data de Aquisição e Pagamento (“ Critérios de Elegibilidade”). 2.3.5 Os Direitos Creditórios CCB deverão atender aos seguintes Critérios de Elegibilidade, na respectiva Data de Aquisição e Pagamento: a) Serem representadas por CCBs; b) Serem originados de operações de crédito realizadas pelas Instituições Financei...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.10
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,1,governanca_operacional,"\badministrador[ae]?\b, \bgestor[ae]?\b","...neiro, na Praia de Botafogo, nº 501, Torre Corcovado, 5º andar – parte, Botafogo, CEP 22250-040, inscrito no Cadastro Nacional da Pessoa Jurídica (“CNPJ/MF”) sob o nº 59.281.253/0001-23, devidamente autorizada pela Comissão de Valores Mobiliários (“CVM”) para a atividade de administração de carteiras de valores mobiliários, de acordo com o Ato Declaratório nº 8.695, de 20 de março de 2006, neste ato representada na forma do seu estatuto social (“Administradora”). 2. CONVOCAÇÃO: A convocação prévia foi dispensada devido à presença da totalidade dos cotistas do MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA, inscrito no CNPJ/MF sob o nº 33.254.370/0001‐04 (“Fundo”), conforme lista de presença de cotistas constante no Anexo A da presente. 3. PRESENÇA: Presentes, além da totalidade dos cotistas do Fundo, os representantes da Administradora e os representantes da PO...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.1
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,2,governanca_operacional,"\badministrador[ae]?\b, \bescriturador\b","...o da Cota apurado na respectiva data de integralização, que será correspondente ao resultado da divisão do valor do Patrimônio Líquido pelo número de Cotas Seniores em circulação na referida data , nos termos do respectivo Apêndice (“Preço de Integralização”); e) Forma de Integralização: as Cotas Seniores serão integralizadas em moeda corrente nacional, à vista e/ou mediante chamadas de capital, junto ao seu respectivo agente de custódia e/ou da Administradora na qualidade de escriturador das cotas, observados os termos e condições do respectivo boletim de subscrição e compromisso de investimento; e f) Período de colocação: a subscrição das Cotas Seniores, objeto da Nova Emissão, deverão ser realizadas no prazo máximo de 180 (cento e oitenta) dias, contados da data de efeitos do presente instrumento; Os Cotistas, neste ato: (i) declaram -se cientes das deliberações acima aprovadas; e (ii) dispensam a ...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,3,governanca_operacional,"\badministrador[ae]?\b, \bgestor[ae]?\b","A Administradora e a Gestora foram autorizadas a adotar todas as medidas necessárias para implementar as deliberações aprovadas nesta assembleia, observadas as suas respectivas competências legais e contratuais. Os termos iniciados por letra maiúscula utilizados neste documento que não estiverem aqui definidos têm o significado que lhes foi atribuído no Regulamento. As Partes conferem expressa anuência para que a ata da presente assembleia seja firmada por meio ...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.3
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,5,governanca_operacional,"\badministrador[ae]?\b, \bgestor[ae]?\b","...4ª (quarta) Série de cotas seniores de emissão do MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA , inscrito no CNPJ/MF sob nº 33.254.370-0001-04 (“ Cotas Seniores ” e “ Fundo”, respectivamente), com seu regulamento vigente disponibilizado na página da CVM na rede mundial de computadores no endereço www.cvm.gov.br, do qual este Suplemento é parte integrante (“ Regulamento”). A Classe é representada por seu gestor, a POLÍGONO CAPITAL LTDA. , sociedade de responsabilidade limitada, com sede na cidade e estado de São Paulo, na Avenida Brigadeiro Faria Lima, n° 2601, 12º andar, Jardim Paulistano, CEP 01452-000, inscrita no CNPJ/MF sob nº 43.241.789/0001-85, autorizada à prestação do serviço de administração de carteiras de valores mobiliários pela Comissão de Valores Mobiliários (“CVM”), na modalidade de gestor de recursos de terceiros, de acordo com o Ato D...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.5
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,8,governanca_operacional,\bgestor[ae]?\b,"...s Seniores, relativo às Cotas Seniores da respectiva Série, que corresponde à data do término do prazo de duraçã o da respectiva Série de Cotas Seniores, pelo seu respectivo valor calculado nos termos do Apêndice da Subclasse Sênior e do Regulamento. 8. Os termos iniciados em letra maiúscula não definidos expressamente neste Suplemento terão o significado a eles atribuído no Regulamento e no Anexo. 9. O presente Suplemento, uma vez assinado pela Gestora, constituirá parte integrante do Regulamento e por ele será regido, devendo prevalecer as disposições do Regulamento em caso de qualquer conflito ou controvérsia em relação às disposições deste Suplemento. As Cotas Seniores terão as características, poderes, direitos, prerrogativas, privilégios, deveres e obrigações atribuídas à Subclasse de Cotas Seniores no Apêndice da Subclasse Sênior, no Regulamento e no Anexo. 10. O presente Suplemento deve...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.8
