grupo,fundo,nome_curto,cnpj,competencia,indicador,valor,unidade,observacao,cache_folder
Sellers,,Seller FIDC,50.473.039/0001-02,02/2025,PL (R$),2939798411.41,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,03/2025,PL (R$),2997779926.21,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,04/2025,PL (R$),3060036460.85,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,05/2025,PL (R$),3750613344.75,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,06/2025,PL (R$),4591817232.46,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,07/2025,PL (R$),4706268997.02,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,08/2025,PL (R$),4805854905.8,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,09/2025,PL (R$),4910079962.08,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,10/2025,PL (R$),5017286834.39,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,11/2025,PL (R$),4843587267.14,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,12/2025,PL (R$),4677675549.25,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,01/2026,PL (R$),4508186827.09,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,02/2026,PL (R$),4324967966.02,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,03/2026,PL (R$),4157432947.78,R$ bruto,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,02/2025,Dir Cred (R$ MM),2927.9644586,R$ MM,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,03/2025,Dir Cred (R$ MM),2986.07733779,R$ MM,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,04/2025,Dir Cred (R$ MM),2935.29062716,R$ MM,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,05/2025,Dir Cred (R$ MM),3014.51717773,R$ MM,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
Sellers,,Seller FIDC,50.473.039/0001-02,06/2025,Dir Cred (R$ MM),4324.597993310001,R$ MM,,.cache/fundonet-ime/c0ce8a5069fe47b6253df9ee86a9b53b58dc2ecca778de89072d8bbab0807695
