grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,categoria_evidencia,termos_encontrados,trecho,fonte_pagina
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,2,preco_economia,\bremunera[cç][aã]o\b,"2 Índice 1. FORMA DE CONSTITUIÇÃO, PRAZO DE DURAÇÃO E CLASSIFICAÇÃO DO FUNDO 4 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 5 3. FATORES DE RISCO 11 4. PRESTADORES DE SERVIÇOS ESSENCIAIS 25 5. RESPONSABILIDADE DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUNDO 46 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 47 12. AMORTIZAÇÃO E RESGATE DAS COTAS 50 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 54 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 57 15. EVENTOS DE AVALIAÇÃO 57 16. EVENTOS DE LIQUIDAÇÃO ANTECIPADA E LIQUIDAÇÃO DO FUNDO 60 17. DESPESAS E ENCARGOS DO FUNDO 62 18. PATRIMÔNIO LÍQUIDO NEGATIVO COM LIMITAÇÃO DE...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,16,preco_economia,\bremunera[cç][aã]o\b,"...o. Nos termos do artigo 18 da Resolução CVM nº 175 e do artigo 1.368-D, inciso I, do Código Civil, os Cotistas da Classe do Fundo terão sua responsabilidade limitada ao valor por eles subscrito. Na ocorrência de Patrimônio Líquido negativo, deverão ser adotados os procedimentos previstos no Capítulo 18, sendo possível a declaração do regime de insolvência da Classe do Fundo, situação na qual os investidores poderão não receber o principal e/ou a remuneração esperados nos investimentos nas Cotas. Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.16
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,23,preco_economia,\bremunera[cç][aã]o\b,"... amortizadas de acordo com o estabelecido neste Regulamento e nos respectivos Apêndices e/ou nos respectivos Suplementos. No entanto, há eventos que podem ensejar a antecipação do pagamento da amortização, tais como nas hipóteses de liquidação antecipada nos termos do Capítulo 1 7 deste Regulamento. Nestes casos, os Cotistas terão seu horizonte original de investimento reduzido e poderão não conseguir reinvestir os recursos recebidos com a mesma remuneração buscada pelo Fundo. i) Riscos à execução dos Direitos Creditórios devido à sua forma de cessão ao Fundo. A transferência de Direitos Creditórios decorrentes de CCBs Veículo ao Fundo pode envolver o registro de tais instrumentos de crédito em entidade registradora autorizada a funcionar pelo Banco Central do Brasil e a transferência de sua titularidade para o Fundo no sistema eletrônico administrado por tal entidade. De acordo com o § 1º, do arti...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.23
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,27,preco_economia,\bremunera[cç][aã]o\b,"... à CVM, por meio de sistema eletrônico disponível na rede mundial de computadores, no prazo de 45 (quarenta e cinco) dias após o encerramento do trimestre civil a que se referirem as informações, evidenciando o requerido no artigo 27, V, do Anexo Normativo II, da Resolução CVM nº 175; o) divulgar todas as informações exigidas pela regulamentação pertinente e por este Regulamento; p) monitorar, nos termos previstos neste Regulamento, a Reserva de Remuneração Sênior; Docusign Envelope ID: C734C7B4-F58D-4EB0-92FC-FCC07825E238",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.27
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026,1128340,Regulamento,regulamento,data/raw/33254370000104/1128340_regulamento_regulamento_1128340_2026-03-03.pdf,37,preco_economia,\bremunera[cç][aã]o\b,"37 iv. todos os recibos comprobatórios do pagamento de qualquer encargo do Fundo. 8.2.1 A remuneração devida ao Custodiante em razão dos serviços prestados ao Fundo está incluída na Taxa de Administração. 8.2.2 A guarda dos Documentos Comprobatórios, pelo Custodiante, será realizada conforme a legislação em vigor, podendo contratar, por sua conta e ordem e sua total responsabilidade, terceiro para realizar a guarda do lastro dos Direitos Creditórios. 8.2.3 Os serviços de cobrança ordinária: (a) via débito automático; e/ou (b) escritural dos bole...",1128340_regulamento_regulamento_1128340_2026-03-03.pdf p.37
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,2,preco_economia,\bpre[cç]o de emiss[aã]o\b,"... sujeitas a regulamentação de oferta de valores mobiliários da Resolução CVM nº 160, de 13 de julho de 2022 (“Resolução CVM 160”); b) Público-alvo: Investidores profissionais, conforme definidos no art. 11 da Resolução CVM nº 30, de 11 de maio de 2021 , destinando-se, exclusivamente, à subscrição d a CLASSE ÚNICA DE COTAS DO ZETA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - CRÉDITO PRIVADO, inscrita no CNPJ/MF sob o nº 55.859.549/0001- 28; c) Preço de Emissão: R$ 1.000,00 (mil reais) (“Preço de Emissão”); d) Preço de Integralização: O preço de integralização corresponderá , na Data de Subscrição Inicial (conforme definida no Regulamento) , ao Preço de Emissão e, após a Data de Subscrição Inicial , ao Valor Unitário da Cota apurado na respectiva data de integralização, que será correspondente ao resultado da divisão do valor do Patrimônio Líquido pelo número de Cotas Seniores em circulação na referida...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.2
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,6,preco_economia,"\bDI\b, \bmeta de remunera[cç][aã]o\b, \bremunera[cç][aã]o\b, \bspread\b","2 VII. Meta de Remuneração : A Meta de Remuneração Sênior será correspondente a 100% (cem por cento) da Taxa DI acrescida de “spread” de 2,5% (dois inteiros e cinco décimos por cento) ao ano, e será determinada por meio da apropriação diária, sob forma de capitalização composta, com base em um ano de 252 (duzentos e cinquenta e dois) Dias Úteis da Meta de Remuneração. VIII. Remuneração Sênior: A Remuneração Sênior será paga pelo período de 36 (trinta e seis) meses, em cad...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.6
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/03/2026 13:00,1128337,AGE,assembleia,data/raw/33254370000104/1128337_assembleia_assembleia_1128337_2026-03-03.pdf,7,preco_economia,"\bmeta de remunera[cç][aã]o\b, \bremunera[cç][aã]o\b","3 Data de Pagamento % da Meta de Remuneração Sênior % da Amortização Sênior 31/dez/27 100,00% 6,25% 31/jan/28 100,00% 6,67% 29/fev/28 100,00% 7,14% 31/mar/28 100,00% 7,69% 30/abr/28 100,00% 8,33% 31/mai/28 100,00% 9,09% 30/jun/28 100,00% 10,00% 31/jul/28 100,00% 11,11% 31/ago/28 100,00% 12,50% 30/set/28 100,00% 14,29% 31/out/28 100,00% 16,67% 30/nov/28 100,00% 20,00% 31/dez/28 100,00% 25,00% 31/jan/29 100,00% 33,33% 28/fev/29 100,00% 50,00% 31/mar/29 100,00% 100,00% XI. Classificação de Ri...",1128337_assembleia_assembleia_1128337_2026-03-03.pdf p.7
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,5,preco_economia,"\bDI\b, \bbenchmark\b, \bmeta de remunera[cç][aã]o\b, \bremunera[cç][aã]o\b","..., 10º andar, Itaim Bibi, inscrita no CNPJ sob o nº 36.266.751/0001-00 (“Administradora”). 2. Serão emitidas, nos termos deste Suplemento e do Regulamento, até 80.000 (oitenta mil) Cotas Seniores com valor unitário de R$ 1.000,00 (mil reais), na data da primeira subscrição e integralização da 2ª Série de Cotas Seniores (“Data de Subscrição Inicial”), para colocação privada. 3. As cotas da 2ª Série de Cotas Seniores serão distribuídas pela Finvest Di stribuidora de Títulos e Valores Mobiliários Ltda., com as seguintes características: I. Valor Total de Emissão: R$ 80.000.000,00 (oitenta milhões de reais). II. Forma de Integralização: em moeda corrente nacional, pelo valor nominal unitário. Sendo, R$ 50.00 0.000,00 (cinquenta milhões de reais) integralizados no ato de subscrição e duas tranches de R$ 15.000.000,00 (quinze milhões de reais) cada, a serem integralizadas nas datas indicadas no B...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.5
Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,03/09/2024 11:00,749010,AGE,assembleia,data/raw/33254370000104/749010_assembleia_assembleia_749010_2024-09-03.pdf,6,preco_economia,"\bCDI\b, \bbenchmark\b, \bspread\b","2 (i) Benchmark Regular: equivalente a 100% (cem por cento) da variação positiva do CDI, acrescida de um spread de 3,5% a.a. (três inteiros e cinco décimos por cento) ao ano, pago mensalmente, em cada Data de Pagamento, exceto em caso de Evento de Aceleração das Cotas Seniores, observado o disposto no item abaixo. (ii) Benchmark Qualificado: Caso seja caracterizado um Evento de Aceleração das Cotas Seniores, nos termos do Artigo 12.12 e 12.12.1 do Regulamento, ...",749010_assembleia_assembleia_749010_2024-09-03.pdf p.6
