grupo,fundo,nome_curto,cnpj,data_documento,documento_id,source_file,categoria_documento,tipo_documento,criterio,chave,evento,comparacao,limite,threshold_value,threshold_unit,monitorabilidade_ime,metrica_ime,fonte_pagina,trecho,mudanca_vs_evidencia_anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,16/11/2020,135821,data/raw/28472333000132/135821_regulamento_regulamento_135821_2020-11-16.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,135821_regulamento_regulamento_135821_2020-11-16.pdf · ID 135821,"stas a valorização de suas Cotas por meio da aplicação de seu Patrimônio Líquido na aquisição de: (i) Direitos Creditórios que atendam aos Critérios de Elegibilidade e às Condições de Cessão estabelecidos no Capítul o 3 deste Regulamento, e (ii) Ativos Financeiros listados na cláusula 2.7 abaixo, observados todos os índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. Os Dire…",primeira evidência local
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,16/11/2020,135821,data/raw/28472333000132/135821_regulamento_regulamento_135821_2020-11-16.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,135821_regulamento_regulamento_135821_2020-11-16.pdf · ID 135821,"soas autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 5 SP - 23542534v1 A cada aquisição de Dire itos Creditórios, o Fundo pagará, ao respectivo Cedente, o Preço de Aquisição, conforme previsto nos respectivos Documentos de Aquisição. Decorridos 90 (noventa) dias do início das atividades do Fundo, este deverá ter alocado, no mínimo, 50% ( cinquenta por cento) do seu Patrimônio Líquido em Direitos Credit…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,16/11/2020,135821,data/raw/28472333000132/135821_regulamento_regulamento_135821_2020-11-16.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,135821_regulamento_regulamento_135821_2020-11-16.pdf · ID 135821,"desse serviço pelo BACEN ou pela CVM. 5 SP - 23542534v1 A cada aquisição de Dire itos Creditórios, o Fundo pagará, ao respectivo Cedente, o Preço de Aquisição, conforme previsto nos respectivos Documentos de Aquisição. Decorridos 90 (noventa) dias do início das atividades do Fundo, este deverá ter alocado, no mínimo, 50% ( cinquenta por cento) do seu Patrimônio Líquido em Direitos Creditórios. Os Direitos Creditório…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,16/11/2020,135821,data/raw/28472333000132/135821_regulamento_regulamento_135821_2020-11-16.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,135821_regulamento_regulamento_135821_2020-11-16.pdf · ID 135821,"nforme previsto nos respectivos Documentos de Aquisição. Decorridos 90 (noventa) dias do início das atividades do Fundo, este deverá ter alocado, no mínimo, 50% ( cinquenta por cento) do seu Patrimônio Líquido em Direitos Creditórios. Os Direitos Creditórios serão individualmente representados por CCBs originadas da concessão de Crédito Parcelado pelas Instituições Financeiras Parceiras aos Devedores. Os Direitos Cr…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,13/04/2023 18:00,444985,data/raw/28472333000132/444985_assembleia_assembleia_444985_2023-04-13.pdf,assembleia,AGE,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,444985_assembleia_assembleia_444985_2023-04-13.pdf · ID 444985,"a valorização de suas Cotas por meio da aplicação de seu Patrimônio Líquido na aquisição de: (i) Direitos Creditórios que atendam aos Critérios de Elegibilidade e às Condições de Cessão estabelecidos no Capítulo 3 deste Regulamento, e (ii) Ativos Financeiros listados na cláusula 2.7 abaixo, observados todos os índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Dire…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,448299,data/raw/28472333000132/448299_regulamento_regulamento_448299_2023-04-19.pdf,regulamento,Instrumento Particular de Alteração do Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,448299_regulamento_regulamento_448299_2023-04-19.pdf · ID 448299,"s a valorização de suas Cotas por meio da aplicação de seu Patrimônio Líquido na aquisição de: (i) Direitos Creditórios que atendam aos Critérios de Elegibilidade e às Condições de Cessão estabelecidos no Capítulo 3 deste Regulamento, e (ii) Ativos Financeiros listados na cláusula 2.7 abaixo, observados todos os índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Di…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,448299,data/raw/28472333000132/448299_regulamento_regulamento_448299_2023-04-19.pdf,regulamento,Instrumento Particular de Alteração do Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,448299_regulamento_regulamento_448299_2023-04-19.pdf · ID 448299,"índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Direitos Creditórios Adquiridos e os Ativos Financeiros devem ser registrados, custodiados ou mantidos em conta de depósito diretamente em nome do Fundo, conforme o caso, em contas específicas abertas no SELIC, ou em Pessoas autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 2.2 A cada aquisição de Direi…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,19/04/2023,448299,data/raw/28472333000132/448299_regulamento_regulamento_448299_2023-04-19.pdf,regulamento,Instrumento Particular de Alteração do Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,448299_regulamento_regulamento_448299_2023-04-19.pdf · ID 448299,"as no SELIC, ou em Pessoas autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 2.2 A cada aquisição de Direitos Creditórios, o Fundo pagará, ao respectivo Cedente, o Preço de Aquisição, conforme previsto nos respectivos Documentos de Aquisição. 2.3 Decorridos 90 (noventa) dias do início das atividades do Fundo, este deverá ter alocado, no mínimo, 50% (cinquenta por cen to) do seu Patrimônio Líquido em Dire…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024,732140,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,732140_regulamento_regulamento_732140_2024-09-03.pdf · ID 732140,"s a valorização de suas Cotas por meio da aplicação de seu Patrimônio Líquido na aquisição de: (i) Direitos Creditórios que atendam aos Critérios de Elegibilidade e às Condições de Cessão estabelecidos no Capítulo 3 deste Regulamento, e (ii) Ativos Financeiros listados na cláusula 2.7 abaixo, observados todos os índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Di…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024,732140,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,732140_regulamento_regulamento_732140_2024-09-03.pdf · ID 732140,"índices de composição e diversificação da Carteira do Fundo, estabelecidos neste Regulamento. 2.1.1 Os Direitos Creditórios Adquiridos e os Ativos Financeiros devem ser registrados, custodiados ou mantidos em conta de depósito diretamente em nome do Fundo, conforme o caso, em contas específicas abertas no SELIC, ou em Pessoas autorizadas à prestação desse serviço pelo BACEN ou pela CVM. 2.2 A cada aquisição de Direi…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,03/09/2024,732140,data/raw/28472333000132/732140_regulamento_regulamento_732140_2024-09-03.pdf,regulamento,Regulamento,Alocação mínima em direitos creditórios,credit_rights_allocation_min,enquadramento,>=,50%,0.5,ratio,monitoravel,Dir Cred / PL,732140_regulamento_regulamento_732140_2024-09-03.pdf · ID 732140,"ou pela CVM. 2.2 A cada aquisição de Direitos Creditórios, o Fundo pagará, ao respectivo Cedente, o Preço de Aquisição, conforme previsto nos respectivos Documentos de Aquisição. 2.3 Decorridos 90 (noventa) dias do início das atividades do Fundo, este deverá ter alocado, no mínimo, 50% (cinquenta por cento) do seu Patrimônio Líquido em Direitos Creditórios. Nom propried e do d cumento desconhec o 2.4 Os Direitos Cre…",sem mudança vs evidência anterior
Mercado Crédito,Mercado Crédito Merchant Fundo de Investimento em Direitos Creditórios,Mercado Crédito Merchant FIDC,28.472.333/0001-32,13/04/2023 18:00,444985,data/raw/28472333000132/444985_assembleia_assembleia_444985_2023-04-13.pdf,assembleia,AGE,Cobertura mínima de PDD/provisão,pdd_coverage_min,enquadramento,>=,20%,0.2,ratio,monitoravel,PDD / Venc Total ou PDD / Venc > 90 d,444985_assembleia_assembleia_444985_2023-04-13.pdf · ID 444985,"dades. ""Não substancialmente envolvido "" significa que a atividade em questão é secundária às principais operações do patrocinador do projeto. 3 www.cites.org. 4 Não se aplica à compra de equipamento médico, equipamento de controle de qualidade (medição) ou outro equipamento em que poss a ser demonstrado que a fonte radioativa é insignificante e / ou está adequadamente revestida. 5 Não se aplica à aquisição e uso de…",primeira evidência local
