Fundo,CNPJ,Critério,Limite/regra,Monitorabilidade IME,Métrica IME / proxy,Condição de alerta sugerida,Observação técnica,Fonte,cnpj_digits,arquivo_origem_tabela,Chave,Status curadoria,Evento,Comparação,Limite,Monitoramento,Métrica IME sugerida,Comentário,Trecho/Fórmula
SELLER,50.473.039/0001-02,Índice de Subordinação,Cotas Subordinadas Juniores / PL >= 10%,direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino",Vermelho se < 10%; para Seller/Seller 3 o regulamento prevê evento de avaliação se a recomposição não ocorrer no prazo,"Usar junior/PL, não subordinação total incluindo mezanino. IME precisa reconciliar classes de cotas.","909547 pp.99,107-108",50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Índice de Cobertura Sênior,"Índice >= 1,00",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Sênior) / Cotas Seniores,"Alerta se proxy < 1,00 por 3 datas de aniversário consecutivas","IME traz DC, caixa e cotas, mas não traz de forma padronizada Valor Presente pelo contrato, Comissões e fatores por série; exige parâmetros manuais.","909547 pp.46,61,110",50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Índice de Cobertura Mezanino,"Índice >= 1,00 quando houver mezanino",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Mezanino) / (Sênior + Mezanino),"Alerta se proxy < 1,00 por 3 datas de aniversário consecutivas",Mesma limitação do Índice de Cobertura Sênior; só aplicar se houver cota mezanino emitida.,"909547 pp.46,61,110",50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Alocação mínima regulatória,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,Vermelho se < 50%; evento de liquidação se desenquadramento persistir por 20 dias úteis,"IME vê direitos creditórios agregados, mas não valida elegibilidade individual. Usar como monitoramento de enquadramento econômico, não prova jurídica final.","909547 pp.58,115",50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Alocação mínima tributária,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,Vermelho se < 67% após prazo aplicável,O texto extraído mostra inconsistência redacional: '67%' com extenso 'cinquenta por cento'. Validar juridicamente antes de alerta duro.,909547 pp.31,50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Derivativos,Operações com derivativos vedadas,direto agregado,MERC_DERIVATIVO / PL ou posições em derivativos,Vermelho se posição agregada em derivativos != 0,"IME só mostra posição agregada; se houver valor, precisa análise do tipo/contraparte, mas para vedação total o alerta é útil.",909547 pp.58,50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Reserva de Liquidez,Mínimo equivalente a 3 meses de despesas ordinárias,parcial,Disponibilidades e Ativos Financeiros; despesas ordinárias precisam input/manual,Amarelo/vermelho apenas se a base de despesas mensais for cadastrada,IME não traz uma linha padronizada de '3 meses de despesas ordinárias' para o cálculo contratual.,"909547 pp.51,103",50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Reserva de Caixa,100% do próximo pagamento de amortização/remuneração até D-10; acumula desde D-45,parcial,Disponibilidades/Ativos Financeiros vs próximo serviço da dívida,Alerta se caixa disponível < próximo pagamento esperado dentro da janela,"Depende do cronograma de cotas, saldo vivo e remuneração acumulada; IME ajuda, mas não resolve sozinho.","909547 pp.51,103-104",50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Inadimplemento de Direitos Creditórios,Default de qualquer Direito Creditório por >5 dias pode ser evento de liquidação,parcial fraco,Over 1d / Crédito como proxy mensal,Não usar como gatilho automático; usar só como sinal qualitativo,A regra é diária e por título; IME mensal por bucket não comprova o evento jurídico.,909547 pp.114-115,50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER,50.473.039/0001-02,Inconsistência de verificação de lastro,>5% da amostra / PL conforme cláusula,não usar via IME,Sem métrica IME confiável,Sem alerta automático,"Depende de auditoria de documentos comprobatórios, não de Informe Mensal.","909547 pp.107,112",50473039000102,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Índice de Subordinação,Cotas Subordinadas Juniores / PL >= 10%,direto com validação,"Cotas Subordinadas Juniores / PL; no app, Cotas Sub / PL se não houver mezanino",Vermelho se < 10%; para Seller/Seller 3 o regulamento prevê evento de avaliação se a recomposição não ocorrer no prazo,"Usar junior/PL, não subordinação total incluindo mezanino. IME precisa reconciliar classes de cotas.","1089845 pp.99,107-108",63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Índice de Cobertura Sênior,"Índice >= 1,00",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Sênior) / Cotas Seniores,"Alerta se proxy < 1,00 por 3 datas de aniversário consecutivas","IME traz DC, caixa e cotas, mas não traz de forma padronizada Valor Presente pelo contrato, Comissões e fatores por série; exige parâmetros manuais.","1089845 pp.46,61,110",63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Índice de Cobertura Mezanino,"Índice >= 1,00 quando houver mezanino",parcial,((VP Direitos Creditórios + Disponibilidades + Comissões) * Fator Mezanino) / (Sênior + Mezanino),"Alerta se proxy < 1,00 por 3 datas de aniversário consecutivas",Mesma limitação do Índice de Cobertura Sênior; só aplicar se houver cota mezanino emitida.,"1089845 pp.46,61,110",63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Alocação mínima regulatória,Direitos Creditórios Elegíveis / PL >= 50% após 180 dias,direto com ressalva,Dir Cred / PL,Vermelho se < 50%; evento de liquidação se desenquadramento persistir por 20 dias úteis,"IME vê direitos creditórios agregados, mas não valida elegibilidade individual. Usar como monitoramento de enquadramento econômico, não prova jurídica final.","1089845 pp.58,115",63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Alocação mínima tributária,Direitos Creditórios Elegíveis / PL >= 67%,direto com ressalva,Dir Cred / PL,Vermelho se < 67% após prazo aplicável,O texto extraído mostra inconsistência redacional: '67%' com extenso 'cinquenta por cento'. Validar juridicamente antes de alerta duro.,1089845 pp.31,63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Derivativos,Operações com derivativos vedadas,direto agregado,MERC_DERIVATIVO / PL ou posições em derivativos,Vermelho se posição agregada em derivativos != 0,"IME só mostra posição agregada; se houver valor, precisa análise do tipo/contraparte, mas para vedação total o alerta é útil.",1089845 pp.58,63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Reserva de Liquidez,Mínimo equivalente a 3 meses de despesas ordinárias,parcial,Disponibilidades e Ativos Financeiros; despesas ordinárias precisam input/manual,Amarelo/vermelho apenas se a base de despesas mensais for cadastrada,IME não traz uma linha padronizada de '3 meses de despesas ordinárias' para o cálculo contratual.,"1089845 pp.51,103",63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
SELLER 3,63.572.282/0001-11,Reserva de Caixa,100% do próximo pagamento de amortização/remuneração até D-10; acumula desde D-45,parcial,Disponibilidades/Ativos Financeiros vs próximo serviço da dívida,Alerta se caixa disponível < próximo pagamento esperado dentro da janela,"Depende do cronograma de cotas, saldo vivo e remuneração acumulada; IME ajuda, mas não resolve sozinho.","1089845 pp.51,103-104",63572282000111,data/regulatory_profiles/seller_criteria_monitoraveis_ime.csv,,,,,,,,,
