#,fundo,pl_bi,gestor,admin,custodiante,segmento,condominio,classe_unica,n_classes_series,subordinacao_%,n_cedentes_identificados,maior_cedente_%,top3_cedentes_%,maior_cedente,setor_cedente,setor_sacado,pct_vencido_inad,pct_judicial,sacado_perform_%,n_cotistas,top_investidores,n_cotistas_institucionais,n_ofertas_24_25_26,ano_1a_oferta,safra,ultima_leitura_regulamento
1,FIDC DO SISTEMA PETROBRAS,60.84,Banco do Brasil,Banco do Brasil,BANCO DO BRASIL S.A.,Industrial,ABERTO,S,2,0.2,0,,,,,,,,100.0,107,PJ não financeira (107),0,0,,,
2,TAPSO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE L,40.66,Oliveira Trust,Oliveira Trust,OLIVEIRA TRUST DTVM S.A.,Cartao de credito,FECHADO,N,4,100.0,0,,,,,,,,100.0,10,PJ não financeira (6) · Investidor não residente (2) · Outros (2),0,0,,,
3,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ,9.98,Bradesco,Bradesco,BANCO BRADESCO S.A.,Cartao de credito,FECHADO,N,7,15.3,1,92.5,92.5,CNPJ 18189547,Meios de Pagamento e Cartões,Meios de Pagamento e Cartões,0.0,0.0,100.0,291,Outros fundos (279) · Banco (7) · Capitalização (4),4,0,2025,2025FY,2026-02-19
4,ITAÚ CRÉDITO PRIVADO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - R,8.62,Itau,Itau,ITAU UNIBANCO S.A.,Servicos,ABERTO,S,1,0.0,0,,,,,,0.0,0.0,100.0,4,Outros fundos (4),0,0,,,
5,ESPERANZA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8.42,REAG,CBSF,REAG TRUST DISTRIBUIDORA DE TI,Financeiro,FECHADO,N,1,0.0,0,,,,,,5.4,0.0,,1,Outros fundos (1),0,0,,,
6,BTG PACTUAL CONSIGNADOS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRI,7.92,BTG Pactual,BTG Pactual,BANCO BTG PACTUAL S/A,Servicos,FECHADO,N,1,0.0,0,,,,Sem oferta CVM mapeada,Sem oferta CVM mapeada,,,,1,Outros fundos (1),0,0,,,2025-06-30
7,PAN AUTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDAD,7.73,BTG Pactual,BTG Pactual,BANCO BTG PACTUAL S/A,Comercial,FECHADO,N,1,0.0,0,,,,,,,,,1,Outros fundos (1),0,0,,,
8,AETOS ENERGIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,7.38,XP,XP,OLIVEIRA TRUST DTVM S.A.,Servicos,FECHADO,N,4,11.5,1,96.6,96.6,CNPJ 05449127,,,0.0,0.0,,8,PJ não financeira (5) · Outros fundos (3),0,0,,,
9,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PAGSEGURO I,6.7,Genial,Genial,BANCO GENIAL S.A.,Cartao de credito,FECHADO,N,5,66.2,0,,,,Meios de Pagamento e Cartões,Meios de Pagamento e Cartões,,,100.0,4,Banco (2) · PJ não financeira (1) · Investidor não residente (1),0,0,2024,2024FY,2026-03-25
10,CLASSE CONSIGNADO PRIVADO DO MT GLOBAL FUNDO DE INVESTIMENTO EM DIREIT,6.65,BTG Pactual,BTG Pactual,BANCO BTG PACTUAL S/A,,FECHADO,N,0,,0,,,,,,,,,0,,0,0,,,
11,CIELO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,6.47,Bradesco,Bradesco,BANCO BRADESCO S.A.,Cartao de credito,FECHADO,N,5,84.3,0,,,,,,,,100.0,61,Outros fundos (60) · PJ não financeira (1),0,0,2025,2025FY,
12,RIO VERMELHO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONI,6.39,CBSF,CBSF,REAG TRUST DISTRIBUIDORA DE TI,Financeiro,FECHADO,N,1,0.0,0,,,,Judicial/Precatórios/NPL,Judicial/Precatórios/NPL,0.0,0.0,,2,Cotas de FIDC (1) · Outros fundos (1),0,0,2024,2024FY,2025-04-11
13,BTG PACTUAL CONSIGNADOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,5.93,BTG Pactual,BTG Pactual,BANCO BTG PACTUAL S/A,Comercial,FECHADO,N,1,0.0,0,,,,,,,,,1,Outros fundos (1),0,0,,,
14,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS III R,5.77,BTG Pactual,BTG Pactual,BANCO BTG PACTUAL S/A,Setor publico,FECHADO,N,1,0.0,4,20.2,52.4,CNPJ 80539943,,,0.0,0.0,,1,Outros fundos (1),0,0,,,
15,NC 2025 I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDA,5.66,KANASTRA ADMINISTRAÇÃO DE RECURSOS LTDA,Itau,LIMINE TRUST DISTRIBUIDORA DE ,Financeiro,FECHADO,N,1,0.0,0,,,,,,0.0,0.0,100.0,1,Banco (1),0,0,,,
16,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MONEE I DE RESPONSABILID,5.0,VALORA RENDA FIXA LTDA.,QI Tech,QI CORRETORA DE TÍTULOS E VALO,Financeiro,FECHADO,N,2,100.0,3,65.3,123.8,CNPJ 32402502,,,21.9,0.0,0.0,2,PJ não financeira (2),0,0,,,
17,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS PICPAY I,4.56,Genial,Genial,BANCO GENIAL S.A.,Cartao de credito,FECHADO,N,2,10.7,1,0.9,0.9,CNPJ 22896431,,,0.0,0.0,,2,Banco (1) · PJ financeira (1),0,0,,,
18,ARTESANAL MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,4.35,ARTESANAL INVESTIMENTOS LTDA,Genial,BANCO B3 S.A.,,ABERTO,N,1,0.0,0,,,,,,,,,13,Cotas de FIDC (10) · Outros fundos (3),0,0,,,
19,HIGH TOWER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZA,3.97,CBSF,CBSF,REAG TRUST DISTRIBUIDORA DE TI,Financeiro,FECHADO,S,1,0.0,0,,,,,,0.1,0.0,,1,Cotas de FIDC (1),0,0,,,
20,DAY MAXX 2 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABI,3.92,Daycoval,Daycoval,BANCO DAYCOVAL S.A.,Financeiro,FECHADO,N,6,63.4,0,,,,,,12.6,0.0,97.0,7,Outros fundos (4) · PJ não financeira (2) · Banco (1),0,0,,,
21,SELLER FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADE LIMITADA,3.63,Oliveira Trust,Oliveira Trust,OLIVEIRA TRUST DTVM S.A.,Servicos,FECHADO,N,4,50.2,0,,,,Meios de Pagamento e Cartões,Meios de Pagamento e Cartões,,,100.0,8,PJ financeira (3) · Outros fundos (3) · Outros (2),0,0,2025,2025FY,2025-05-19
22,FIDC ACR BEM BANCOS EMISSORES DE CARTÃO DE CRÉDITO - RESPONSABILIDADE ,3.63,Bradesco,Bradesco,BANCO BRADESCO S.A.,Cartao de credito,FECHADO,N,2,3.0,1,100.0,100.0,CNPJ 16501555,,,0.0,0.0,100.0,66,Outros fundos (65) · Banco (1),0,0,2024,2024FY,
23,RSCRED MULTIESTRÉGIA - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS N,3.6,SECURITY ADM. DE RECURSOS LTDA,RJI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,RJI CORRETORA DE TÍTULOS E VAL,Financeiro,FECHADO,S,2,100.0,0,,,,,,0.0,0.0,100.0,1,PJ financeira (1),0,0,,,
24,HAVAN FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO ECONÔMICO,3.58,PETRA CAPITAL GESTÃO DE INVESTIMENTOS LTDA,Finaxis,BANCO FINAXIS S.A.,Comercial,FECHADO,N,1,0.0,1,114.4,114.4,CNPJ 79379491,,,43.0,0.0,,1,Outros fundos (1),0,0,,,
25,EXPERT III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABI,3.55,Daycoval,Daycoval,BANCO DAYCOVAL S.A.,,FECHADO,N,2,100.0,0,,,,,,,,,6,Pessoa física (6),0,0,,,
