data,amortizacao_total,amortizacao_acumulada,caixa_recebiveis_ime,CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CLOUDWALK AKIRA II FIDC,CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO
2026-05-27,75917084.47,75917084.47,2707122985.52,0.0,41666666.67,10000417.8,0.0,0.0,0.0,0.0,0.0,24250000.0,0.0
2026-06-27,75917084.47,151834168.93,2707122985.52,0.0,41666666.67,10000417.8,0.0,0.0,0.0,0.0,0.0,24250000.0,0.0
2026-07-27,65916666.67,217750835.6,2707122985.52,0.0,41666666.67,0.0,0.0,0.0,0.0,0.0,0.0,24250000.0,0.0
2026-08-27,65916666.67,283667502.26,2707122985.52,0.0,41666666.67,0.0,0.0,0.0,0.0,0.0,0.0,24250000.0,0.0
2026-09-27,41666666.67,325334168.93,2707122985.52,0.0,41666666.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-10-27,41666666.67,367000835.6,2707122985.52,0.0,41666666.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-11-19,258500000.0,625500835.6,2707122985.52,0.0,0.0,0.0,0.0,146250000.0,48500000.0,23750000.0,40000000.0,0.0,0.0
2026-11-27,41666666.67,667167502.26,2707122985.52,0.0,41666666.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-12-19,258500000.0,925667502.26,2707122985.52,0.0,0.0,0.0,0.0,146250000.0,48500000.0,23750000.0,40000000.0,0.0,0.0
2026-12-27,41666666.67,967334168.93,2707122985.52,0.0,41666666.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-01-19,258500000.0,1225834168.93,2707122985.52,0.0,0.0,0.0,0.0,146250000.0,48500000.0,23750000.0,40000000.0,0.0,0.0
2027-01-27,41666666.67,1267500835.6,2707122985.52,0.0,41666666.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-02-19,258500000.0,1526000835.6,2707122985.52,0.0,0.0,0.0,0.0,146250000.0,48500000.0,23750000.0,40000000.0,0.0,0.0
2027-03-19,258500000.0,1784500835.6,2707122985.52,0.0,0.0,0.0,0.0,146250000.0,48500000.0,23750000.0,40000000.0,0.0,0.0
2027-04-19,258500000.0,2043000835.6,2707122985.52,0.0,0.0,0.0,0.0,146250000.0,48500000.0,23750000.0,40000000.0,0.0,0.0
2027-06-08,280000560.0,2323001395.6,2707122985.52,280000560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-07-08,279998880.0,2603000275.6,2707122985.52,279998880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-08-08,280000560.0,2883000835.6,2707122985.52,280000560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-09-08,280000560.0,3163001395.6,2707122985.52,280000560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-10-08,279998880.0,3443000275.6,2707122985.52,279998880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-11-08,280000560.0,3723000835.6,2707122985.52,280000560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029-05-23,317488705.72,4040489541.31,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317488705.72
2029-06-23,317488705.72,4357978247.03,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317488705.72
2029-07-23,317488705.72,4675466952.74,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317488705.72
2029-08-23,317488705.72,4992955658.46,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317488705.72
2029-09-23,317488705.72,5310444364.18,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317488705.72
2029-10-15,303091537.63,5613535901.8,2707122985.52,0.0,0.0,0.0,303091537.63,0.0,0.0,0.0,0.0,0.0,0.0
2029-10-23,317488705.72,5931024607.52,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317488705.72
2029-11-15,303091537.63,6234116145.15,2707122985.52,0.0,0.0,0.0,303091537.63,0.0,0.0,0.0,0.0,0.0,0.0
2029-11-23,136027723.1,6370143868.25,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136027723.1
2029-12-15,303091537.63,6673235405.88,2707122985.52,0.0,0.0,0.0,303091537.63,0.0,0.0,0.0,0.0,0.0,0.0
2029-12-23,136027723.1,6809263128.98,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136027723.1
2030-01-15,303091537.63,7112354666.61,2707122985.52,0.0,0.0,0.0,303091537.63,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-23,136027723.1,7248382389.71,2707122985.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136027723.1
