fund_name,cnpj,competencia,caixa,recebiveis,caixa_recebiveis,cache_status,source,included,exclusion_reason
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42085816000105,02/2026,9872.44,0.0,9872.44,hit,.cache/fundonet-ime/163bd9171ead8306d74f4b25afadf176e9ee4de0a79511819ee45979eeccd5ff,True,
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42085830000109,04/2026,833.14,0.0,833.14,hit,.cache/fundonet-ime/fd86eff0ad66039dc3629017eb8c82c6f95737aa2fe7d5e09ede2cb36164a497,True,
CLOUDWALK AKIRA II FIDC,44124617000194,02/2026,9161.67,0.0,9161.67,hit,.cache/fundonet-ime/020d6992ee0ee64920d1ff2a26cd13d0b2e5ad87a06310d71550b9d7d6a2e087,True,
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54218673000141,04/2026,9985.74,0.0,9985.74,hit,.cache/fundonet-ime/6d7911954b6bfd5d88dbb9b2cb7689a7e136d9776138c98c5b8ebebabc9fd598,True,
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54218941000125,04/2026,1864.94,0.0,1864.94,hit,.cache/fundonet-ime/7f656501b51a0284484441b4a6c4d7d90ce17723f2d32d6545693546c44aeb9d,True,
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54219179000100,04/2026,2418.13,0.0,2418.13,hit,.cache/fundonet-ime/5cac18e77b791b2a25fe7591f510e4eafb96725ddc4d65cef1617a290f310791,True,
CLOUDWALK BIG PICTURE IV FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54248022000102,04/2026,1218.96,0.0,1218.96,hit,.cache/fundonet-ime/61fcba08004298c9a641280037674fb28b693dc71e7515657f0b688180de9d82,True,
CLOUDWALK A.I. FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,57609282000146,04/2026,0.0,0.0,0.0,hit,.cache/fundonet-ime/f76497b64ec6ef8ee7a36f6d20d3c4201f6b669e60959dca5ee161010f9d9482,True,
CLOUDWALK PI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,60356171000180,04/2026,0.0,2792249528.53,2792249528.53,hit,.cache/fundonet-ime/5acce43b9d41d6bd4f7a1ac802c802a0c7819d53be92ded4a19b2c907480b5ef,True,
CLOUDWALK BELA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,62393679000183,03/2026,0.0,0.0,0.0,hit,.cache/fundonet-ime/eef0fdff163e3d6b03c72e651b9d5fccd28f640b3a5de9cc045c17d670878531,True,
