fund_name,cnpj,classe,included,exclusion_reason,convention_detected,volume_emitido,saldo_atual,num_amortization_dates,first_date,last_date,warnings
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,1ª série sênior,True,,incremental,291000000.0,97000000.0,4,2026-05-27,2026-08-27,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.
CLOUDWALK KICK ASS I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.816/0001-05,Cotas subordinadas,False,Classe não sênior; waterfall considera apenas dívida sênior.,,0.0,0.0,0,,,
CLOUDWALK AKIRA I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.085.830/0001-09,1ª série sênior,True,,incremental,500000000.0,375000000.0,9,2026-05-27,2027-01-27,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior,False,Série sem dívida futura ativa para o waterfall.,,950000000.0,0.0,0,,,
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,Cotas subordinadas,False,Classe não sênior; waterfall considera apenas dívida sênior.,,0.0,0.0,0,,,
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior - alteração,False,Volume sênior ausente ou zero.,,0.0,0.0,0,,,
CLOUDWALK KICK ASS II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,42.102.603/0001-44,1ª série sênior - rerratificação,False,Série sem dívida futura ativa para o waterfall.,,950000000.0,0.0,0,,,
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior,False,Série sem dívida futura ativa para o waterfall.,,1500000000.0,0.0,0,,,
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2023,False,Volume sênior ausente ou zero.,,0.0,0.0,0,,,
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2024,False,Volume sênior ausente ou zero.,,0.0,0.0,0,,,
CLOUDWALK AKIRA II FIDC,44.124.617/0001-94,1ª série sênior - rerratificação 2025,True,,current_balance,1500000000.0,20000835.598311663,2,2026-05-27,2026-06-27,
CLOUDWALK BIG PICTURE I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.673/0001-41,1ª série sênior,True,,incremental,877500000.0,877500000.0,6,2026-11-19,2027-04-19,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.
CLOUDWALK BIG PICTURE II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.218.941/0001-25,1ª série sênior,True,,incremental,291000000.0,291000000.0,6,2026-11-19,2027-04-19,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.
CLOUDWALK BIG PICTURE III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO MEIOS DE PAGAMENTO,54.219.179/0001-00,1ª série sênior,True,,incremental,142500000.0,142500000.0,6,2026-11-19,2027-04-19,Cronograma documental lista datas sem percentuais; waterfall usa amortização linear entre as datas documentadas.
