cnpj,fund_name,documents_listed,regulamento_listed,assembleia_listed,emissao_listed,evento_listed,downloaded_total,regulamento_downloaded,assembleia_downloaded,emissao_downloaded,evento_downloaded,download_errors,notes
40975325000104,3RD - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,48,6,5,0,0,11,6,5,0,0,0,
58288437000152,ALTOMAX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO RECEBÍVEIS COMERCIAIS DE RESP LTDA,28,6,5,9,0,20,6,5,9,0,0,
47669476000183,INOVA CREDTECH II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,8,6,0,2,0,8,6,0,2,0,0,
37645459000152,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BASSANO DI GRAPPO - RESPONSABILIDADE LIMITADA,46,14,6,1,1,22,14,6,1,1,0,
18185812000114,GAVEA SUL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL LP,104,10,19,9,2,40,10,19,9,2,0,
44173467000109,MT INSS RECEIVABLES III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE,42,6,9,2,2,19,6,9,2,2,0,
54252144000164,J17 FGTS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIRO - RESPONSABILIDADE LIMITADA,55,21,8,10,4,43,21,8,10,4,0,
36643621000130,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TRINDADE - RESPONSABILIDADE LIMITADA,43,9,7,1,1,18,9,7,1,1,0,
38658727000133,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FORNECEDORES MADEIRA MADEIRA I,69,9,9,3,1,22,9,9,3,1,0,
62690693000149,FIDC RANDONCORP SEGMENTO RECEBÍVEIS COMERCIAIS RESPONSABILIDADE LIMITADA,7,3,0,1,0,4,3,0,1,0,0,
41351629000163,SIFRA LP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,55,10,4,4,2,20,10,4,4,2,0,
42154687000160,MULTIPLIKE PLUS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,157,34,22,52,6,114,34,22,52,6,0,
23956882000169,SB CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISSETORIAL DE CLASSE UNICA FECHADA,157,31,12,37,12,92,31,12,37,12,0,
50327909000127,TAMBASA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,18,6,2,1,0,9,6,2,1,0,0,
17468142000180,VALOREM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISETORIAL RESPONSABILIDADE LIMITADA,183,13,86,14,8,121,13,86,14,8,0,
